term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.015739,0.009056,-1.74,0.0822,full_highfiler_portfolio_10plus_otherunits,1731568,0.3099,3272,45450,24434,123376
event_time::-1,-0.033403,0.009914,-3.37,8e-04,full_highfiler_portfolio_10plus_otherunits,1731568,0.3099,3272,45450,24434,123376
event_time::0,-0.014429,0.009339,-1.54,0.1224,full_highfiler_portfolio_10plus_otherunits,1731568,0.3099,3272,45450,24434,123376
event_time::1,0.052192,0.012335,4.23,0,full_highfiler_portfolio_10plus_otherunits,1731568,0.3099,3272,45450,24434,123376
event_time::2,0.056119,0.012942,4.34,0,full_highfiler_portfolio_10plus_otherunits,1731568,0.3099,3272,45450,24434,123376
event_time::3,0.052066,0.009832,5.3,0,full_highfiler_portfolio_10plus_otherunits,1731568,0.3099,3272,45450,24434,123376
event_time::4,0.030684,0.010757,2.85,0.0043,full_highfiler_portfolio_10plus_otherunits,1731568,0.3099,3272,45450,24434,123376
event_time::5,0.040321,0.010915,3.69,2e-04,full_highfiler_portfolio_10plus_otherunits,1731568,0.3099,3272,45450,24434,123376
event_time::-3,-0.00364,0.002633,-1.38,0.1668,full_lowfiler_portfolio_10plus_otherunits,1739645,0.3015,3928,53533,27072,123376
event_time::-1,0.008214,0.006484,1.27,0.2052,full_lowfiler_portfolio_10plus_otherunits,1739645,0.3015,3928,53533,27072,123376
event_time::0,0.000518,0.002219,0.23,0.8155,full_lowfiler_portfolio_10plus_otherunits,1739645,0.3015,3928,53533,27072,123376
event_time::1,0.007188,0.004451,1.61,0.1063,full_lowfiler_portfolio_10plus_otherunits,1739645,0.3015,3928,53533,27072,123376
event_time::2,0.002344,0.003189,0.74,0.4623,full_lowfiler_portfolio_10plus_otherunits,1739645,0.3015,3928,53533,27072,123376
event_time::3,0.004586,0.00374,1.23,0.2202,full_lowfiler_portfolio_10plus_otherunits,1739645,0.3015,3928,53533,27072,123376
event_time::4,0.011277,0.004085,2.76,0.0058,full_lowfiler_portfolio_10plus_otherunits,1739645,0.3015,3928,53533,27072,123376
event_time::5,0.003813,0.002904,1.31,0.1891,full_lowfiler_portfolio_10plus_otherunits,1739645,0.3015,3928,53533,27072,123376
event_time::-3,-0.006348,0.001846,-3.44,6e-04,full_smallportfolio_lt10_otherunits,1893766,0.2905,15149,207697,104831,123376
event_time::-1,-0.005434,0.001761,-3.09,0.002,full_smallportfolio_lt10_otherunits,1893766,0.2905,15149,207697,104831,123376
event_time::0,0.001048,0.00183,0.57,0.5669,full_smallportfolio_lt10_otherunits,1893766,0.2905,15149,207697,104831,123376
event_time::1,0.020798,0.002181,9.53,0,full_smallportfolio_lt10_otherunits,1893766,0.2905,15149,207697,104831,123376
event_time::2,0.026097,0.002535,10.29,0,full_smallportfolio_lt10_otherunits,1893766,0.2905,15149,207697,104831,123376
event_time::3,0.024141,0.002919,8.27,0,full_smallportfolio_lt10_otherunits,1893766,0.2905,15149,207697,104831,123376
event_time::4,0.032586,0.003645,8.94,0,full_smallportfolio_lt10_otherunits,1893766,0.2905,15149,207697,104831,123376
event_time::5,0.026551,0.003832,6.93,0,full_smallportfolio_lt10_otherunits,1893766,0.2905,15149,207697,104831,123376
event_time::-3,-0.000486,0.001068,-0.46,0.6489,full_singlepurchase,2284676,0.286,43531,598663,304396,123376
event_time::-1,0.008539,0.00112,7.63,0,full_singlepurchase,2284676,0.286,43531,598663,304396,123376
event_time::0,0.00027,0.00107,0.25,0.801,full_singlepurchase,2284676,0.286,43531,598663,304396,123376
event_time::1,0.006357,0.001355,4.69,0,full_singlepurchase,2284676,0.286,43531,598663,304396,123376
event_time::2,0.008758,0.001698,5.16,0,full_singlepurchase,2284676,0.286,43531,598663,304396,123376
event_time::3,0.009137,0.001944,4.7,0,full_singlepurchase,2284676,0.286,43531,598663,304396,123376
event_time::4,0.008619,0.00158,5.46,0,full_singlepurchase,2284676,0.286,43531,598663,304396,123376
event_time::5,0.006588,0.001613,4.08,0,full_singlepurchase,2284676,0.286,43531,598663,304396,123376
