term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,0.136772,0.114033,1.2,0.2304,2plus_highfiler_portfolio_10plus_otherunits,163080,1.5204,691,9394,4934,32976
event_time::-1,0.008212,0.191642,0.04,0.9658,2plus_highfiler_portfolio_10plus_otherunits,163080,1.5204,691,9394,4934,32976
event_time::0,0.09809,0.116514,0.84,0.3999,2plus_highfiler_portfolio_10plus_otherunits,163080,1.5204,691,9394,4934,32976
event_time::1,0.243489,0.192634,1.26,0.2062,2plus_highfiler_portfolio_10plus_otherunits,163080,1.5204,691,9394,4934,32976
event_time::2,0.352986,0.20662,1.71,0.0876,2plus_highfiler_portfolio_10plus_otherunits,163080,1.5204,691,9394,4934,32976
event_time::3,0.084759,0.102515,0.83,0.4084,2plus_highfiler_portfolio_10plus_otherunits,163080,1.5204,691,9394,4934,32976
event_time::4,-0.217024,0.169145,-1.28,0.1995,2plus_highfiler_portfolio_10plus_otherunits,163080,1.5204,691,9394,4934,32976
event_time::5,-0.027568,0.199478,-0.14,0.8901,2plus_highfiler_portfolio_10plus_otherunits,163080,1.5204,691,9394,4934,32976
event_time::-3,-0.308588,0.686542,-0.45,0.6531,2plus_lowfiler_portfolio_10plus_otherunits,161668,1.5798,1125,14472,7734,32976
event_time::-1,1.139009,0.253045,4.5,0,2plus_lowfiler_portfolio_10plus_otherunits,161668,1.5798,1125,14472,7734,32976
event_time::0,-0.038139,0.246862,-0.15,0.8772,2plus_lowfiler_portfolio_10plus_otherunits,161668,1.5798,1125,14472,7734,32976
event_time::1,0.478136,0.339602,1.41,0.1592,2plus_lowfiler_portfolio_10plus_otherunits,161668,1.5798,1125,14472,7734,32976
event_time::2,-0.867711,0.572339,-1.52,0.1295,2plus_lowfiler_portfolio_10plus_otherunits,161668,1.5798,1125,14472,7734,32976
event_time::3,-0.948436,0.587307,-1.61,0.1063,2plus_lowfiler_portfolio_10plus_otherunits,161668,1.5798,1125,14472,7734,32976
event_time::4,-0.038729,0.55717,-0.07,0.9446,2plus_lowfiler_portfolio_10plus_otherunits,161668,1.5798,1125,14472,7734,32976
event_time::5,-0.294627,0.23896,-1.23,0.2176,2plus_lowfiler_portfolio_10plus_otherunits,161668,1.5798,1125,14472,7734,32976
event_time::-3,-0.478164,0.327763,-1.46,0.1446,2plus_smallportfolio_lt10_otherunits,174805,1.5895,3479,46130,23444,32976
event_time::-1,-0.44506,0.312186,-1.43,0.154,2plus_smallportfolio_lt10_otherunits,174805,1.5895,3479,46130,23444,32976
event_time::0,0.127169,0.251624,0.51,0.6133,2plus_smallportfolio_lt10_otherunits,174805,1.5895,3479,46130,23444,32976
event_time::1,0.126696,0.177344,0.71,0.475,2plus_smallportfolio_lt10_otherunits,174805,1.5895,3479,46130,23444,32976
event_time::2,-0.049754,0.194491,-0.26,0.7981,2plus_smallportfolio_lt10_otherunits,174805,1.5895,3479,46130,23444,32976
event_time::3,0.54446,0.159875,3.41,7e-04,2plus_smallportfolio_lt10_otherunits,174805,1.5895,3479,46130,23444,32976
event_time::4,0.729376,0.161505,4.52,0,2plus_smallportfolio_lt10_otherunits,174805,1.5895,3479,46130,23444,32976
event_time::5,0.689617,0.164376,4.2,0,2plus_smallportfolio_lt10_otherunits,174805,1.5895,3479,46130,23444,32976
event_time::-3,-0.086876,0.165597,-0.52,0.5998,2plus_singlepurchase,201296,1.6336,9624,129460,66045,32976
event_time::-1,-0.102129,0.151267,-0.68,0.4996,2plus_singlepurchase,201296,1.6336,9624,129460,66045,32976
event_time::0,-0.047278,0.104996,-0.45,0.6525,2plus_singlepurchase,201296,1.6336,9624,129460,66045,32976
event_time::1,0.052761,0.167729,0.31,0.7531,2plus_singlepurchase,201296,1.6336,9624,129460,66045,32976
event_time::2,0.244068,0.153076,1.59,0.1108,2plus_singlepurchase,201296,1.6336,9624,129460,66045,32976
event_time::3,0.191305,0.205733,0.93,0.3524,2plus_singlepurchase,201296,1.6336,9624,129460,66045,32976
event_time::4,0.151332,0.173617,0.87,0.3834,2plus_singlepurchase,201296,1.6336,9624,129460,66045,32976
event_time::5,0.205182,0.191946,1.07,0.2851,2plus_singlepurchase,201296,1.6336,9624,129460,66045,32976
