term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,0.134112,0.113195,1.18,0.2361,full_highfiler_portfolio_10plus_otherunits,551230,1.8946,3272,45450,24434,123376
event_time::-1,0.006219,0.191226,0.03,0.9741,full_highfiler_portfolio_10plus_otherunits,551230,1.8946,3272,45450,24434,123376
event_time::0,0.096827,0.116043,0.83,0.4041,full_highfiler_portfolio_10plus_otherunits,551230,1.8946,3272,45450,24434,123376
event_time::1,0.24682,0.1907,1.29,0.1956,full_highfiler_portfolio_10plus_otherunits,551230,1.8946,3272,45450,24434,123376
event_time::2,0.359921,0.199934,1.8,0.0718,full_highfiler_portfolio_10plus_otherunits,551230,1.8946,3272,45450,24434,123376
event_time::3,0.093402,0.099588,0.94,0.3483,full_highfiler_portfolio_10plus_otherunits,551230,1.8946,3272,45450,24434,123376
event_time::4,-0.204281,0.169288,-1.21,0.2275,full_highfiler_portfolio_10plus_otherunits,551230,1.8946,3272,45450,24434,123376
event_time::5,-0.020196,0.198089,-0.1,0.9188,full_highfiler_portfolio_10plus_otherunits,551230,1.8946,3272,45450,24434,123376
event_time::-3,-0.304756,0.671608,-0.45,0.65,full_lowfiler_portfolio_10plus_otherunits,538211,2.036,3928,53533,27072,123376
event_time::-1,1.122673,0.256786,4.37,0,full_lowfiler_portfolio_10plus_otherunits,538211,2.036,3928,53533,27072,123376
event_time::0,-0.037084,0.242456,-0.15,0.8784,full_lowfiler_portfolio_10plus_otherunits,538211,2.036,3928,53533,27072,123376
event_time::1,0.478381,0.335122,1.43,0.1534,full_lowfiler_portfolio_10plus_otherunits,538211,2.036,3928,53533,27072,123376
event_time::2,-0.823527,0.553936,-1.49,0.1371,full_lowfiler_portfolio_10plus_otherunits,538211,2.036,3928,53533,27072,123376
event_time::3,-0.900326,0.568186,-1.58,0.1131,full_lowfiler_portfolio_10plus_otherunits,538211,2.036,3928,53533,27072,123376
event_time::4,-0.019951,0.539364,-0.04,0.9705,full_lowfiler_portfolio_10plus_otherunits,538211,2.036,3928,53533,27072,123376
event_time::5,-0.270369,0.233455,-1.16,0.2468,full_lowfiler_portfolio_10plus_otherunits,538211,2.036,3928,53533,27072,123376
event_time::-3,-0.426042,0.275306,-1.55,0.1217,full_smallportfolio_lt10_otherunits,594589,2.1451,15149,207697,104831,123376
event_time::-1,-0.416709,0.278226,-1.5,0.1342,full_smallportfolio_lt10_otherunits,594589,2.1451,15149,207697,104831,123376
event_time::0,0.11371,0.224875,0.51,0.6131,full_smallportfolio_lt10_otherunits,594589,2.1451,15149,207697,104831,123376
event_time::1,0.189469,0.144142,1.31,0.1887,full_smallportfolio_lt10_otherunits,594589,2.1451,15149,207697,104831,123376
event_time::2,0.054979,0.167252,0.33,0.7424,full_smallportfolio_lt10_otherunits,594589,2.1451,15149,207697,104831,123376
event_time::3,0.543659,0.142787,3.81,1e-04,full_smallportfolio_lt10_otherunits,594589,2.1451,15149,207697,104831,123376
event_time::4,0.721923,0.148186,4.87,0,full_smallportfolio_lt10_otherunits,594589,2.1451,15149,207697,104831,123376
event_time::5,0.670932,0.159977,4.19,0,full_smallportfolio_lt10_otherunits,594589,2.1451,15149,207697,104831,123376
event_time::-3,-0.084503,0.16143,-0.52,0.6007,full_singlepurchase,694312,2.3399,43531,598663,304396,123376
event_time::-1,-0.086032,0.146855,-0.59,0.558,full_singlepurchase,694312,2.3399,43531,598663,304396,123376
event_time::0,-0.046812,0.102621,-0.46,0.6483,full_singlepurchase,694312,2.3399,43531,598663,304396,123376
event_time::1,0.056229,0.163212,0.34,0.7305,full_singlepurchase,694312,2.3399,43531,598663,304396,123376
event_time::2,0.244324,0.149483,1.63,0.1022,full_singlepurchase,694312,2.3399,43531,598663,304396,123376
event_time::3,0.192793,0.201172,0.96,0.3379,full_singlepurchase,694312,2.3399,43531,598663,304396,123376
event_time::4,0.153797,0.16929,0.91,0.3636,full_singlepurchase,694312,2.3399,43531,598663,304396,123376
event_time::5,0.203473,0.186232,1.09,0.2746,full_singlepurchase,694312,2.3399,43531,598663,304396,123376
