acq_filer_bin,event_time,mean_filing_rate,n_pids,n_obs,pct_zero_filings,mean_units
High-filer portfolio (10+ other units),-3,0.101367658889783,2362,2362,0.943691786621507,2.10499576629975
High-filer portfolio (10+ other units),-2,0.09838738901975,2653,2653,0.950621937429325,2.08028646814926
High-filer portfolio (10+ other units),-1,0.0942277691107644,2937,2937,0.942458290772898,2.18249914879128
High-filer portfolio (10+ other units),0,0.112078977932636,3238,3238,0.913835701050031,2.12723903644225
High-filer portfolio (10+ other units),1,0.177849760913158,3115,3115,0.832423756019262,2.08121990369181
High-filer portfolio (10+ other units),2,0.181291840057898,2918,2918,0.81631254283756,1.89410555174777
High-filer portfolio (10+ other units),3,0.183829287392326,2670,2670,0.819475655430712,1.91310861423221
High-filer portfolio (10+ other units),4,0.168396022481626,2383,2383,0.825430130088124,1.94125052454889
High-filer portfolio (10+ other units),5,0.183317399617591,2158,2158,0.818350324374421,1.93883225208526
Low-filer portfolio (10+ other units),-3,0.0172615564657695,3321,3321,0.972297500752785,2.05841613971695
Low-filer portfolio (10+ other units),-2,0.019279128248114,3468,3468,0.97318339100346,2.06401384083045
Low-filer portfolio (10+ other units),-1,0.0295826730058109,3632,3632,0.973843612334802,2.08480176211454
Low-filer portfolio (10+ other units),0,0.0216455540523921,3801,3801,0.966850828729282,2.13917390160484
Low-filer portfolio (10+ other units),1,0.0276151692542632,3428,3428,0.960326721120187,2.29229871645274
Low-filer portfolio (10+ other units),2,0.022877618522602,3005,3005,0.953410981697171,2.41464226289517
Low-filer portfolio (10+ other units),3,0.026021711366539,2540,2540,0.943700787401575,2.46614173228346
Low-filer portfolio (10+ other units),4,0.0296005706134094,2132,2132,0.947936210131332,2.63039399624766
Low-filer portfolio (10+ other units),5,0.024916573971079,1745,1745,0.946131805157593,2.57593123209169
Single-purchase,-3,0.0286862080103359,31566,31566,0.968447063295951,1.56928340619654
Single-purchase,-2,0.0280833007648931,34248,34248,0.967676944639103,1.56893833216538
Single-purchase,-1,0.0374357514775067,38202,38202,0.955107062457463,1.56350452855871
Single-purchase,0,0.0303084488153777,43107,43107,0.966803535388684,1.55682371772566
Single-purchase,1,0.0361995325973084,39236,39236,0.961056172902437,1.58132837190335
Single-purchase,2,0.0393424422040363,35045,35045,0.958339278071051,1.59346554430019
Single-purchase,3,0.0412569690826153,31151,31151,0.957722063497159,1.5834162627203
Single-purchase,4,0.0420062986291219,27427,27427,0.956429795457031,1.57450687278959
Single-purchase,5,0.0408886284329133,24414,24414,0.957196690423527,1.53768329646924
Small portfolio (<10 other units),-3,0.0271162461683565,12265,12265,0.968854463921728,1.38312270688952
Small portfolio (<10 other units),-2,0.0268621635234205,12962,12962,0.972072211078537,1.37856812220336
Small portfolio (<10 other units),-1,0.0298203467725089,13785,13785,0.96677548059485,1.38904606456293
Small portfolio (<10 other units),0,0.0366754104731371,14812,14812,0.96003240615717,1.38981906562247
Small portfolio (<10 other units),1,0.0573863944839568,13236,13236,0.93336355394379,1.39158355998791
Small portfolio (<10 other units),2,0.0629640994169991,11625,11625,0.92705376344086,1.40172043010753
Small portfolio (<10 other units),3,0.0608664772727273,10070,10070,0.930883813306852,1.39821251241311
Small portfolio (<10 other units),4,0.0718003800710568,8655,8655,0.922819179664934,1.39838243789717
Small portfolio (<10 other units),5,0.067628235743624,7421,7421,0.92669451556394,1.41072631720792
