term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.003847,0.000805,-4.78,0,full,2598476,0.1778,66424,912563,464410,123376
event_time::-1,0.004258,0.000854,4.99,0,full,2598476,0.1778,66424,912563,464410,123376
event_time::0,-0.001053,0.000816,-1.29,0.1972,full,2598476,0.1778,66424,912563,464410,123376
event_time::1,0.013373,0.000979,13.65,0,full,2598476,0.1778,66424,912563,464410,123376
event_time::2,0.01807,0.001101,16.41,0,full,2598476,0.1778,66424,912563,464410,123376
event_time::3,0.01634,0.001149,14.22,0,full,2598476,0.1778,66424,912563,464410,123376
event_time::4,0.017787,0.00126,14.12,0,full,2598476,0.1778,66424,912563,464410,123376
event_time::5,0.012655,0.001231,10.28,0,full,2598476,0.1778,66424,912563,464410,123376
event_time::-3,-0.003182,0.000996,-3.2,0.0014,full_wtd,2598476,0.2814,66424,912563,464410,123376
event_time::-1,0.002333,0.001165,2,0.0451,full_wtd,2598476,0.2814,66424,912563,464410,123376
event_time::0,-0.000869,0.001023,-0.85,0.3957,full_wtd,2598476,0.2814,66424,912563,464410,123376
event_time::1,0.012008,0.001364,8.8,0,full_wtd,2598476,0.2814,66424,912563,464410,123376
event_time::2,0.014349,0.001535,9.35,0,full_wtd,2598476,0.2814,66424,912563,464410,123376
event_time::3,0.014632,0.001601,9.14,0,full_wtd,2598476,0.2814,66424,912563,464410,123376
event_time::4,0.014553,0.001486,9.8,0,full_wtd,2598476,0.2814,66424,912563,464410,123376
event_time::5,0.012592,0.001541,8.17,0,full_wtd,2598476,0.2814,66424,912563,464410,123376
event_time::-3,-0.004536,0.000962,-4.71,0,1unit,1956298,0.1602,51378,711452,361406,90413
event_time::-1,0.005093,0.001037,4.91,0,1unit,1956298,0.1602,51378,711452,361406,90413
event_time::0,-0.001509,0.000993,-1.52,0.1286,1unit,1956298,0.1602,51378,711452,361406,90413
