term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.002571,0.000515,-4.99,0,full,2598476,0.1387,66424,912563,464410,123376
event_time::-1,0.003141,0.000557,5.64,0,full,2598476,0.1387,66424,912563,464410,123376
event_time::0,-0.000507,0.000509,-1,0.3192,full,2598476,0.1387,66424,912563,464410,123376
event_time::1,0.009154,0.000637,14.37,0,full,2598476,0.1387,66424,912563,464410,123376
event_time::2,0.012089,0.000709,17.05,0,full,2598476,0.1387,66424,912563,464410,123376
event_time::3,0.010924,0.000739,14.79,0,full,2598476,0.1387,66424,912563,464410,123376
event_time::4,0.011618,0.000798,14.56,0,full,2598476,0.1387,66424,912563,464410,123376
event_time::5,0.008675,0.000803,10.8,0,full,2598476,0.1387,66424,912563,464410,123376
event_time::-3,-0.002182,0.00071,-3.07,0.0021,full_wtd,2598476,0.2874,66424,912563,464410,123376
event_time::-1,0.001929,0.000866,2.23,0.0259,full_wtd,2598476,0.2874,66424,912563,464410,123376
event_time::0,-0.000324,0.000755,-0.43,0.6682,full_wtd,2598476,0.2874,66424,912563,464410,123376
event_time::1,0.008447,0.001016,8.31,0,full_wtd,2598476,0.2874,66424,912563,464410,123376
event_time::2,0.009655,0.001076,8.97,0,full_wtd,2598476,0.2874,66424,912563,464410,123376
event_time::3,0.010036,0.001152,8.71,0,full_wtd,2598476,0.2874,66424,912563,464410,123376
event_time::4,0.00994,0.00106,9.38,0,full_wtd,2598476,0.2874,66424,912563,464410,123376
event_time::5,0.009066,0.001107,8.19,0,full_wtd,2598476,0.2874,66424,912563,464410,123376
event_time::-3,-0.002975,0.000611,-4.87,0,1unit,1956116,0.1204,51375,711410,361382,90403
event_time::-1,0.003673,0.000669,5.49,0,1unit,1956116,0.1204,51375,711410,361382,90403
event_time::0,-0.00087,0.000605,-1.44,0.1505,1unit,1956116,0.1204,51375,711410,361382,90403
event_time::1,0.010222,0.000768,13.32,0,1unit,1956116,0.1204,51375,711410,361382,90403
event_time::2,0.014347,0.00086,16.68,0,1unit,1956116,0.1204,51375,711410,361382,90403
event_time::3,0.012337,0.000893,13.81,0,1unit,1956116,0.1204,51375,711410,361382,90403
event_time::4,0.013104,0.000966,13.57,0,1unit,1956116,0.1204,51375,711410,361382,90403
event_time::5,0.009005,0.000966,9.32,0,1unit,1956116,0.1204,51375,711410,361382,90403
event_time::-3,-0.001441,0.001261,-1.14,0.2532,2plus,642355,0.4929,15054,201153,103028,32986
event_time::-1,0.000256,0.001578,0.16,0.871,2plus,642355,0.4929,15054,201153,103028,32986
event_time::0,0.000214,0.001369,0.16,0.8756,2plus,642355,0.4929,15054,201153,103028,32986
event_time::1,0.006672,0.001848,3.61,3e-04,2plus,642355,0.4929,15054,201153,103028,32986
event_time::2,0.005186,0.001935,2.68,0.0074,2plus,642355,0.4929,15054,201153,103028,32986
event_time::3,0.007814,0.002076,3.76,2e-04,2plus,642355,0.4929,15054,201153,103028,32986
event_time::4,0.006953,0.001832,3.8,1e-04,2plus,642355,0.4929,15054,201153,103028,32986
event_time::5,0.009085,0.00195,4.66,0,2plus,642355,0.4929,15054,201153,103028,32986
event_time::-3,-0.002565,0.002596,-0.99,0.3231,5plus,82790,0.7036,1543,18855,9460,5091
event_time::-1,-0.001469,0.003372,-0.44,0.6631,5plus,82790,0.7036,1543,18855,9460,5091
event_time::0,-0.000427,0.002873,-0.15,0.8818,5plus,82790,0.7036,1543,18855,9460,5091
event_time::1,0.008503,0.003882,2.19,0.0285,5plus,82790,0.7036,1543,18855,9460,5091
event_time::2,0.006508,0.004077,1.6,0.1105,5plus,82790,0.7036,1543,18855,9460,5091
event_time::3,0.010304,0.004358,2.36,0.0181,5plus,82790,0.7036,1543,18855,9460,5091
event_time::4,0.007673,0.003703,2.07,0.0383,5plus,82790,0.7036,1543,18855,9460,5091
event_time::5,0.011272,0.004044,2.79,0.0053,5plus,82790,0.7036,1543,18855,9460,5091
event_time::-3,0.001727,0.002877,0.6,0.5483,2plus_rental_pre,340807,0.5034,13322,100968,51976,28802
event_time::-1,0.008369,0.003808,2.2,0.028,2plus_rental_pre,340807,0.5034,13322,100968,51976,28802
event_time::0,0.004184,0.003001,1.39,0.1633,2plus_rental_pre,340807,0.5034,13322,100968,51976,28802
event_time::1,0.012363,0.003747,3.3,0.001,2plus_rental_pre,340807,0.5034,13322,100968,51976,28802
event_time::2,0.006845,0.003671,1.86,0.0622,2plus_rental_pre,340807,0.5034,13322,100968,51976,28802
event_time::3,0.010267,0.003729,2.75,0.0059,2plus_rental_pre,340807,0.5034,13322,100968,51976,28802
event_time::4,0.008205,0.002949,2.78,0.0054,2plus_rental_pre,340807,0.5034,13322,100968,51976,28802
event_time::5,0.010589,0.003034,3.49,5e-04,2plus_rental_pre,340807,0.5034,13322,100968,51976,28802
event_time::-3,-0.003174,0.005652,-0.56,0.5744,5plus_rental_pre,37807,0.6823,1216,9026,4989,3877
event_time::-1,-0.00024,0.007132,-0.03,0.9732,5plus_rental_pre,37807,0.6823,1216,9026,4989,3877
event_time::0,0.001886,0.005795,0.33,0.7449,5plus_rental_pre,37807,0.6823,1216,9026,4989,3877
event_time::1,0.01541,0.007149,2.16,0.0312,5plus_rental_pre,37807,0.6823,1216,9026,4989,3877
event_time::2,0.009651,0.007085,1.36,0.1732,5plus_rental_pre,37807,0.6823,1216,9026,4989,3877
event_time::3,0.014701,0.00726,2.02,0.0429,5plus_rental_pre,37807,0.6823,1216,9026,4989,3877
event_time::4,0.010186,0.005623,1.81,0.0701,5plus_rental_pre,37807,0.6823,1216,9026,4989,3877
event_time::5,0.014927,0.00599,2.49,0.0127,5plus_rental_pre,37807,0.6823,1216,9026,4989,3877
