term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.003189,0.099159,-0.03,0.9743,full,807236,2.5167,66424,912563,464410,123376
event_time::-1,0.032556,0.126766,0.26,0.7973,full,807236,2.5167,66424,912563,464410,123376
event_time::0,0.018482,0.079445,0.23,0.816,full,807236,2.5167,66424,912563,464410,123376
event_time::1,0.164675,0.115385,1.43,0.1535,full,807236,2.5167,66424,912563,464410,123376
event_time::2,0.222269,0.122155,1.82,0.0688,full,807236,2.5167,66424,912563,464410,123376
event_time::3,0.159282,0.13199,1.21,0.2275,full,807236,2.5167,66424,912563,464410,123376
event_time::4,0.077852,0.134118,0.58,0.5616,full,807236,2.5167,66424,912563,464410,123376
event_time::5,0.152968,0.140806,1.09,0.2773,full,807236,2.5167,66424,912563,464410,123376
event_time::-3,-0.137858,0.032706,-4.22,0,1unit,575692,0.1002,51378,711452,361406,90413
event_time::-1,0.147241,0.026916,5.47,0,1unit,575692,0.1002,51378,711452,361406,90413
event_time::0,-0.034787,0.029466,-1.18,0.2378,1unit,575692,0.1002,51378,711452,361406,90413
event_time::1,0.355344,0.025076,14.17,0,1unit,575692,0.1002,51378,711452,361406,90413
event_time::2,0.463626,0.025204,18.4,0,1unit,575692,0.1002,51378,711452,361406,90413
event_time::3,0.405427,0.026783,15.14,0,1unit,575692,0.1002,51378,711452,361406,90413
event_time::4,0.418655,0.027751,15.09,0,1unit,575692,0.1002,51378,711452,361406,90413
event_time::5,0.28963,0.028709,10.09,0,1unit,575692,0.1002,51378,711452,361406,90413
event_time::-3,-0.001084,0.101168,-0.01,0.9915,2plus,231536,1.6592,15051,201111,103004,32976
event_time::-1,0.029912,0.129675,0.23,0.8176,2plus,231536,1.6592,15051,201111,103004,32976
event_time::0,0.019636,0.08103,0.24,0.8085,2plus,231536,1.6592,15051,201111,103004,32976
event_time::1,0.159875,0.11828,1.35,0.1765,2plus,231536,1.6592,15051,201111,103004,32976
event_time::2,0.215336,0.126316,1.7,0.0882,2plus,231536,1.6592,15051,201111,103004,32976
event_time::3,0.152555,0.135515,1.13,0.2603,2plus,231536,1.6592,15051,201111,103004,32976
event_time::4,0.067454,0.137402,0.49,0.6235,2plus,231536,1.6592,15051,201111,103004,32976
event_time::5,0.148363,0.144635,1.03,0.305,2plus,231536,1.6592,15051,201111,103004,32976
event_time::-3,-0.001852,0.103628,-0.02,0.9857,5plus,33285,1.3869,1543,18855,9466,5089
event_time::-1,0.028561,0.13278,0.22,0.8297,5plus,33285,1.3869,1543,18855,9466,5089
event_time::0,0.019139,0.082753,0.23,0.8171,5plus,33285,1.3869,1543,18855,9466,5089
event_time::1,0.158521,0.121213,1.31,0.1909,5plus,33285,1.3869,1543,18855,9466,5089
event_time::2,0.216118,0.12968,1.67,0.0956,5plus,33285,1.3869,1543,18855,9466,5089
event_time::3,0.149412,0.138873,1.08,0.282,5plus,33285,1.3869,1543,18855,9466,5089
event_time::4,0.061401,0.140812,0.44,0.6628,5plus,33285,1.3869,1543,18855,9466,5089
event_time::5,0.144096,0.148772,0.97,0.3328,5plus,33285,1.3869,1543,18855,9466,5089
event_time::-3,0.025659,0.09982,0.26,0.7971,2plus_rental_pre,160751,1.3965,13319,100955,51970,28792
event_time::-1,0.063706,0.132913,0.48,0.6317,2plus_rental_pre,160751,1.3965,13319,100955,51970,28792
event_time::0,0.051525,0.08296,0.62,0.5345,2plus_rental_pre,160751,1.3965,13319,100955,51970,28792
event_time::1,0.181692,0.117863,1.54,0.1232,2plus_rental_pre,160751,1.3965,13319,100955,51970,28792
event_time::2,0.210749,0.13379,1.58,0.1152,2plus_rental_pre,160751,1.3965,13319,100955,51970,28792
event_time::3,0.166517,0.135034,1.23,0.2175,2plus_rental_pre,160751,1.3965,13319,100955,51970,28792
event_time::4,0.09047,0.124398,0.73,0.4671,2plus_rental_pre,160751,1.3965,13319,100955,51970,28792
event_time::5,0.151125,0.13981,1.08,0.2797,2plus_rental_pre,160751,1.3965,13319,100955,51970,28792
event_time::-3,0.022317,0.102047,0.22,0.8269,5plus_rental_pre,23770,1.2724,1216,9028,4992,3874
event_time::-1,0.058222,0.135672,0.43,0.6678,5plus_rental_pre,23770,1.2724,1216,9028,4992,3874
event_time::0,0.049635,0.084509,0.59,0.557,5plus_rental_pre,23770,1.2724,1216,9028,4992,3874
event_time::1,0.181455,0.120539,1.51,0.1322,5plus_rental_pre,23770,1.2724,1216,9028,4992,3874
event_time::2,0.2133,0.136745,1.56,0.1188,5plus_rental_pre,23770,1.2724,1216,9028,4992,3874
event_time::3,0.166103,0.138089,1.2,0.229,5plus_rental_pre,23770,1.2724,1216,9028,4992,3874
event_time::4,0.088464,0.127786,0.69,0.4888,5plus_rental_pre,23770,1.2724,1216,9028,4992,3874
event_time::5,0.150977,0.144211,1.05,0.2951,5plus_rental_pre,23770,1.2724,1216,9028,4992,3874
