term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.003017,0.002904,-1.04,0.2989,corporate_2plus,511575,0.5082,5445,70466,35439,32976
event_time::-1,-0.004286,0.003632,-1.18,0.238,corporate_2plus,511575,0.5082,5445,70466,35439,32976
event_time::0,-0.002077,0.003088,-0.67,0.5012,corporate_2plus,511575,0.5082,5445,70466,35439,32976
event_time::1,0.013169,0.004257,3.09,0.002,corporate_2plus,511575,0.5082,5445,70466,35439,32976
event_time::2,0.011041,0.004766,2.32,0.0205,corporate_2plus,511575,0.5082,5445,70466,35439,32976
event_time::3,0.015917,0.00494,3.22,0.0013,corporate_2plus,511575,0.5082,5445,70466,35439,32976
event_time::4,0.010257,0.004196,2.44,0.0145,corporate_2plus,511575,0.5082,5445,70466,35439,32976
event_time::5,0.015406,0.004598,3.35,8e-04,corporate_2plus,511575,0.5082,5445,70466,35439,32976
event_time::-3,-0.000295,0.00127,-0.23,0.8164,individual_2plus,571811,0.4696,9606,130645,67565,32976
event_time::-1,0.004364,0.001371,3.18,0.0015,individual_2plus,571811,0.4696,9606,130645,67565,32976
event_time::0,0.001797,0.001307,1.37,0.1693,individual_2plus,571811,0.4696,9606,130645,67565,32976
event_time::1,0.003858,0.001456,2.65,0.0081,individual_2plus,571811,0.4696,9606,130645,67565,32976
event_time::2,0.003094,0.001495,2.07,0.0385,individual_2plus,571811,0.4696,9606,130645,67565,32976
event_time::3,0.004526,0.001664,2.72,0.0065,individual_2plus,571811,0.4696,9606,130645,67565,32976
event_time::4,0.00814,0.002002,4.07,0,individual_2plus,571811,0.4696,9606,130645,67565,32976
event_time::5,0.007588,0.001979,3.84,1e-04,individual_2plus,571811,0.4696,9606,130645,67565,32976
