term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.005224,0.001983,-2.63,0.0084,corporate,1959023,0.3114,20053,273025,135288,123376
event_time::-1,-0.006308,0.002453,-2.57,0.0101,corporate,1959023,0.3114,20053,273025,135288,123376
event_time::0,-0.001707,0.002193,-0.78,0.4363,corporate,1959023,0.3114,20053,273025,135288,123376
event_time::1,0.021168,0.00304,6.96,0,corporate,1959023,0.3114,20053,273025,135288,123376
event_time::2,0.024793,0.003478,7.13,0,corporate,1959023,0.3114,20053,273025,135288,123376
event_time::3,0.025988,0.003657,7.11,0,corporate,1959023,0.3114,20053,273025,135288,123376
event_time::4,0.021356,0.003266,6.54,0,corporate,1959023,0.3114,20053,273025,135288,123376
event_time::5,0.022462,0.003506,6.41,0,corporate,1959023,0.3114,20053,273025,135288,123376
event_time::-3,-0.001499,0.000852,-1.76,0.0783,individual,2325584,0.2695,46371,639538,329122,123376
event_time::-1,0.008649,0.000933,9.27,0,individual,2325584,0.2695,46371,639538,329122,123376
event_time::0,-0.000304,0.00081,-0.38,0.7076,individual,2325584,0.2695,46371,639538,329122,123376
event_time::1,0.005818,0.000945,6.16,0,individual,2325584,0.2695,46371,639538,329122,123376
event_time::2,0.00744,0.00101,7.37,0,individual,2325584,0.2695,46371,639538,329122,123376
event_time::3,0.007202,0.001085,6.63,0,individual,2325584,0.2695,46371,639538,329122,123376
event_time::4,0.010408,0.001248,8.34,0,individual,2325584,0.2695,46371,639538,329122,123376
event_time::5,0.006725,0.001232,5.46,0,individual,2325584,0.2695,46371,639538,329122,123376
event_time::-3,-0.004533,0.004376,-1.04,0.3004,corporate_large,77100,0.6718,1083,13187,6874,5089
event_time::-1,-0.004207,0.005519,-0.76,0.446,corporate_large,77100,0.6718,1083,13187,6874,5089
event_time::0,-0.002381,0.004523,-0.53,0.5986,corporate_large,77100,0.6718,1083,13187,6874,5089
event_time::1,0.013764,0.0061,2.26,0.0241,corporate_large,77100,0.6718,1083,13187,6874,5089
event_time::2,0.012135,0.006738,1.8,0.0717,corporate_large,77100,0.6718,1083,13187,6874,5089
event_time::3,0.016257,0.006818,2.38,0.0171,corporate_large,77100,0.6718,1083,13187,6874,5089
event_time::4,0.009329,0.005615,1.66,0.0967,corporate_large,77100,0.6718,1083,13187,6874,5089
event_time::5,0.015416,0.006191,2.49,0.0128,corporate_large,77100,0.6718,1083,13187,6874,5089
event_time::-3,-0.000441,0.001911,-0.23,0.8174,individual_large,69612,0.6721,460,5668,2592,5089
event_time::-1,-0.000376,0.003036,-0.12,0.9015,individual_large,69612,0.6721,460,5668,2592,5089
event_time::0,0.002298,0.003556,0.65,0.5182,individual_large,69612,0.6721,460,5668,2592,5089
event_time::1,0.002536,0.003781,0.67,0.5024,individual_large,69612,0.6721,460,5668,2592,5089
event_time::2,0.000767,0.003182,0.24,0.8096,individual_large,69612,0.6721,460,5668,2592,5089
event_time::3,0.00348,0.003966,0.88,0.3803,individual_large,69612,0.6721,460,5668,2592,5089
event_time::4,0.011465,0.006862,1.67,0.0948,individual_large,69612,0.6721,460,5668,2592,5089
event_time::5,0.006683,0.006071,1.1,0.2711,individual_large,69612,0.6721,460,5668,2592,5089
