term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.00211,0.002131,-0.99,0.3222,corporate_2plus,511355,0.5244,5418,70106,35265,32986
event_time::-1,-0.002307,0.002789,-0.83,0.4083,corporate_2plus,511355,0.5244,5418,70106,35265,32986
event_time::0,-0.000989,0.002392,-0.41,0.6793,corporate_2plus,511355,0.5244,5418,70106,35265,32986
event_time::1,0.009912,0.00327,3.03,0.0024,corporate_2plus,511355,0.5244,5418,70106,35265,32986
event_time::2,0.00765,0.003412,2.24,0.025,corporate_2plus,511355,0.5244,5418,70106,35265,32986
event_time::3,0.011458,0.003643,3.14,0.0017,corporate_2plus,511355,0.5244,5418,70106,35265,32986
event_time::4,0.007782,0.003095,2.51,0.0119,corporate_2plus,511355,0.5244,5418,70106,35265,32986
event_time::5,0.011826,0.003378,3.5,5e-04,corporate_2plus,511355,0.5244,5418,70106,35265,32986
event_time::-3,-0.00042,0.000962,-0.44,0.6622,individual_2plus,572353,0.4753,9636,131047,67763,32986
event_time::-1,0.003294,0.001043,3.16,0.0016,individual_2plus,572353,0.4753,9636,131047,67763,32986
event_time::0,0.00154,0.001034,1.49,0.1363,individual_2plus,572353,0.4753,9636,131047,67763,32986
event_time::1,0.002929,0.001134,2.58,0.0098,individual_2plus,572353,0.4753,9636,131047,67763,32986
event_time::2,0.002414,0.001139,2.12,0.0341,individual_2plus,572353,0.4753,9636,131047,67763,32986
event_time::3,0.003493,0.001268,2.75,0.0059,individual_2plus,572353,0.4753,9636,131047,67763,32986
event_time::4,0.006236,0.001554,4.01,1e-04,individual_2plus,572353,0.4753,9636,131047,67763,32986
event_time::5,0.006127,0.001529,4.01,1e-04,individual_2plus,572353,0.4753,9636,131047,67763,32986
