term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.003578,0.001433,-2.5,0.0125,corporate,1957025,0.3216,19909,271027,134256,123376
event_time::-1,-0.003742,0.001866,-2.01,0.0449,corporate,1957025,0.3216,19909,271027,134256,123376
event_time::0,-0.001065,0.001639,-0.65,0.516,corporate,1957025,0.3216,19909,271027,134256,123376
event_time::1,0.014926,0.002299,6.49,0,corporate,1957025,0.3216,19909,271027,134256,123376
event_time::2,0.016332,0.002457,6.65,0,corporate,1957025,0.3216,19909,271027,134256,123376
event_time::3,0.017693,0.002658,6.66,0,corporate,1957025,0.3216,19909,271027,134256,123376
event_time::4,0.014658,0.002349,6.24,0,corporate,1957025,0.3216,19909,271027,134256,123376
event_time::5,0.015899,0.002537,6.27,0,corporate,1957025,0.3216,19909,271027,134256,123376
event_time::-3,-0.001055,0.000589,-1.79,0.0732,individual,2327582,0.2739,46515,641536,330154,123376
event_time::-1,0.006047,0.000646,9.36,0,individual,2327582,0.2739,46515,641536,330154,123376
event_time::0,0.000172,0.000583,0.29,0.7681,individual,2327582,0.2739,46515,641536,330154,123376
event_time::1,0.004091,0.000661,6.19,0,individual,2327582,0.2739,46515,641536,330154,123376
event_time::2,0.005286,0.000698,7.57,0,individual,2327582,0.2739,46515,641536,330154,123376
event_time::3,0.005058,0.000752,6.73,0,individual,2327582,0.2739,46515,641536,330154,123376
event_time::4,0.007079,0.000871,8.13,0,individual,2327582,0.2739,46515,641536,330154,123376
event_time::5,0.005031,0.000868,5.8,0,individual,2327582,0.2739,46515,641536,330154,123376
event_time::-3,-0.003091,0.003258,-0.95,0.3428,corporate_large,77114,0.7045,1082,13173,6865,5091
event_time::-1,-0.001907,0.004247,-0.45,0.6534,corporate_large,77114,0.7045,1082,13173,6865,5091
event_time::0,-0.001067,0.003524,-0.3,0.762,corporate_large,77114,0.7045,1082,13173,6865,5091
event_time::1,0.009995,0.004703,2.13,0.0336,corporate_large,77114,0.7045,1082,13173,6865,5091
event_time::2,0.007666,0.004821,1.59,0.1118,corporate_large,77114,0.7045,1082,13173,6865,5091
event_time::3,0.011456,0.005041,2.27,0.0231,corporate_large,77114,0.7045,1082,13173,6865,5091
event_time::4,0.007178,0.004168,1.72,0.0851,corporate_large,77114,0.7045,1082,13173,6865,5091
event_time::5,0.012034,0.004569,2.63,0.0085,corporate_large,77114,0.7045,1082,13173,6865,5091
event_time::-3,-0.000371,0.001759,-0.21,0.833,individual_large,69654,0.702,461,5682,2595,5091
event_time::-1,0.000144,0.002536,0.06,0.9547,individual_large,69654,0.702,461,5682,2595,5091
event_time::0,0.001927,0.003032,0.64,0.525,individual_large,69654,0.702,461,5682,2595,5091
event_time::1,0.002089,0.003332,0.63,0.5308,individual_large,69654,0.702,461,5682,2595,5091
event_time::2,0.00061,0.002848,0.21,0.8304,individual_large,69654,0.702,461,5682,2595,5091
event_time::3,0.003231,0.003571,0.9,0.3657,individual_large,69654,0.702,461,5682,2595,5091
event_time::4,0.011644,0.006203,1.88,0.0606,individual_large,69654,0.702,461,5682,2595,5091
event_time::5,0.006224,0.005337,1.17,0.2436,individual_large,69654,0.702,461,5682,2595,5091
