term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,0.003706,0.103697,0.04,0.9715,corporate_2plus,185160,1.5679,5445,70466,35439,32976
event_time::-1,0.020691,0.133802,0.15,0.8771,corporate_2plus,185160,1.5679,5445,70466,35439,32976
event_time::0,0.009099,0.082709,0.11,0.9124,corporate_2plus,185160,1.5679,5445,70466,35439,32976
event_time::1,0.159243,0.121626,1.31,0.1904,corporate_2plus,185160,1.5679,5445,70466,35439,32976
event_time::2,0.221597,0.129807,1.71,0.0878,corporate_2plus,185160,1.5679,5445,70466,35439,32976
event_time::3,0.149561,0.13993,1.07,0.2851,corporate_2plus,185160,1.5679,5445,70466,35439,32976
event_time::4,0.048342,0.141936,0.34,0.7334,corporate_2plus,185160,1.5679,5445,70466,35439,32976
event_time::5,0.143191,0.148201,0.97,0.3339,corporate_2plus,185160,1.5679,5445,70466,35439,32976
event_time::-3,-0.114222,0.231757,-0.49,0.6221,individual_2plus,203068,1.6595,9606,130645,67565,32976
event_time::-1,0.304343,0.309663,0.98,0.3257,individual_2plus,203068,1.6595,9606,130645,67565,32976
event_time::0,0.339992,0.350413,0.97,0.3319,individual_2plus,203068,1.6595,9606,130645,67565,32976
event_time::1,0.174126,0.311006,0.56,0.5756,individual_2plus,203068,1.6595,9606,130645,67565,32976
event_time::2,0.058542,0.232777,0.25,0.8014,individual_2plus,203068,1.6595,9606,130645,67565,32976
event_time::3,0.245823,0.156087,1.57,0.1153,individual_2plus,203068,1.6595,9606,130645,67565,32976
event_time::4,0.473898,0.193334,2.45,0.0142,individual_2plus,203068,1.6595,9606,130645,67565,32976
event_time::5,0.314608,0.195396,1.61,0.1074,individual_2plus,203068,1.6595,9606,130645,67565,32976
