term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,0.001751,0.102847,0.02,0.9864,corporate,620918,2.0003,20053,273025,135288,123376
event_time::-1,0.018902,0.132907,0.14,0.8869,corporate,620918,2.0003,20053,273025,135288,123376
event_time::0,0.009074,0.082168,0.11,0.9121,corporate,620918,2.0003,20053,273025,135288,123376
event_time::1,0.163526,0.120396,1.36,0.1744,corporate,620918,2.0003,20053,273025,135288,123376
event_time::2,0.227806,0.127654,1.78,0.0743,corporate,620918,2.0003,20053,273025,135288,123376
event_time::3,0.155158,0.138369,1.12,0.2621,corporate,620918,2.0003,20053,273025,135288,123376
event_time::4,0.054883,0.140647,0.39,0.6964,corporate,620918,2.0003,20053,273025,135288,123376
event_time::5,0.147251,0.14666,1,0.3154,corporate,620918,2.0003,20053,273025,135288,123376
event_time::-3,-0.085583,0.159542,-0.54,0.5917,individual,710850,2.5919,46371,639538,329122,123376
event_time::-1,0.309834,0.208201,1.49,0.1367,individual,710850,2.5919,46371,639538,329122,123376
event_time::0,0.220525,0.264419,0.83,0.4043,individual,710850,2.5919,46371,639538,329122,123376
event_time::1,0.183636,0.211163,0.87,0.3845,individual,710850,2.5919,46371,639538,329122,123376
event_time::2,0.125576,0.15106,0.83,0.4058,individual,710850,2.5919,46371,639538,329122,123376
event_time::3,0.24117,0.109751,2.2,0.028,individual,710850,2.5919,46371,639538,329122,123376
event_time::4,0.428884,0.146557,2.93,0.0034,individual,710850,2.5919,46371,639538,329122,123376
event_time::5,0.268891,0.134122,2,0.045,individual,710850,2.5919,46371,639538,329122,123376
event_time::-3,0.003418,0.104945,0.03,0.974,corporate_large,31706,1.3752,1083,13187,6874,5089
event_time::-1,0.021736,0.135082,0.16,0.8722,corporate_large,31706,1.3752,1083,13187,6874,5089
event_time::0,0.009202,0.083337,0.11,0.9121,corporate_large,31706,1.3752,1083,13187,6874,5089
event_time::1,0.158069,0.122953,1.29,0.1986,corporate_large,31706,1.3752,1083,13187,6874,5089
event_time::2,0.22147,0.131378,1.69,0.0918,corporate_large,31706,1.3752,1083,13187,6874,5089
event_time::3,0.147087,0.141409,1.04,0.2983,corporate_large,31706,1.3752,1083,13187,6874,5089
event_time::4,0.045913,0.143424,0.32,0.7489,corporate_large,31706,1.3752,1083,13187,6874,5089
event_time::5,0.141336,0.150034,0.94,0.3462,corporate_large,31706,1.3752,1083,13187,6874,5089
event_time::-3,-0.23161,0.43324,-0.53,0.5929,individual_large,26087,1.3752,460,5668,2592,5089
event_time::-1,0.374426,0.518694,0.72,0.4704,individual_large,26087,1.3752,460,5668,2592,5089
event_time::0,0.53282,0.541316,0.98,0.325,individual_large,26087,1.3752,460,5668,2592,5089
event_time::1,0.181065,0.535706,0.34,0.7354,individual_large,26087,1.3752,460,5668,2592,5089
event_time::2,-0.004094,0.426816,-0.01,0.9923,individual_large,26087,1.3752,460,5668,2592,5089
event_time::3,0.285827,0.253919,1.13,0.2603,individual_large,26087,1.3752,460,5668,2592,5089
event_time::4,0.576522,0.281187,2.05,0.0403,individual_large,26087,1.3752,460,5668,2592,5089
event_time::5,0.307193,0.439184,0.7,0.4843,individual_large,26087,1.3752,460,5668,2592,5089
