term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,0.005092,0.001228,4.15,0,complaint_rate_full,2594360,0.131,66424,912563,464410,123082
event_time::-1,0.031237,0.001453,21.5,0,complaint_rate_full,2594360,0.131,66424,912563,464410,123082
event_time::0,0.057102,0.001675,34.09,0,complaint_rate_full,2594360,0.131,66424,912563,464410,123082
event_time::1,0.040702,0.001659,24.53,0,complaint_rate_full,2594360,0.131,66424,912563,464410,123082
event_time::2,0.018066,0.00152,11.89,0,complaint_rate_full,2594360,0.131,66424,912563,464410,123082
event_time::3,0.010038,0.001476,6.8,0,complaint_rate_full,2594360,0.131,66424,912563,464410,123082
event_time::4,0.007995,0.001516,5.27,0,complaint_rate_full,2594360,0.131,66424,912563,464410,123082
event_time::5,0.005721,0.001565,3.65,3e-04,complaint_rate_full,2594360,0.131,66424,912563,464410,123082
event_time::-3,0.006394,0.005438,1.18,0.2396,complaint_rate_acq_highfiler_portfolio_10plus_otherunits,1728164,0.1339,3325,46162,24788,123082
event_time::-1,0.034694,0.005969,5.81,0,complaint_rate_acq_highfiler_portfolio_10plus_otherunits,1728164,0.1339,3325,46162,24788,123082
event_time::0,0.053646,0.006686,8.02,0,complaint_rate_acq_highfiler_portfolio_10plus_otherunits,1728164,0.1339,3325,46162,24788,123082
event_time::1,0.047501,0.0073,6.51,0,complaint_rate_acq_highfiler_portfolio_10plus_otherunits,1728164,0.1339,3325,46162,24788,123082
event_time::2,0.018102,0.006021,3.01,0.0026,complaint_rate_acq_highfiler_portfolio_10plus_otherunits,1728164,0.1339,3325,46162,24788,123082
event_time::3,0.007701,0.00567,1.36,0.1744,complaint_rate_acq_highfiler_portfolio_10plus_otherunits,1728164,0.1339,3325,46162,24788,123082
event_time::4,0.002913,0.005449,0.53,0.5929,complaint_rate_acq_highfiler_portfolio_10plus_otherunits,1728164,0.1339,3325,46162,24788,123082
event_time::5,0.005621,0.005947,0.95,0.3446,complaint_rate_acq_highfiler_portfolio_10plus_otherunits,1728164,0.1339,3325,46162,24788,123082
event_time::-3,0.013166,0.004202,3.13,0.0017,complaint_rate_acq_lowfiler_portfolio_10plus_otherunits,1737970,0.1342,4105,55974,28363,123082
event_time::-1,0.045157,0.005849,7.72,0,complaint_rate_acq_lowfiler_portfolio_10plus_otherunits,1737970,0.1342,4105,55974,28363,123082
event_time::0,0.064112,0.006995,9.16,0,complaint_rate_acq_lowfiler_portfolio_10plus_otherunits,1737970,0.1342,4105,55974,28363,123082
event_time::1,0.04451,0.006534,6.81,0,complaint_rate_acq_lowfiler_portfolio_10plus_otherunits,1737970,0.1342,4105,55974,28363,123082
event_time::2,0.011283,0.005473,2.06,0.0392,complaint_rate_acq_lowfiler_portfolio_10plus_otherunits,1737970,0.1342,4105,55974,28363,123082
event_time::3,0.008609,0.004936,1.74,0.0812,complaint_rate_acq_lowfiler_portfolio_10plus_otherunits,1737970,0.1342,4105,55974,28363,123082
event_time::4,-0.00679,0.004185,-1.62,0.1047,complaint_rate_acq_lowfiler_portfolio_10plus_otherunits,1737970,0.1342,4105,55974,28363,123082
event_time::5,-0.008757,0.004451,-1.97,0.0491,complaint_rate_acq_lowfiler_portfolio_10plus_otherunits,1737970,0.1342,4105,55974,28363,123082
event_time::-3,0.00524,0.002806,1.87,0.0619,complaint_rate_acq_smallportfolio_lt10_otherunits,1891819,0.1341,15312,209866,105953,123082
event_time::-1,0.042169,0.003306,12.75,0,complaint_rate_acq_smallportfolio_lt10_otherunits,1891819,0.1341,15312,209866,105953,123082
event_time::0,0.088789,0.003924,22.63,0,complaint_rate_acq_smallportfolio_lt10_otherunits,1891819,0.1341,15312,209866,105953,123082
event_time::1,0.064292,0.003912,16.43,0,complaint_rate_acq_smallportfolio_lt10_otherunits,1891819,0.1341,15312,209866,105953,123082
event_time::2,0.039199,0.003881,10.1,0,complaint_rate_acq_smallportfolio_lt10_otherunits,1891819,0.1341,15312,209866,105953,123082
event_time::3,0.022758,0.003709,6.14,0,complaint_rate_acq_smallportfolio_lt10_otherunits,1891819,0.1341,15312,209866,105953,123082
event_time::4,0.023571,0.004034,5.84,0,complaint_rate_acq_smallportfolio_lt10_otherunits,1891819,0.1341,15312,209866,105953,123082
event_time::5,0.017179,0.00396,4.34,0,complaint_rate_acq_smallportfolio_lt10_otherunits,1891819,0.1341,15312,209866,105953,123082
event_time::-3,0.004189,0.001482,2.83,0.0047,complaint_rate_acq_singlepurchase,2282325,0.1296,43659,600428,305285,123082
event_time::-1,0.026075,0.00173,15.07,0,complaint_rate_acq_singlepurchase,2282325,0.1296,43659,600428,305285,123082
event_time::0,0.047503,0.001932,24.59,0,complaint_rate_acq_singlepurchase,2282325,0.1296,43659,600428,305285,123082
event_time::1,0.033327,0.001922,17.34,0,complaint_rate_acq_singlepurchase,2282325,0.1296,43659,600428,305285,123082
event_time::2,0.013766,0.001758,7.83,0,complaint_rate_acq_singlepurchase,2282325,0.1296,43659,600428,305285,123082
event_time::3,0.008064,0.001757,4.59,0,complaint_rate_acq_singlepurchase,2282325,0.1296,43659,600428,305285,123082
event_time::4,0.007488,0.001813,4.13,0,complaint_rate_acq_singlepurchase,2282325,0.1296,43659,600428,305285,123082
event_time::5,0.005873,0.001902,3.09,0.002,complaint_rate_acq_singlepurchase,2282325,0.1296,43659,600428,305285,123082
event_time::-3,-0.00012,0.001436,-0.08,0.9333,complaint_rate_port_single_purchase,2244961,0.1289,40971,563058,286992,123082
event_time::-1,0.023427,0.001731,13.53,0,complaint_rate_port_single_purchase,2244961,0.1289,40971,563058,286992,123082
event_time::0,0.044502,0.001952,22.79,0,complaint_rate_port_single_purchase,2244961,0.1289,40971,563058,286992,123082
event_time::1,0.030274,0.001945,15.57,0,complaint_rate_port_single_purchase,2244961,0.1289,40971,563058,286992,123082
event_time::2,0.012628,0.001789,7.06,0,complaint_rate_port_single_purchase,2244961,0.1289,40971,563058,286992,123082
event_time::3,0.006889,0.00178,3.87,1e-04,complaint_rate_port_single_purchase,2244961,0.1289,40971,563058,286992,123082
event_time::4,0.007173,0.001845,3.89,1e-04,complaint_rate_port_single_purchase,2244961,0.1289,40971,563058,286992,123082
event_time::5,0.005263,0.001937,2.72,0.0066,complaint_rate_port_single_purchase,2244961,0.1289,40971,563058,286992,123082
event_time::-3,0.002923,0.003133,0.93,0.3508,complaint_rate_port_2_4,1812186,0.134,9478,130205,66218,123082
