term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.013586,0.009592,-1.42,0.1567,corp_highfiler_portfolio_10plus_otherunits,1726766,0.3108,2929,40648,21762,123376
event_time::-1,-0.031322,0.010544,-2.97,0.003,corp_highfiler_portfolio_10plus_otherunits,1726766,0.3108,2929,40648,21762,123376
event_time::0,-0.014788,0.009985,-1.48,0.1386,corp_highfiler_portfolio_10plus_otherunits,1726766,0.3108,2929,40648,21762,123376
event_time::1,0.051955,0.013228,3.93,1e-04,corp_highfiler_portfolio_10plus_otherunits,1726766,0.3108,2929,40648,21762,123376
event_time::2,0.054849,0.01403,3.91,1e-04,corp_highfiler_portfolio_10plus_otherunits,1726766,0.3108,2929,40648,21762,123376
event_time::3,0.051119,0.010577,4.83,0,corp_highfiler_portfolio_10plus_otherunits,1726766,0.3108,2929,40648,21762,123376
event_time::4,0.021312,0.01129,1.89,0.0591,corp_highfiler_portfolio_10plus_otherunits,1726766,0.3108,2929,40648,21762,123376
event_time::5,0.033278,0.01162,2.86,0.0042,corp_highfiler_portfolio_10plus_otherunits,1726766,0.3108,2929,40648,21762,123376
event_time::-3,-0.046032,0.011398,-4.04,1e-04,indiv_highfiler_portfolio_10plus_otherunits,1690933,0.3025,343,4802,2672,123376
event_time::-1,-0.063297,0.011263,-5.62,0,indiv_highfiler_portfolio_10plus_otherunits,1690933,0.3025,343,4802,2672,123376
event_time::0,-0.009771,0.015169,-0.64,0.5195,indiv_highfiler_portfolio_10plus_otherunits,1690933,0.3025,343,4802,2672,123376
event_time::1,0.054833,0.020668,2.65,0.008,indiv_highfiler_portfolio_10plus_otherunits,1690933,0.3025,343,4802,2672,123376
event_time::2,0.068841,0.020783,3.31,9e-04,indiv_highfiler_portfolio_10plus_otherunits,1690933,0.3025,343,4802,2672,123376
event_time::3,0.060431,0.021212,2.85,0.0044,indiv_highfiler_portfolio_10plus_otherunits,1690933,0.3025,343,4802,2672,123376
event_time::4,0.120654,0.026205,4.6,0,indiv_highfiler_portfolio_10plus_otherunits,1690933,0.3025,343,4802,2672,123376
event_time::5,0.104733,0.023356,4.48,0,indiv_highfiler_portfolio_10plus_otherunits,1690933,0.3025,343,4802,2672,123376
