term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.008489,0.001813,-4.68,0,corp_1 unit,1447444,0.1765,14612,202559,99849,90413
event_time::-1,-0.009533,0.001805,-5.28,0,corp_1 unit,1447444,0.1765,14612,202559,99849,90413
event_time::0,-0.000654,0.002337,-0.28,0.7797,corp_1 unit,1447444,0.1765,14612,202559,99849,90413
event_time::1,0.037439,0.002889,12.96,0,corp_1 unit,1447444,0.1765,14612,202559,99849,90413
event_time::2,0.054544,0.003474,15.7,0,corp_1 unit,1447444,0.1765,14612,202559,99849,90413
event_time::3,0.048517,0.003685,13.16,0,corp_1 unit,1447444,0.1765,14612,202559,99849,90413
event_time::4,0.04743,0.004125,11.5,0,corp_1 unit,1447444,0.1765,14612,202559,99849,90413
event_time::5,0.038279,0.004124,9.28,0,corp_1 unit,1447444,0.1765,14612,202559,99849,90413
event_time::-3,-0.00264,0.001126,-2.35,0.019,indiv_1 unit,1753768,0.154,36766,508893,261557,90413
event_time::-1,0.011471,0.001259,9.11,0,indiv_1 unit,1753768,0.154,36766,508893,261557,90413
event_time::0,-0.001699,0.001027,-1.65,0.0981,indiv_1 unit,1753768,0.154,36766,508893,261557,90413
event_time::1,0.007051,0.001234,5.71,0,indiv_1 unit,1753768,0.154,36766,508893,261557,90413
event_time::2,0.010262,0.00134,7.66,0,indiv_1 unit,1753768,0.154,36766,508893,261557,90413
event_time::3,0.008961,0.0014,6.4,0,indiv_1 unit,1753768,0.154,36766,508893,261557,90413
event_time::4,0.011927,0.001557,7.66,0,indiv_1 unit,1753768,0.154,36766,508893,261557,90413
event_time::5,0.006323,0.001518,4.17,0,indiv_1 unit,1753768,0.154,36766,508893,261557,90413
event_time::-3,-0.000691,0.002707,-0.26,0.7986,corp_2-4 units,434470,0.2749,4366,57279,28565,27897
event_time::-1,-0.004631,0.002249,-2.06,0.0395,corp_2-4 units,434470,0.2749,4366,57279,28565,27897
event_time::0,-0.001783,0.002335,-0.76,0.4453,corp_2-4 units,434470,0.2749,4366,57279,28565,27897
event_time::1,0.012442,0.003031,4.1,0,corp_2-4 units,434470,0.2749,4366,57279,28565,27897
event_time::2,0.009193,0.003086,2.98,0.0029,corp_2-4 units,434470,0.2749,4366,57279,28565,27897
event_time::3,0.016029,0.003559,4.5,0,corp_2-4 units,434470,0.2749,4366,57279,28565,27897
event_time::4,0.013775,0.003907,3.53,4e-04,corp_2-4 units,434470,0.2749,4366,57279,28565,27897
event_time::5,0.016776,0.004175,4.02,1e-04,corp_2-4 units,434470,0.2749,4366,57279,28565,27897
event_time::-3,-0.000733,0.001516,-0.48,0.6287,indiv_2-4 units,502195,0.2511,9149,124977,64973,27897
event_time::-1,0.005345,0.001573,3.4,7e-04,indiv_2-4 units,502195,0.2511,9149,124977,64973,27897
event_time::0,0.001582,0.001393,1.14,0.2561,indiv_2-4 units,502195,0.2511,9149,124977,64973,27897
event_time::1,0.003788,0.001568,2.42,0.0157,indiv_2-4 units,502195,0.2511,9149,124977,64973,27897
event_time::2,0.003171,0.001645,1.93,0.0539,indiv_2-4 units,502195,0.2511,9149,124977,64973,27897
event_time::3,0.004221,0.001758,2.4,0.0164,indiv_2-4 units,502195,0.2511,9149,124977,64973,27897
event_time::4,0.006795,0.001949,3.49,5e-04,indiv_2-4 units,502195,0.2511,9149,124977,64973,27897
event_time::5,0.00665,0.00197,3.38,7e-04,indiv_2-4 units,502195,0.2511,9149,124977,64973,27897
event_time::-3,-0.005731,0.00444,-1.29,0.1969,corp_5-19 units,56444,0.618,788,9767,5087,3660
event_time::-1,-0.005768,0.005839,-0.99,0.3232,corp_5-19 units,56444,0.618,788,9767,5087,3660
event_time::0,0.002454,0.005308,0.46,0.6439,corp_5-19 units,56444,0.618,788,9767,5087,3660
event_time::1,0.010276,0.006042,1.7,0.089,corp_5-19 units,56444,0.618,788,9767,5087,3660
event_time::2,0.016938,0.00879,1.93,0.0541,corp_5-19 units,56444,0.618,788,9767,5087,3660
event_time::3,0.023716,0.008648,2.74,0.0061,corp_5-19 units,56444,0.618,788,9767,5087,3660
event_time::4,0.020191,0.008613,2.34,0.0191,corp_5-19 units,56444,0.618,788,9767,5087,3660
