term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,control_pids,trimmed_cohorts
event_time::-3,0.002025,0.018857,0.11,0.9145,highfiler_portfolio_10plus_otherunits,1764405,0.5468,320,32976,8
event_time::-1,-0.023675,0.016103,-1.47,0.1415,highfiler_portfolio_10plus_otherunits,1764405,0.5468,320,32976,8
event_time::0,-0.010645,0.028499,-0.37,0.7088,highfiler_portfolio_10plus_otherunits,1764405,0.5468,320,32976,8
event_time::1,0.029641,0.033666,0.88,0.3786,highfiler_portfolio_10plus_otherunits,1764405,0.5468,320,32976,8
event_time::2,0.032541,0.04362,0.75,0.4557,highfiler_portfolio_10plus_otherunits,1764405,0.5468,320,32976,8
event_time::3,0.035884,0.039927,0.9,0.3688,highfiler_portfolio_10plus_otherunits,1764405,0.5468,320,32976,8
event_time::-3,-0.005541,0.007863,-0.7,0.481,lowfiler_portfolio_10plus_otherunits,1767856,0.5449,886,32976,8
event_time::-1,0.017677,0.010589,1.67,0.0951,lowfiler_portfolio_10plus_otherunits,1767856,0.5449,886,32976,8
event_time::0,2.6e-05,0.003754,0.01,0.9944,lowfiler_portfolio_10plus_otherunits,1767856,0.5449,886,32976,8
event_time::1,0.003197,0.005016,0.64,0.5239,lowfiler_portfolio_10plus_otherunits,1767856,0.5449,886,32976,8
event_time::2,-0.006902,0.006821,-1.01,0.3116,lowfiler_portfolio_10plus_otherunits,1767856,0.5449,886,32976,8
event_time::3,-0.003076,0.007163,-0.43,0.6676,lowfiler_portfolio_10plus_otherunits,1767856,0.5449,886,32976,8
event_time::-3,0.001354,0.003303,0.41,0.6818,smallportfolio_lt10_otherunits,1772560,0.5443,1572,32976,8
event_time::-1,0.00755,0.003583,2.11,0.0351,smallportfolio_lt10_otherunits,1772560,0.5443,1572,32976,8
event_time::0,0.015473,0.004382,3.53,4e-04,smallportfolio_lt10_otherunits,1772560,0.5443,1572,32976,8
event_time::1,0.021233,0.00451,4.71,0,smallportfolio_lt10_otherunits,1772560,0.5443,1572,32976,8
event_time::2,0.018472,0.004625,3.99,1e-04,smallportfolio_lt10_otherunits,1772560,0.5443,1572,32976,8
event_time::3,0.020161,0.004372,4.61,0,smallportfolio_lt10_otherunits,1772560,0.5443,1572,32976,8
event_time::-3,-0.000756,0.002727,-0.28,0.7817,singlepurchase,1792808,0.5447,4484,32976,8
event_time::-1,0.004203,0.002572,1.63,0.1023,singlepurchase,1792808,0.5447,4484,32976,8
event_time::0,-0.000978,0.003565,-0.27,0.7838,singlepurchase,1792808,0.5447,4484,32976,8
event_time::1,0.005102,0.003733,1.37,0.1717,singlepurchase,1792808,0.5447,4484,32976,8
event_time::2,0.010208,0.003913,2.61,0.0091,singlepurchase,1792808,0.5447,4484,32976,8
event_time::3,0.009395,0.004216,2.23,0.0259,singlepurchase,1792808,0.5447,4484,32976,8
