term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,control_pids,trimmed_cohorts
event_time::-3,-0.000599,0.001318,-0.45,0.6493,core_all_units,6960484,0.3561,32006,123376,8
event_time::-1,0.004464,0.001415,3.16,0.0016,core_all_units,6960484,0.3561,32006,123376,8
event_time::0,0.001467,0.00162,0.91,0.3653,core_all_units,6960484,0.3561,32006,123376,8
event_time::1,0.011217,0.00185,6.06,0,core_all_units,6960484,0.3561,32006,123376,8
event_time::2,0.013818,0.00213,6.49,0,core_all_units,6960484,0.3561,32006,123376,8
event_time::3,0.014449,0.002154,6.71,0,core_all_units,6960484,0.3561,32006,123376,8
event_time::-3,0.000186,0.001017,0.18,0.8549,core_1unit,5148966,0.1452,24676,90413,8
event_time::-1,0.004455,0.001097,4.06,0,core_1unit,5148966,0.1452,24676,90413,8
event_time::0,0.002153,0.001122,1.92,0.055,core_1unit,5148966,0.1452,24676,90413,8
event_time::1,0.013736,0.001281,10.72,0,core_1unit,5148966,0.1452,24676,90413,8
event_time::2,0.018196,0.001336,13.62,0,core_1unit,5148966,0.1452,24676,90413,8
event_time::3,0.017488,0.001323,13.22,0,core_1unit,5148966,0.1452,24676,90413,8
event_time::-3,-0.001187,0.00244,-0.49,0.6266,core_2plus,1811495,0.543,7330,32976,8
event_time::-1,0.004497,0.002611,1.72,0.085,core_2plus,1811495,0.543,7330,32976,8
event_time::0,0.000801,0.003023,0.27,0.7909,core_2plus,1811495,0.543,7330,32976,8
event_time::1,0.008756,0.003428,2.55,0.0107,core_2plus,1811495,0.543,7330,32976,8
event_time::2,0.00983,0.003982,2.47,0.0136,core_2plus,1811495,0.543,7330,32976,8
event_time::3,0.011761,0.004015,2.93,0.0034,core_2plus,1811495,0.543,7330,32976,8
event_time::-3,-0.00574,0.00545,-1.05,0.2923,core_2plus_rental_evidence,985907,0.5582,6148,28792,8
event_time::-1,0.010249,0.005957,1.72,0.0853,core_2plus_rental_evidence,985907,0.5582,6148,28792,8
event_time::0,-0.001882,0.006543,-0.29,0.7737,core_2plus_rental_evidence,985907,0.5582,6148,28792,8
event_time::1,0.008348,0.007692,1.09,0.2778,core_2plus_rental_evidence,985907,0.5582,6148,28792,8
event_time::2,0.006793,0.008689,0.78,0.4343,core_2plus_rental_evidence,985907,0.5582,6148,28792,8
event_time::3,0.008375,0.008848,0.95,0.3439,core_2plus_rental_evidence,985907,0.5582,6148,28792,8
event_time::-3,-0.003517,0.0054,-0.65,0.5149,core_5plus,258330,0.7637,662,5089,8
event_time::-1,0.000878,0.005746,0.15,0.8786,core_5plus,258330,0.7637,662,5089,8
event_time::0,-0.005245,0.006706,-0.78,0.4342,core_5plus,258330,0.7637,662,5089,8
event_time::1,0.005133,0.007632,0.67,0.5013,core_5plus,258330,0.7637,662,5089,8
event_time::2,0.010763,0.008951,1.2,0.2293,core_5plus,258330,0.7637,662,5089,8
event_time::3,0.014084,0.008995,1.57,0.1174,core_5plus,258330,0.7637,662,5089,8
event_time::-3,-0.00823,0.010435,-0.79,0.4303,core_5plus_rental_evidence,113778,0.7482,548,3874,8
event_time::-1,0.001869,0.011016,0.17,0.8653,core_5plus_rental_evidence,113778,0.7482,548,3874,8
event_time::0,-0.007173,0.012311,-0.58,0.5602,core_5plus_rental_evidence,113778,0.7482,548,3874,8
event_time::1,0.009318,0.013945,0.67,0.5041,core_5plus_rental_evidence,113778,0.7482,548,3874,8
event_time::2,0.015964,0.015637,1.02,0.3074,core_5plus_rental_evidence,113778,0.7482,548,3874,8
event_time::3,0.018985,0.016137,1.18,0.2395,core_5plus_rental_evidence,113778,0.7482,548,3874,8
event_time::-3,-0.004305,0.006665,-0.65,0.5184,core_10plus,121631,0.7844,290,2551,8
event_time::-1,0.001311,0.007122,0.18,0.854,core_10plus,121631,0.7844,290,2551,8
event_time::0,-0.009428,0.008272,-1.14,0.2545,core_10plus,121631,0.7844,290,2551,8
event_time::1,0.004422,0.009393,0.47,0.6379,core_10plus,121631,0.7844,290,2551,8
event_time::2,0.009592,0.011007,0.87,0.3836,core_10plus,121631,0.7844,290,2551,8
event_time::3,0.013827,0.011124,1.24,0.214,core_10plus,121631,0.7844,290,2551,8
event_time::-3,-0.010719,0.012525,-0.86,0.3922,core_10plus_rental_evidence,57728,0.7681,236,1923,8
event_time::-1,0.001336,0.013187,0.1,0.9193,core_10plus_rental_evidence,57728,0.7681,236,1923,8
event_time::0,-0.015239,0.014766,-1.03,0.3022,core_10plus_rental_evidence,57728,0.7681,236,1923,8
event_time::1,0.007887,0.016625,0.47,0.6353,core_10plus_rental_evidence,57728,0.7681,236,1923,8
event_time::2,0.014474,0.018686,0.77,0.4387,core_10plus_rental_evidence,57728,0.7681,236,1923,8
event_time::3,0.018977,0.019367,0.98,0.3273,core_10plus_rental_evidence,57728,0.7681,236,1923,8
