term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.004536,0.000962,-4.71,0,1unit,1956298,0.1602,51378,711452,361406,90413
event_time::-1,0.005093,0.001037,4.91,0,1unit,1956298,0.1602,51378,711452,361406,90413
event_time::0,-0.001509,0.000993,-1.52,0.1286,1unit,1956298,0.1602,51378,711452,361406,90413
event_time::1,0.01513,0.001196,12.65,0,1unit,1956298,0.1602,51378,711452,361406,90413
event_time::2,0.021641,0.001347,16.07,0,1unit,1956298,0.1602,51378,711452,361406,90413
event_time::3,0.018658,0.001402,13.31,0,1unit,1956298,0.1602,51378,711452,361406,90413
event_time::4,0.020251,0.001543,13.13,0,1unit,1956298,0.1602,51378,711452,361406,90413
event_time::5,0.013429,0.001501,8.95,0,1unit,1956298,0.1602,51378,711452,361406,90413
event_time::-3,-0.001944,0.001716,-1.13,0.2574,2plus,642173,0.4819,15051,201111,103004,32976
event_time::-1,-0.000328,0.002063,-0.16,0.8736,2plus,642173,0.4819,15051,201111,103004,32976
event_time::0,-0.000233,0.001769,-0.13,0.8951,2plus,642173,0.4819,15051,201111,103004,32976
event_time::1,0.008869,0.002411,3.68,2e-04,2plus,642173,0.4819,15051,201111,103004,32976
event_time::2,0.007337,0.002703,2.71,0.0067,2plus,642173,0.4819,15051,201111,103004,32976
event_time::3,0.010733,0.002817,3.81,1e-04,2plus,642173,0.4819,15051,201111,103004,32976
event_time::4,0.009126,0.002468,3.7,2e-04,2plus,642173,0.4819,15051,201111,103004,32976
event_time::5,0.011658,0.002641,4.41,0,2plus,642173,0.4819,15051,201111,103004,32976
