term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.007914,0.009995,-0.79,0.4285,log_income_full,1921491,0.6743,63641,685326,339820,113043
event_time::-1,-0.011001,0.010206,-1.08,0.2811,log_income_full,1921491,0.6743,63641,685326,339820,113043
event_time::0,-0.015729,0.010319,-1.52,0.1274,log_income_full,1921491,0.6743,63641,685326,339820,113043
event_time::1,-0.001898,0.010285,-0.18,0.8536,log_income_full,1921491,0.6743,63641,685326,339820,113043
event_time::2,0.023638,0.011207,2.11,0.0349,log_income_full,1921491,0.6743,63641,685326,339820,113043
event_time::3,0.050567,0.010367,4.88,0,log_income_full,1921491,0.6743,63641,685326,339820,113043
event_time::4,0.02968,0.014297,2.08,0.0379,log_income_full,1921491,0.6743,63641,685326,339820,113043
event_time::5,0.028563,0.014706,1.94,0.0521,log_income_full,1921491,0.6743,63641,685326,339820,113043
event_time::-3,-0.063518,0.054631,-1.16,0.245,log_income_acq_highfiler_portfolio_10plus_otherunits,1269592,0.6819,3208,32597,16517,113043
event_time::-1,-0.06553,0.060601,-1.08,0.2795,log_income_acq_highfiler_portfolio_10plus_otherunits,1269592,0.6819,3208,32597,16517,113043
event_time::0,-0.060035,0.067163,-0.89,0.3714,log_income_acq_highfiler_portfolio_10plus_otherunits,1269592,0.6819,3208,32597,16517,113043
event_time::1,-0.116444,0.069461,-1.68,0.0937,log_income_acq_highfiler_portfolio_10plus_otherunits,1269592,0.6819,3208,32597,16517,113043
event_time::2,-0.073753,0.040541,-1.82,0.0689,log_income_acq_highfiler_portfolio_10plus_otherunits,1269592,0.6819,3208,32597,16517,113043
event_time::3,-0.046321,0.043559,-1.06,0.2876,log_income_acq_highfiler_portfolio_10plus_otherunits,1269592,0.6819,3208,32597,16517,113043
event_time::4,-0.06097,0.043336,-1.41,0.1595,log_income_acq_highfiler_portfolio_10plus_otherunits,1269592,0.6819,3208,32597,16517,113043
event_time::5,-0.077199,0.047306,-1.63,0.1027,log_income_acq_highfiler_portfolio_10plus_otherunits,1269592,0.6819,3208,32597,16517,113043
event_time::-3,-0.042097,0.037899,-1.11,0.2667,log_income_acq_lowfiler_portfolio_10plus_otherunits,1273754,0.6854,3764,36809,17873,113043
event_time::-1,0.008288,0.043619,0.19,0.8493,log_income_acq_lowfiler_portfolio_10plus_otherunits,1273754,0.6854,3764,36809,17873,113043
event_time::0,-0.006499,0.025765,-0.25,0.8008,log_income_acq_lowfiler_portfolio_10plus_otherunits,1273754,0.6854,3764,36809,17873,113043
event_time::1,-0.022889,0.037334,-0.61,0.5398,log_income_acq_lowfiler_portfolio_10plus_otherunits,1273754,0.6854,3764,36809,17873,113043
event_time::2,-0.052934,0.048852,-1.08,0.2786,log_income_acq_lowfiler_portfolio_10plus_otherunits,1273754,0.6854,3764,36809,17873,113043
event_time::3,-0.025054,0.03962,-0.63,0.5272,log_income_acq_lowfiler_portfolio_10plus_otherunits,1273754,0.6854,3764,36809,17873,113043
event_time::4,0.00977,0.041091,0.24,0.8121,log_income_acq_lowfiler_portfolio_10plus_otherunits,1273754,0.6854,3764,36809,17873,113043
event_time::5,-0.014256,0.032604,-0.44,0.6619,log_income_acq_lowfiler_portfolio_10plus_otherunits,1273754,0.6854,3764,36809,17873,113043
event_time::-3,0.023056,0.010349,2.23,0.0259,log_income_acq_smallportfolio_lt10_otherunits,1388555,0.6792,14560,151749,73605,113043
event_time::-1,0.023676,0.011223,2.11,0.0349,log_income_acq_smallportfolio_lt10_otherunits,1388555,0.6792,14560,151749,73605,113043
event_time::0,-0.001222,0.0115,-0.11,0.9154,log_income_acq_smallportfolio_lt10_otherunits,1388555,0.6792,14560,151749,73605,113043
event_time::1,-0.026541,0.011207,-2.37,0.0179,log_income_acq_smallportfolio_lt10_otherunits,1388555,0.6792,14560,151749,73605,113043
event_time::2,-0.018726,0.010636,-1.76,0.0783,log_income_acq_smallportfolio_lt10_otherunits,1388555,0.6792,14560,151749,73605,113043
event_time::3,0.001744,0.011684,0.15,0.8813,log_income_acq_smallportfolio_lt10_otherunits,1388555,0.6792,14560,151749,73605,113043
event_time::4,-0.004108,0.011902,-0.35,0.73,log_income_acq_smallportfolio_lt10_otherunits,1388555,0.6792,14560,151749,73605,113043
event_time::5,0.012808,0.013601,0.94,0.3463,log_income_acq_smallportfolio_lt10_otherunits,1388555,0.6792,14560,151749,73605,113043
event_time::-3,-0.00433,0.012911,-0.34,0.7373,log_income_acq_singlepurchase,1700647,0.6786,42093,464065,231813,113043
event_time::-1,-0.017847,0.012647,-1.41,0.1582,log_income_acq_singlepurchase,1700647,0.6786,42093,464065,231813,113043
event_time::0,-0.017019,0.013005,-1.31,0.1907,log_income_acq_singlepurchase,1700647,0.6786,42093,464065,231813,113043
event_time::1,0.018654,0.012311,1.52,0.1297,log_income_acq_singlepurchase,1700647,0.6786,42093,464065,231813,113043
event_time::2,0.054432,0.014876,3.66,3e-04,log_income_acq_singlepurchase,1700647,0.6786,42093,464065,231813,113043
event_time::3,0.086065,0.013472,6.39,0,log_income_acq_singlepurchase,1700647,0.6786,42093,464065,231813,113043
event_time::4,0.053362,0.020157,2.65,0.0081,log_income_acq_singlepurchase,1700647,0.6786,42093,464065,231813,113043
event_time::5,0.051635,0.020847,2.48,0.0133,log_income_acq_singlepurchase,1700647,0.6786,42093,464065,231813,113043
event_time::-3,-0.009205,0.013447,-0.68,0.4936,log_income_port_single_purchase,1677028,0.6791,39635,440378,221188,113043
event_time::-1,-0.021406,0.012709,-1.68,0.0921,log_income_port_single_purchase,1677028,0.6791,39635,440378,221188,113043
event_time::0,-0.019355,0.012493,-1.55,0.1213,log_income_port_single_purchase,1677028,0.6791,39635,440378,221188,113043
event_time::1,0.019352,0.012005,1.61,0.107,log_income_port_single_purchase,1677028,0.6791,39635,440378,221188,113043
event_time::2,0.055088,0.015034,3.66,2e-04,log_income_port_single_purchase,1677028,0.6791,39635,440378,221188,113043
