term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,0.003443,0.003527,0.98,0.3289,log_income_diag_1unit,1440079,0.6462,49726,531835,262473,84102
event_time::-1,0.010939,0.003712,2.95,0.0032,log_income_diag_1unit,1440079,0.6462,49726,531835,262473,84102
event_time::0,0.004087,0.003954,1.03,0.3014,log_income_diag_1unit,1440079,0.6462,49726,531835,262473,84102
event_time::1,0.014484,0.003831,3.78,2e-04,log_income_diag_1unit,1440079,0.6462,49726,531835,262473,84102
event_time::2,0.044619,0.003993,11.17,0,log_income_diag_1unit,1440079,0.6462,49726,531835,262473,84102
event_time::3,0.061242,0.004213,14.54,0,log_income_diag_1unit,1440079,0.6462,49726,531835,262473,84102
event_time::4,0.057361,0.004351,13.18,0,log_income_diag_1unit,1440079,0.6462,49726,531835,262473,84102
event_time::5,0.044465,0.004363,10.19,0,log_income_diag_1unit,1440079,0.6462,49726,531835,262473,84102
event_time::-3,-0.029846,0.017688,-1.69,0.0916,log_income_diag_2plus,481412,0.7193,13915,153491,77347,28941
event_time::-1,-0.022926,0.019242,-1.19,0.2335,log_income_diag_2plus,481412,0.7193,13915,153491,77347,28941
event_time::0,-0.020519,0.018798,-1.09,0.2751,log_income_diag_2plus,481412,0.7193,13915,153491,77347,28941
event_time::1,-0.008039,0.020056,-0.4,0.6886,log_income_diag_2plus,481412,0.7193,13915,153491,77347,28941
event_time::2,0.006467,0.021003,0.31,0.7581,log_income_diag_2plus,481412,0.7193,13915,153491,77347,28941
event_time::3,0.032281,0.017956,1.8,0.0722,log_income_diag_2plus,481412,0.7193,13915,153491,77347,28941
event_time::4,-0.009373,0.025622,-0.37,0.7145,log_income_diag_2plus,481412,0.7193,13915,153491,77347,28941
event_time::5,-0.002912,0.027175,-0.11,0.9147,log_income_diag_2plus,481412,0.7193,13915,153491,77347,28941
