term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.016905,0.012229,-1.38,0.1669,log_income_tract_year_corporate,1423292,0.7418,18615,186819,87599,113035
event_time::-1,0.007553,0.012207,0.62,0.5361,log_income_tract_year_corporate,1423292,0.7418,18615,186819,87599,113035
event_time::0,0.008049,0.012462,0.65,0.5183,log_income_tract_year_corporate,1423292,0.7418,18615,186819,87599,113035
event_time::1,-0.022031,0.013596,-1.62,0.1051,log_income_tract_year_corporate,1423292,0.7418,18615,186819,87599,113035
event_time::2,-0.039057,0.017499,-2.23,0.0256,log_income_tract_year_corporate,1423292,0.7418,18615,186819,87599,113035
event_time::3,-0.021638,0.015782,-1.37,0.1704,log_income_tract_year_corporate,1423292,0.7418,18615,186819,87599,113035
event_time::4,-0.025227,0.017038,-1.48,0.1387,log_income_tract_year_corporate,1423292,0.7418,18615,186819,87599,113035
event_time::5,-0.008358,0.01553,-0.54,0.5905,log_income_tract_year_corporate,1423292,0.7418,18615,186819,87599,113035
event_time::-3,0.014394,0.004321,3.33,9e-04,log_income_tract_year_individual,1734948,0.7294,45019,498447,252197,113035
event_time::-1,-0.005255,0.004829,-1.09,0.2765,log_income_tract_year_individual,1734948,0.7294,45019,498447,252197,113035
event_time::0,-0.014434,0.00462,-3.12,0.0018,log_income_tract_year_individual,1734948,0.7294,45019,498447,252197,113035
event_time::1,0.010127,0.004533,2.23,0.0255,log_income_tract_year_individual,1734948,0.7294,45019,498447,252197,113035
event_time::2,0.043597,0.004741,9.2,0,log_income_tract_year_individual,1734948,0.7294,45019,498447,252197,113035
event_time::3,0.060965,0.004972,12.26,0,log_income_tract_year_individual,1734948,0.7294,45019,498447,252197,113035
event_time::4,0.050919,0.005274,9.65,0,log_income_tract_year_individual,1734948,0.7294,45019,498447,252197,113035
event_time::5,0.036445,0.004911,7.42,0,log_income_tract_year_individual,1734948,0.7294,45019,498447,252197,113035
