term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.004163,0.003444,-1.21,0.2268,nhood_gentrified,68722,0.3995,2149,11898,11898,4458
event_time::-1,0.002044,0.003502,0.58,0.5596,nhood_gentrified,68722,0.3995,2149,11898,11898,4458
event_time::0,0.003044,0.003685,0.83,0.4087,nhood_gentrified,68722,0.3995,2149,11898,11898,4458
event_time::1,0.005896,0.004019,1.47,0.1424,nhood_gentrified,68722,0.3995,2149,11898,11898,4458
event_time::2,0.004123,0.005079,0.81,0.417,nhood_gentrified,68722,0.3995,2149,11898,11898,4458
event_time::3,0.00774,0.005015,1.54,0.1227,nhood_gentrified,68722,0.3995,2149,11898,11898,4458
event_time::-3,0.004835,0.002761,1.75,0.0799,nhood_did_not_gentrify,168484,0.3608,4894,27939,27939,10396
event_time::-1,0.000658,0.002656,0.25,0.8043,nhood_did_not_gentrify,168484,0.3608,4894,27939,27939,10396
event_time::0,0.004736,0.003688,1.28,0.1991,nhood_did_not_gentrify,168484,0.3608,4894,27939,27939,10396
event_time::1,0.015022,0.004178,3.6,3e-04,nhood_did_not_gentrify,168484,0.3608,4894,27939,27939,10396
event_time::2,0.014499,0.00542,2.67,0.0075,nhood_did_not_gentrify,168484,0.3608,4894,27939,27939,10396
event_time::3,0.026147,0.006107,4.28,0,nhood_did_not_gentrify,168484,0.3608,4894,27939,27939,10396
event_time::-3,-0.00281,0.003278,-0.86,0.3913,nhood_not_gentrifiable,274750,0.5693,7482,43768,43768,17089
event_time::-1,0.001169,0.003217,0.36,0.7164,nhood_not_gentrifiable,274750,0.5693,7482,43768,43768,17089
event_time::0,-0.000418,0.003813,-0.11,0.9127,nhood_not_gentrifiable,274750,0.5693,7482,43768,43768,17089
event_time::1,0.011754,0.004981,2.36,0.0183,nhood_not_gentrifiable,274750,0.5693,7482,43768,43768,17089
event_time::2,0.009296,0.006119,1.52,0.1287,nhood_not_gentrifiable,274750,0.5693,7482,43768,43768,17089
event_time::3,0.008892,0.005947,1.5,0.1349,nhood_not_gentrifiable,274750,0.5693,7482,43768,43768,17089
