term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,0.006436,0.00351,1.83,0.0667,occupancy_rate_full,2598476,0.614,66424,912563,464410,123376
event_time::-1,0.003031,0.003736,0.81,0.4172,occupancy_rate_full,2598476,0.614,66424,912563,464410,123376
event_time::0,-0.0012,0.004301,-0.28,0.7802,occupancy_rate_full,2598476,0.614,66424,912563,464410,123376
event_time::1,-0.005364,0.004848,-1.11,0.2685,occupancy_rate_full,2598476,0.614,66424,912563,464410,123376
event_time::2,-0.006884,0.00508,-1.36,0.1754,occupancy_rate_full,2598476,0.614,66424,912563,464410,123376
event_time::3,-0.010795,0.005671,-1.9,0.057,occupancy_rate_full,2598476,0.614,66424,912563,464410,123376
event_time::4,-0.00747,0.005806,-1.29,0.1982,occupancy_rate_full,2598476,0.614,66424,912563,464410,123376
event_time::5,-0.012031,0.005008,-2.4,0.0163,occupancy_rate_full,2598476,0.614,66424,912563,464410,123376
event_time::-3,-0.02289,0.017313,-1.32,0.1861,occupancy_rate_acq_highfiler_portfolio_10plus_otherunits,1732280,0.6005,3325,46162,24788,123376
event_time::-1,-0.037491,0.019948,-1.88,0.0602,occupancy_rate_acq_highfiler_portfolio_10plus_otherunits,1732280,0.6005,3325,46162,24788,123376
event_time::0,-0.022091,0.019774,-1.12,0.2639,occupancy_rate_acq_highfiler_portfolio_10plus_otherunits,1732280,0.6005,3325,46162,24788,123376
event_time::1,-0.028666,0.020318,-1.41,0.1583,occupancy_rate_acq_highfiler_portfolio_10plus_otherunits,1732280,0.6005,3325,46162,24788,123376
event_time::2,-0.050212,0.020857,-2.41,0.0161,occupancy_rate_acq_highfiler_portfolio_10plus_otherunits,1732280,0.6005,3325,46162,24788,123376
event_time::3,-0.053817,0.025054,-2.15,0.0317,occupancy_rate_acq_highfiler_portfolio_10plus_otherunits,1732280,0.6005,3325,46162,24788,123376
event_time::4,-0.01203,0.016407,-0.73,0.4634,occupancy_rate_acq_highfiler_portfolio_10plus_otherunits,1732280,0.6005,3325,46162,24788,123376
event_time::5,-0.000736,0.01503,-0.05,0.9609,occupancy_rate_acq_highfiler_portfolio_10plus_otherunits,1732280,0.6005,3325,46162,24788,123376
event_time::-3,-0.004773,0.013358,-0.36,0.7208,occupancy_rate_acq_lowfiler_portfolio_10plus_otherunits,1742086,0.6062,4105,55974,28363,123376
event_time::-1,-0.02976,0.016111,-1.85,0.0647,occupancy_rate_acq_lowfiler_portfolio_10plus_otherunits,1742086,0.6062,4105,55974,28363,123376
