term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,0.009633,0.000779,12.36,0,occupancy_rate_diag_1unit,1956298,0.5276,51378,711452,361406,90413
event_time::-1,0.009745,0.000794,12.28,0,occupancy_rate_diag_1unit,1956298,0.5276,51378,711452,361406,90413
event_time::0,0.009516,0.000802,11.86,0,occupancy_rate_diag_1unit,1956298,0.5276,51378,711452,361406,90413
event_time::1,0.011401,0.000846,13.47,0,occupancy_rate_diag_1unit,1956298,0.5276,51378,711452,361406,90413
event_time::2,0.010945,0.000866,12.64,0,occupancy_rate_diag_1unit,1956298,0.5276,51378,711452,361406,90413
event_time::3,0.0091,0.000867,10.5,0,occupancy_rate_diag_1unit,1956298,0.5276,51378,711452,361406,90413
event_time::4,0.007419,0.000798,9.29,0,occupancy_rate_diag_1unit,1956298,0.5276,51378,711452,361406,90413
event_time::5,0.004656,0.000639,7.29,0,occupancy_rate_diag_1unit,1956298,0.5276,51378,711452,361406,90413
event_time::-3,0.003018,0.006883,0.44,0.6611,occupancy_rate_diag_2plus,642173,0.4677,15051,201111,103004,32976
event_time::-1,-0.004456,0.007305,-0.61,0.5419,occupancy_rate_diag_2plus,642173,0.4677,15051,201111,103004,32976
event_time::0,-0.011948,0.008439,-1.42,0.1568,occupancy_rate_diag_2plus,642173,0.4677,15051,201111,103004,32976
event_time::1,-0.022844,0.009445,-2.42,0.0156,occupancy_rate_diag_2plus,642173,0.4677,15051,201111,103004,32976
event_time::2,-0.026615,0.009872,-2.7,0.007,occupancy_rate_diag_2plus,642173,0.4677,15051,201111,103004,32976
event_time::3,-0.033033,0.011037,-2.99,0.0028,occupancy_rate_diag_2plus,642173,0.4677,15051,201111,103004,32976
event_time::4,-0.025307,0.011207,-2.26,0.0239,occupancy_rate_diag_2plus,642173,0.4677,15051,201111,103004,32976
event_time::5,-0.034122,0.009685,-3.52,4e-04,occupancy_rate_diag_2plus,642173,0.4677,15051,201111,103004,32976
