term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.003643,5e-04,-7.29,0,pct_asian_full,1976241,0.5451,64297,690094,341008,117404
event_time::-1,-0.004269,0.000614,-6.96,0,pct_asian_full,1976241,0.5451,64297,690094,341008,117404
event_time::0,0.004052,0.00072,5.63,0,pct_asian_full,1976241,0.5451,64297,690094,341008,117404
event_time::1,0.038419,0.001056,36.38,0,pct_asian_full,1976241,0.5451,64297,690094,341008,117404
event_time::2,0.0224,0.000917,24.43,0,pct_asian_full,1976241,0.5451,64297,690094,341008,117404
event_time::3,0.008513,0.000884,9.63,0,pct_asian_full,1976241,0.5451,64297,690094,341008,117404
event_time::4,0.007556,0.000997,7.58,0,pct_asian_full,1976241,0.5451,64297,690094,341008,117404
event_time::5,0.006255,0.000806,7.76,0,pct_asian_full,1976241,0.5451,64297,690094,341008,117404
event_time::-3,0.001561,0.001301,1.2,0.2305,pct_asian_acq_highfiler_portfolio_10plus_otherunits,1319547,0.5733,3213,32519,16451,117404
event_time::-1,0.001264,0.001693,0.75,0.4553,pct_asian_acq_highfiler_portfolio_10plus_otherunits,1319547,0.5733,3213,32519,16451,117404
event_time::0,-0.000404,0.001617,-0.25,0.8026,pct_asian_acq_highfiler_portfolio_10plus_otherunits,1319547,0.5733,3213,32519,16451,117404
event_time::1,0.000857,0.001817,0.47,0.6371,pct_asian_acq_highfiler_portfolio_10plus_otherunits,1319547,0.5733,3213,32519,16451,117404
event_time::2,-0.001431,0.001518,-0.94,0.3457,pct_asian_acq_highfiler_portfolio_10plus_otherunits,1319547,0.5733,3213,32519,16451,117404
event_time::3,-0.001436,0.001099,-1.31,0.1914,pct_asian_acq_highfiler_portfolio_10plus_otherunits,1319547,0.5733,3213,32519,16451,117404
event_time::4,-0.003584,0.001413,-2.54,0.0112,pct_asian_acq_highfiler_portfolio_10plus_otherunits,1319547,0.5733,3213,32519,16451,117404
event_time::5,-0.000772,0.001605,-0.48,0.6307,pct_asian_acq_highfiler_portfolio_10plus_otherunits,1319547,0.5733,3213,32519,16451,117404
event_time::-3,-0.001457,0.00201,-0.73,0.4684,pct_asian_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.5712,3831,37620,18134,117404
event_time::-1,-0.005371,0.001312,-4.1,0,pct_asian_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.5712,3831,37620,18134,117404
event_time::0,-0.008643,0.00305,-2.83,0.0046,pct_asian_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.5712,3831,37620,18134,117404
event_time::1,-0.005081,0.002388,-2.13,0.0333,pct_asian_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.5712,3831,37620,18134,117404
event_time::2,-0.003494,0.002649,-1.32,0.1871,pct_asian_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.5712,3831,37620,18134,117404
event_time::3,-0.003701,0.004958,-0.75,0.4553,pct_asian_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.5712,3831,37620,18134,117404
event_time::4,-0.000188,0.007806,-0.02,0.9808,pct_asian_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.5712,3831,37620,18134,117404
event_time::5,0.00049,0.004232,0.12,0.9079,pct_asian_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.5712,3831,37620,18134,117404
event_time::-3,-0.003564,9e-04,-3.96,1e-04,pct_asian_acq_smallportfolio_lt10_otherunits,1438826,0.5646,14641,151999,73542,117404
event_time::-1,-0.003108,0.001232,-2.52,0.0116,pct_asian_acq_smallportfolio_lt10_otherunits,1438826,0.5646,14641,151999,73542,117404
