term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.005228,0.000552,-9.47,0,pct_asian_diag_1unit,1462426,0.5179,50060,532838,262336,86242
event_time::-1,-0.006906,0.000637,-10.84,0,pct_asian_diag_1unit,1462426,0.5179,50060,532838,262336,86242
event_time::0,0.009445,0.000954,9.9,0,pct_asian_diag_1unit,1462426,0.5179,50060,532838,262336,86242
event_time::1,0.070348,0.001384,50.83,0,pct_asian_diag_1unit,1462426,0.5179,50060,532838,262336,86242
event_time::2,0.040321,0.001183,34.07,0,pct_asian_diag_1unit,1462426,0.5179,50060,532838,262336,86242
event_time::3,0.012956,9e-04,14.4,0,pct_asian_diag_1unit,1462426,0.5179,50060,532838,262336,86242
event_time::4,0.011775,0.000888,13.26,0,pct_asian_diag_1unit,1462426,0.5179,50060,532838,262336,86242
event_time::5,0.010184,0.000864,11.79,0,pct_asian_diag_1unit,1462426,0.5179,50060,532838,262336,86242
event_time::-3,-0.002025,0.000805,-2.51,0.012,pct_asian_diag_2plus,513815,0.5876,14237,157256,78672,31162
event_time::-1,-0.002145,0.000999,-2.15,0.0317,pct_asian_diag_2plus,513815,0.5876,14237,157256,78672,31162
event_time::0,-0.001277,0.001039,-1.23,0.2193,pct_asian_diag_2plus,513815,0.5876,14237,157256,78672,31162
event_time::1,0.006396,0.001144,5.59,0,pct_asian_diag_2plus,513815,0.5876,14237,157256,78672,31162
event_time::2,0.004658,0.001222,3.81,1e-04,pct_asian_diag_2plus,513815,0.5876,14237,157256,78672,31162
event_time::3,0.003878,0.001462,2.65,0.008,pct_asian_diag_2plus,513815,0.5876,14237,157256,78672,31162
event_time::4,0.003406,0.001692,2.01,0.0442,pct_asian_diag_2plus,513815,0.5876,14237,157256,78672,31162
event_time::5,0.002614,0.00131,2,0.046,pct_asian_diag_2plus,513815,0.5876,14237,157256,78672,31162
