term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.000729,0.000934,-0.78,0.4353,pct_black_full,1976241,0.8984,64297,690094,341008,117404
event_time::-1,-0.002822,0.001306,-2.16,0.0307,pct_black_full,1976241,0.8984,64297,690094,341008,117404
event_time::0,-0.006527,0.001263,-5.17,0,pct_black_full,1976241,0.8984,64297,690094,341008,117404
event_time::1,-0.019601,0.001383,-14.17,0,pct_black_full,1976241,0.8984,64297,690094,341008,117404
event_time::2,-0.012115,0.001531,-7.91,0,pct_black_full,1976241,0.8984,64297,690094,341008,117404
event_time::3,-0.001479,0.001686,-0.88,0.3804,pct_black_full,1976241,0.8984,64297,690094,341008,117404
event_time::4,0.000761,0.001615,0.47,0.6374,pct_black_full,1976241,0.8984,64297,690094,341008,117404
event_time::5,0.000456,0.001514,0.3,0.7635,pct_black_full,1976241,0.8984,64297,690094,341008,117404
event_time::-3,-0.009942,0.003644,-2.73,0.0064,pct_black_acq_highfiler_portfolio_10plus_otherunits,1319547,0.9057,3213,32519,16451,117404
event_time::-1,-0.003621,0.007532,-0.48,0.6307,pct_black_acq_highfiler_portfolio_10plus_otherunits,1319547,0.9057,3213,32519,16451,117404
event_time::0,-0.00603,0.004518,-1.33,0.1819,pct_black_acq_highfiler_portfolio_10plus_otherunits,1319547,0.9057,3213,32519,16451,117404
event_time::1,-0.006166,0.005547,-1.11,0.2663,pct_black_acq_highfiler_portfolio_10plus_otherunits,1319547,0.9057,3213,32519,16451,117404
event_time::2,-0.001729,0.005867,-0.29,0.7683,pct_black_acq_highfiler_portfolio_10plus_otherunits,1319547,0.9057,3213,32519,16451,117404
event_time::3,0.011703,0.006892,1.7,0.0895,pct_black_acq_highfiler_portfolio_10plus_otherunits,1319547,0.9057,3213,32519,16451,117404
event_time::4,0.018508,0.006627,2.79,0.0052,pct_black_acq_highfiler_portfolio_10plus_otherunits,1319547,0.9057,3213,32519,16451,117404
event_time::5,0.012446,0.007623,1.63,0.1025,pct_black_acq_highfiler_portfolio_10plus_otherunits,1319547,0.9057,3213,32519,16451,117404
event_time::-3,-0.000215,0.003154,-0.07,0.9455,pct_black_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.9062,3831,37620,18134,117404
event_time::-1,-0.00473,0.007764,-0.61,0.5424,pct_black_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.9062,3831,37620,18134,117404
event_time::0,-0.00299,0.004884,-0.61,0.5404,pct_black_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.9062,3831,37620,18134,117404
event_time::1,0.000249,0.006076,0.04,0.9673,pct_black_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.9062,3831,37620,18134,117404
event_time::2,0.001091,0.006819,0.16,0.8729,pct_black_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.9062,3831,37620,18134,117404
