term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.002663,0.000905,-2.94,0.0033,pct_black_diag_1unit,1462426,0.8681,50060,532838,262336,86242
event_time::-1,-0.005185,0.001039,-4.99,0,pct_black_diag_1unit,1462426,0.8681,50060,532838,262336,86242
event_time::0,-0.013038,0.00118,-11.05,0,pct_black_diag_1unit,1462426,0.8681,50060,532838,262336,86242
event_time::1,-0.033839,0.001306,-25.92,0,pct_black_diag_1unit,1462426,0.8681,50060,532838,262336,86242
event_time::2,-0.019445,0.001317,-14.76,0,pct_black_diag_1unit,1462426,0.8681,50060,532838,262336,86242
event_time::3,-0.000672,0.001332,-0.5,0.614,pct_black_diag_1unit,1462426,0.8681,50060,532838,262336,86242
event_time::4,0.000364,0.001354,0.27,0.7878,pct_black_diag_1unit,1462426,0.8681,50060,532838,262336,86242
event_time::5,0.000947,0.001338,0.71,0.4794,pct_black_diag_1unit,1462426,0.8681,50060,532838,262336,86242
event_time::-3,0.001052,0.001595,0.66,0.5095,pct_black_diag_2plus,513815,0.9206,14237,157256,78672,31162
event_time::-1,-0.000598,0.002304,-0.26,0.7953,pct_black_diag_2plus,513815,0.9206,14237,157256,78672,31162
event_time::0,-0.000856,0.002099,-0.41,0.6835,pct_black_diag_2plus,513815,0.9206,14237,157256,78672,31162
event_time::1,-0.005294,0.002385,-2.22,0.0264,pct_black_diag_2plus,513815,0.9206,14237,157256,78672,31162
event_time::2,-0.005002,0.00273,-1.83,0.0669,pct_black_diag_2plus,513815,0.9206,14237,157256,78672,31162
event_time::3,-0.002183,0.003003,-0.73,0.4672,pct_black_diag_2plus,513815,0.9206,14237,157256,78672,31162
event_time::4,0.001082,0.002827,0.38,0.7019,pct_black_diag_2plus,513815,0.9206,14237,157256,78672,31162
event_time::5,-0.000127,0.002636,-0.05,0.9617,pct_black_diag_2plus,513815,0.9206,14237,157256,78672,31162
