term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,0.002463,0.002428,1.01,0.3102,pct_female_full,1858761,0.3937,63972,647690,318686,116857
event_time::-1,-0.000644,0.00295,-0.22,0.8272,pct_female_full,1858761,0.3937,63972,647690,318686,116857
event_time::0,-0.013987,0.003443,-4.06,0,pct_female_full,1858761,0.3937,63972,647690,318686,116857
event_time::1,-0.062235,0.003644,-17.08,0,pct_female_full,1858761,0.3937,63972,647690,318686,116857
event_time::2,-0.038085,0.002974,-12.81,0,pct_female_full,1858761,0.3937,63972,647690,318686,116857
event_time::3,-0.010168,0.003222,-3.16,0.0016,pct_female_full,1858761,0.3937,63972,647690,318686,116857
event_time::4,-0.000471,0.004959,-0.1,0.9243,pct_female_full,1858761,0.3937,63972,647690,318686,116857
event_time::5,-0.010372,0.005729,-1.81,0.0702,pct_female_full,1858761,0.3937,63972,647690,318686,116857
event_time::-3,-0.008596,0.008624,-1,0.3189,pct_female_acq_highfiler_portfolio_10plus_otherunits,1242893,0.4006,3193,30704,15472,116857
event_time::-1,0.007123,0.014994,0.48,0.6347,pct_female_acq_highfiler_portfolio_10plus_otherunits,1242893,0.4006,3193,30704,15472,116857
event_time::0,-0.02249,0.009587,-2.35,0.019,pct_female_acq_highfiler_portfolio_10plus_otherunits,1242893,0.4006,3193,30704,15472,116857
event_time::1,-0.015021,0.014051,-1.07,0.285,pct_female_acq_highfiler_portfolio_10plus_otherunits,1242893,0.4006,3193,30704,15472,116857
event_time::2,0.007819,0.011627,0.67,0.5013,pct_female_acq_highfiler_portfolio_10plus_otherunits,1242893,0.4006,3193,30704,15472,116857
event_time::3,0.028251,0.010191,2.77,0.0056,pct_female_acq_highfiler_portfolio_10plus_otherunits,1242893,0.4006,3193,30704,15472,116857
event_time::4,0.036136,0.010174,3.55,4e-04,pct_female_acq_highfiler_portfolio_10plus_otherunits,1242893,0.4006,3193,30704,15472,116857
event_time::5,0.030022,0.011493,2.61,0.009,pct_female_acq_highfiler_portfolio_10plus_otherunits,1242893,0.4006,3193,30704,15472,116857
event_time::-3,0.007268,0.010215,0.71,0.4768,pct_female_acq_lowfiler_portfolio_10plus_otherunits,1247672,0.4013,3801,35543,17120,116857
event_time::-1,-0.020523,0.010633,-1.93,0.0536,pct_female_acq_lowfiler_portfolio_10plus_otherunits,1247672,0.4013,3801,35543,17120,116857
event_time::0,-0.027356,0.012845,-2.13,0.0332,pct_female_acq_lowfiler_portfolio_10plus_otherunits,1247672,0.4013,3801,35543,17120,116857
event_time::1,-0.033701,0.011832,-2.85,0.0044,pct_female_acq_lowfiler_portfolio_10plus_otherunits,1247672,0.4013,3801,35543,17120,116857
event_time::2,-0.016672,0.010673,-1.56,0.1183,pct_female_acq_lowfiler_portfolio_10plus_otherunits,1247672,0.4013,3801,35543,17120,116857
event_time::3,-0.021328,0.013855,-1.54,0.1237,pct_female_acq_lowfiler_portfolio_10plus_otherunits,1247672,0.4013,3801,35543,17120,116857
event_time::4,-0.002847,0.01836,-0.16,0.8768,pct_female_acq_lowfiler_portfolio_10plus_otherunits,1247672,0.4013,3801,35543,17120,116857
event_time::5,0.005147,0.014121,0.36,0.7155,pct_female_acq_lowfiler_portfolio_10plus_otherunits,1247672,0.4013,3801,35543,17120,116857
