term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.00261,0.000697,-3.74,2e-04,pct_latino_full,1976241,0.7318,64297,690094,341008,117404
event_time::-1,-0.003023,0.000906,-3.34,8e-04,pct_latino_full,1976241,0.7318,64297,690094,341008,117404
event_time::0,-0.001026,0.000867,-1.18,0.2367,pct_latino_full,1976241,0.7318,64297,690094,341008,117404
event_time::1,0.003879,0.001013,3.83,1e-04,pct_latino_full,1976241,0.7318,64297,690094,341008,117404
event_time::2,0.004077,0.00088,4.63,0,pct_latino_full,1976241,0.7318,64297,690094,341008,117404
event_time::3,0.005429,0.001229,4.42,0,pct_latino_full,1976241,0.7318,64297,690094,341008,117404
event_time::4,0.003908,0.000848,4.61,0,pct_latino_full,1976241,0.7318,64297,690094,341008,117404
event_time::5,0.004085,0.001028,3.97,1e-04,pct_latino_full,1976241,0.7318,64297,690094,341008,117404
event_time::-3,-0.00166,0.002482,-0.67,0.5037,pct_latino_acq_highfiler_portfolio_10plus_otherunits,1319547,0.7367,3213,32519,16451,117404
event_time::-1,-0.004737,0.002172,-2.18,0.0292,pct_latino_acq_highfiler_portfolio_10plus_otherunits,1319547,0.7367,3213,32519,16451,117404
event_time::0,-0.00285,0.002625,-1.09,0.2777,pct_latino_acq_highfiler_portfolio_10plus_otherunits,1319547,0.7367,3213,32519,16451,117404
event_time::1,-0.005492,0.002278,-2.41,0.0159,pct_latino_acq_highfiler_portfolio_10plus_otherunits,1319547,0.7367,3213,32519,16451,117404
event_time::2,-0.001379,0.002927,-0.47,0.6375,pct_latino_acq_highfiler_portfolio_10plus_otherunits,1319547,0.7367,3213,32519,16451,117404
event_time::3,-0.001633,0.00281,-0.58,0.5611,pct_latino_acq_highfiler_portfolio_10plus_otherunits,1319547,0.7367,3213,32519,16451,117404
event_time::4,-0.000825,0.002784,-0.3,0.767,pct_latino_acq_highfiler_portfolio_10plus_otherunits,1319547,0.7367,3213,32519,16451,117404
event_time::5,-0.000181,0.004723,-0.04,0.9694,pct_latino_acq_highfiler_portfolio_10plus_otherunits,1319547,0.7367,3213,32519,16451,117404
event_time::-3,-0.001077,0.001302,-0.83,0.4082,pct_latino_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.7392,3831,37620,18134,117404
event_time::-1,-0.003208,0.001806,-1.78,0.0756,pct_latino_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.7392,3831,37620,18134,117404
event_time::0,-0.003604,0.002568,-1.4,0.1606,pct_latino_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.7392,3831,37620,18134,117404
event_time::1,-0.002022,0.003289,-0.61,0.5387,pct_latino_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.7392,3831,37620,18134,117404
event_time::2,-0.002002,0.002119,-0.94,0.3448,pct_latino_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.7392,3831,37620,18134,117404
event_time::3,0.001919,0.002021,0.95,0.3424,pct_latino_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.7392,3831,37620,18134,117404
event_time::4,0.000668,0.002125,0.31,0.7532,pct_latino_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.7392,3831,37620,18134,117404
event_time::5,-0.00025,0.002008,-0.12,0.9009,pct_latino_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.7392,3831,37620,18134,117404
event_time::-3,-0.001855,0.002231,-0.83,0.4056,pct_latino_acq_smallportfolio_lt10_otherunits,1438826,0.7345,14641,151999,73542,117404
event_time::-1,-0.001999,0.002325,-0.86,0.3901,pct_latino_acq_smallportfolio_lt10_otherunits,1438826,0.7345,14641,151999,73542,117404
event_time::0,0.004452,0.00259,1.72,0.0856,pct_latino_acq_smallportfolio_lt10_otherunits,1438826,0.7345,14641,151999,73542,117404
event_time::1,0.004199,0.002187,1.92,0.0549,pct_latino_acq_smallportfolio_lt10_otherunits,1438826,0.7345,14641,151999,73542,117404
event_time::2,0.002993,0.002395,1.25,0.2115,pct_latino_acq_smallportfolio_lt10_otherunits,1438826,0.7345,14641,151999,73542,117404
