term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.005274,0.000725,-7.28,0,pct_latino_diag_1unit,1462426,0.731,50060,532838,262336,86242
event_time::-1,-0.006728,0.000848,-7.94,0,pct_latino_diag_1unit,1462426,0.731,50060,532838,262336,86242
event_time::0,-0.003077,0.00099,-3.11,0.0019,pct_latino_diag_1unit,1462426,0.731,50060,532838,262336,86242
event_time::1,0.007129,0.001064,6.7,0,pct_latino_diag_1unit,1462426,0.731,50060,532838,262336,86242
event_time::2,0.008681,0.001072,8.1,0,pct_latino_diag_1unit,1462426,0.731,50060,532838,262336,86242
event_time::3,0.008135,0.001081,7.52,0,pct_latino_diag_1unit,1462426,0.731,50060,532838,262336,86242
event_time::4,0.0084,0.001094,7.68,0,pct_latino_diag_1unit,1462426,0.731,50060,532838,262336,86242
event_time::5,0.008783,0.001072,8.2,0,pct_latino_diag_1unit,1462426,0.731,50060,532838,262336,86242
event_time::-3,-0.000143,0.001157,-0.12,0.9018,pct_latino_diag_2plus,513815,0.7224,14237,157256,78672,31162
event_time::-1,0.000176,0.001534,0.11,0.9085,pct_latino_diag_2plus,513815,0.7224,14237,157256,78672,31162
event_time::0,0.000507,0.001373,0.37,0.7121,pct_latino_diag_2plus,513815,0.7224,14237,157256,78672,31162
event_time::1,0.000576,0.001727,0.33,0.7385,pct_latino_diag_2plus,513815,0.7224,14237,157256,78672,31162
event_time::2,-0.000573,0.001376,-0.42,0.6773,pct_latino_diag_2plus,513815,0.7224,14237,157256,78672,31162
event_time::3,0.002752,0.002139,1.29,0.1983,pct_latino_diag_2plus,513815,0.7224,14237,157256,78672,31162
event_time::4,-0.000348,0.001276,-0.27,0.7852,pct_latino_diag_2plus,513815,0.7224,14237,157256,78672,31162
event_time::5,-0.00052,0.0017,-0.31,0.7598,pct_latino_diag_2plus,513815,0.7224,14237,157256,78672,31162
