term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-8.3e-05,0.00011,-0.76,0.4502,pct_other_full,1976241,0.4198,64297,690094,341008,117404
event_time::-1,2.3e-05,0.000131,0.18,0.8606,pct_other_full,1976241,0.4198,64297,690094,341008,117404
event_time::0,0.000488,0.000176,2.77,0.0057,pct_other_full,1976241,0.4198,64297,690094,341008,117404
event_time::1,0.002753,0.000238,11.55,0,pct_other_full,1976241,0.4198,64297,690094,341008,117404
event_time::2,0.001725,0.000208,8.27,0,pct_other_full,1976241,0.4198,64297,690094,341008,117404
event_time::3,0.000737,0.000194,3.8,1e-04,pct_other_full,1976241,0.4198,64297,690094,341008,117404
event_time::4,0.000322,0.000189,1.71,0.0881,pct_other_full,1976241,0.4198,64297,690094,341008,117404
event_time::5,0.000518,0.000203,2.55,0.0109,pct_other_full,1976241,0.4198,64297,690094,341008,117404
event_time::-3,-6.1e-05,0.000258,-0.24,0.8141,pct_other_acq_highfiler_portfolio_10plus_otherunits,1319547,0.4237,3213,32519,16451,117404
event_time::-1,0.000137,0.000289,0.47,0.6349,pct_other_acq_highfiler_portfolio_10plus_otherunits,1319547,0.4237,3213,32519,16451,117404
event_time::0,-0.00015,0.000192,-0.78,0.4361,pct_other_acq_highfiler_portfolio_10plus_otherunits,1319547,0.4237,3213,32519,16451,117404
event_time::1,0.001127,0.000618,1.82,0.0682,pct_other_acq_highfiler_portfolio_10plus_otherunits,1319547,0.4237,3213,32519,16451,117404
event_time::2,0.001411,0.001082,1.3,0.192,pct_other_acq_highfiler_portfolio_10plus_otherunits,1319547,0.4237,3213,32519,16451,117404
event_time::3,0.000566,0.000825,0.69,0.4927,pct_other_acq_highfiler_portfolio_10plus_otherunits,1319547,0.4237,3213,32519,16451,117404
event_time::4,-0.000571,0.000371,-1.54,0.1234,pct_other_acq_highfiler_portfolio_10plus_otherunits,1319547,0.4237,3213,32519,16451,117404
event_time::5,0.000361,0.000534,0.68,0.4989,pct_other_acq_highfiler_portfolio_10plus_otherunits,1319547,0.4237,3213,32519,16451,117404
event_time::-3,0.000447,0.000656,0.68,0.496,pct_other_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.4259,3831,37620,18134,117404
event_time::-1,-0.001021,0.000656,-1.56,0.1198,pct_other_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.4259,3831,37620,18134,117404
event_time::0,-0.001535,0.000973,-1.58,0.1145,pct_other_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.4259,3831,37620,18134,117404
event_time::1,-0.000468,0.001201,-0.39,0.6968,pct_other_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.4259,3831,37620,18134,117404
event_time::2,-0.000821,0.000585,-1.4,0.1608,pct_other_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.4259,3831,37620,18134,117404
event_time::3,0.000671,0.000801,0.84,0.4019,pct_other_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.4259,3831,37620,18134,117404
event_time::4,-0.001104,0.000589,-1.88,0.0608,pct_other_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.4259,3831,37620,18134,117404
event_time::5,-0.000451,0.00067,-0.67,0.501,pct_other_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.4259,3831,37620,18134,117404
event_time::-3,-0.000206,0.000216,-0.95,0.3412,pct_other_acq_smallportfolio_lt10_otherunits,1438826,0.4362,14641,151999,73542,117404
event_time::-1,-0.000226,0.000251,-0.9,0.3665,pct_other_acq_smallportfolio_lt10_otherunits,1438826,0.4362,14641,151999,73542,117404
event_time::0,0.00042,0.000393,1.07,0.2853,pct_other_acq_smallportfolio_lt10_otherunits,1438826,0.4362,14641,151999,73542,117404
event_time::1,0.002817,0.000524,5.37,0,pct_other_acq_smallportfolio_lt10_otherunits,1438826,0.4362,14641,151999,73542,117404
event_time::2,0.001566,0.000475,3.3,0.001,pct_other_acq_smallportfolio_lt10_otherunits,1438826,0.4362,14641,151999,73542,117404
event_time::3,-0.00017,0.000319,-0.53,0.5933,pct_other_acq_smallportfolio_lt10_otherunits,1438826,0.4362,14641,151999,73542,117404
event_time::4,0.000313,0.000461,0.68,0.497,pct_other_acq_smallportfolio_lt10_otherunits,1438826,0.4362,14641,151999,73542,117404
event_time::5,0.000603,0.000669,0.9,0.3679,pct_other_acq_smallportfolio_lt10_otherunits,1438826,0.4362,14641,151999,73542,117404
event_time::-3,-0.000144,0.000128,-1.13,0.2602,pct_other_acq_singlepurchase,1754426,0.4146,42595,467845,232868,117404
event_time::-1,0.000202,0.000165,1.22,0.2211,pct_other_acq_singlepurchase,1754426,0.4146,42595,467845,232868,117404
event_time::0,0.00082,0.000211,3.88,1e-04,pct_other_acq_singlepurchase,1754426,0.4146,42595,467845,232868,117404
event_time::1,0.003231,0.000289,11.17,0,pct_other_acq_singlepurchase,1754426,0.4146,42595,467845,232868,117404
event_time::2,0.002082,0.000249,8.34,0,pct_other_acq_singlepurchase,1754426,0.4146,42595,467845,232868,117404
event_time::3,0.000999,0.00024,4.16,0,pct_other_acq_singlepurchase,1754426,0.4146,42595,467845,232868,117404
event_time::4,0.000599,0.00024,2.5,0.0126,pct_other_acq_singlepurchase,1754426,0.4146,42595,467845,232868,117404
event_time::5,0.000626,0.000222,2.82,0.0048,pct_other_acq_singlepurchase,1754426,0.4146,42595,467845,232868,117404
event_time::-3,-0.000148,0.00013,-1.14,0.2533,pct_other_port_single_purchase,1730864,0.4199,40134,444214,222295,117404
event_time::-1,0.000187,0.000166,1.13,0.2597,pct_other_port_single_purchase,1730864,0.4199,40134,444214,222295,117404
event_time::0,0.000672,0.000211,3.19,0.0014,pct_other_port_single_purchase,1730864,0.4199,40134,444214,222295,117404
event_time::1,0.003129,0.000293,10.69,0,pct_other_port_single_purchase,1730864,0.4199,40134,444214,222295,117404
event_time::2,0.002002,0.000258,7.76,0,pct_other_port_single_purchase,1730864,0.4199,40134,444214,222295,117404
event_time::3,0.000998,0.000246,4.05,1e-04,pct_other_port_single_purchase,1730864,0.4199,40134,444214,222295,117404
event_time::4,0.000503,0.000248,2.03,0.0423,pct_other_port_single_purchase,1730864,0.4199,40134,444214,222295,117404
event_time::5,0.000637,0.000237,2.69,0.0071,pct_other_port_single_purchase,1730864,0.4199,40134,444214,222295,117404
event_time::-3,-5.2e-05,0.000246,-0.21,0.8327,pct_other_port_2_4,1383207,0.4304,9125,96272,47110,117404
event_time::-1,-1.2e-05,0.000305,-0.04,0.9678,pct_other_port_2_4,1383207,0.4304,9125,96272,47110,117404
event_time::0,0.000845,0.000469,1.8,0.0719,pct_other_port_2_4,1383207,0.4304,9125,96272,47110,117404
event_time::1,0.002729,0.000547,4.99,0,pct_other_port_2_4,1383207,0.4304,9125,96272,47110,117404
event_time::2,0.001594,0.000461,3.46,5e-04,pct_other_port_2_4,1383207,0.4304,9125,96272,47110,117404
event_time::3,0.000112,0.000279,0.4,0.6872,pct_other_port_2_4,1383207,0.4304,9125,96272,47110,117404
event_time::4,0.000273,0.000358,0.76,0.4464,pct_other_port_2_4,1383207,0.4304,9125,96272,47110,117404
event_time::5,0.000166,0.000437,0.38,0.7039,pct_other_port_2_4,1383207,0.4304,9125,96272,47110,117404
event_time::-3,-0.000459,0.000419,-1.1,0.2727,pct_other_port_5_9,1328693,0.4305,4006,41673,20144,117404
event_time::-1,-0.00116,0.000767,-1.51,0.1306,pct_other_port_5_9,1328693,0.4305,4006,41673,20144,117404
event_time::0,-0.000666,0.001066,-0.62,0.5325,pct_other_port_5_9,1328693,0.4305,4006,41673,20144,117404
event_time::1,0.002653,0.001499,1.77,0.0768,pct_other_port_5_9,1328693,0.4305,4006,41673,20144,117404
event_time::2,0.000732,0.000786,0.93,0.3518,pct_other_port_5_9,1328693,0.4305,4006,41673,20144,117404
event_time::3,0.000317,0.000816,0.39,0.6979,pct_other_port_5_9,1328693,0.4305,4006,41673,20144,117404
event_time::4,0.000413,0.000842,0.49,0.624,pct_other_port_5_9,1328693,0.4305,4006,41673,20144,117404
event_time::5,0.001255,0.001355,0.93,0.3544,pct_other_port_5_9,1328693,0.4305,4006,41673,20144,117404
event_time::-3,0.000361,0.000416,0.87,0.3848,pct_other_port_10_,1365907,0.4226,7955,79020,37904,117404
event_time::-1,-1e-06,0.00023,0,0.9978,pct_other_port_10_,1365907,0.4226,7955,79020,37904,117404
event_time::0,-0.000533,0.000319,-1.67,0.0952,pct_other_port_10_,1365907,0.4226,7955,79020,37904,117404
event_time::1,0.000289,0.000536,0.54,0.5896,pct_other_port_10_,1365907,0.4226,7955,79020,37904,117404
event_time::2,0.000624,0.000733,0.85,0.3945,pct_other_port_10_,1365907,0.4226,7955,79020,37904,117404
event_time::3,0.00025,0.000682,0.37,0.7137,pct_other_port_10_,1365907,0.4226,7955,79020,37904,117404
event_time::4,-0.000733,0.000473,-1.55,0.1213,pct_other_port_10_,1365907,0.4226,7955,79020,37904,117404
event_time::5,-4.6e-05,0.000557,-0.08,0.9336,pct_other_port_10_,1365907,0.4226,7955,79020,37904,117404
