term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.000141,0.000155,-0.91,0.3643,pct_other_diag_1unit,1462426,0.3814,50060,532838,262336,86242
event_time::-1,0.000197,0.000191,1.04,0.3006,pct_other_diag_1unit,1462426,0.3814,50060,532838,262336,86242
event_time::0,0.0012,0.000261,4.59,0,pct_other_diag_1unit,1462426,0.3814,50060,532838,262336,86242
event_time::1,0.004916,0.000374,13.15,0,pct_other_diag_1unit,1462426,0.3814,50060,532838,262336,86242
event_time::2,0.002977,0.000331,8.99,0,pct_other_diag_1unit,1462426,0.3814,50060,532838,262336,86242
event_time::3,0.000691,0.000251,2.76,0.0058,pct_other_diag_1unit,1462426,0.3814,50060,532838,262336,86242
event_time::4,0.000523,0.000268,1.95,0.0512,pct_other_diag_1unit,1462426,0.3814,50060,532838,262336,86242
event_time::5,0.000461,0.000265,1.74,0.0815,pct_other_diag_1unit,1462426,0.3814,50060,532838,262336,86242
event_time::-3,-2.8e-05,0.000153,-0.18,0.8544,pct_other_diag_2plus,513815,0.4891,14237,157256,78672,31162
event_time::-1,-0.000149,0.00018,-0.83,0.4069,pct_other_diag_2plus,513815,0.4891,14237,157256,78672,31162
event_time::0,-0.000154,0.000237,-0.65,0.5154,pct_other_diag_2plus,513815,0.4891,14237,157256,78672,31162
event_time::1,0.000582,0.000284,2.05,0.0404,pct_other_diag_2plus,513815,0.4891,14237,157256,78672,31162
event_time::2,0.000488,0.000249,1.96,0.0495,pct_other_diag_2plus,513815,0.4891,14237,157256,78672,31162
event_time::3,0.000752,0.00029,2.59,0.0096,pct_other_diag_2plus,513815,0.4891,14237,157256,78672,31162
event_time::4,0.000114,0.000263,0.43,0.6663,pct_other_diag_2plus,513815,0.4891,14237,157256,78672,31162
event_time::5,0.000541,0.000303,1.78,0.0745,pct_other_diag_2plus,513815,0.4891,14237,157256,78672,31162
