term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,0.007065,0.001058,6.68,0,pct_white_full,1976241,0.8822,64297,690094,341008,117404
event_time::-1,0.010091,0.001344,7.51,0,pct_white_full,1976241,0.8822,64297,690094,341008,117404
event_time::0,0.003013,0.001378,2.19,0.0288,pct_white_full,1976241,0.8822,64297,690094,341008,117404
event_time::1,-0.02545,0.001596,-15.95,0,pct_white_full,1976241,0.8822,64297,690094,341008,117404
event_time::2,-0.016086,0.001595,-10.08,0,pct_white_full,1976241,0.8822,64297,690094,341008,117404
event_time::3,-0.0132,0.001617,-8.16,0,pct_white_full,1976241,0.8822,64297,690094,341008,117404
event_time::4,-0.012548,0.001704,-7.36,0,pct_white_full,1976241,0.8822,64297,690094,341008,117404
event_time::5,-0.011314,0.00156,-7.25,0,pct_white_full,1976241,0.8822,64297,690094,341008,117404
event_time::-3,0.010102,0.004157,2.43,0.0151,pct_white_acq_highfiler_portfolio_10plus_otherunits,1319547,0.8924,3213,32519,16451,117404
event_time::-1,0.006957,0.007876,0.88,0.3771,pct_white_acq_highfiler_portfolio_10plus_otherunits,1319547,0.8924,3213,32519,16451,117404
event_time::0,0.009434,0.004433,2.13,0.0334,pct_white_acq_highfiler_portfolio_10plus_otherunits,1319547,0.8924,3213,32519,16451,117404
event_time::1,0.009674,0.005907,1.64,0.1015,pct_white_acq_highfiler_portfolio_10plus_otherunits,1319547,0.8924,3213,32519,16451,117404
event_time::2,0.003127,0.00659,0.47,0.6351,pct_white_acq_highfiler_portfolio_10plus_otherunits,1319547,0.8924,3213,32519,16451,117404
event_time::3,-0.009199,0.00676,-1.36,0.1736,pct_white_acq_highfiler_portfolio_10plus_otherunits,1319547,0.8924,3213,32519,16451,117404
event_time::4,-0.013528,0.006706,-2.02,0.0437,pct_white_acq_highfiler_portfolio_10plus_otherunits,1319547,0.8924,3213,32519,16451,117404
event_time::5,-0.011854,0.007618,-1.56,0.1197,pct_white_acq_highfiler_portfolio_10plus_otherunits,1319547,0.8924,3213,32519,16451,117404
event_time::-3,0.002303,0.003666,0.63,0.5299,pct_white_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.8922,3831,37620,18134,117404
event_time::-1,0.01433,0.007668,1.87,0.0617,pct_white_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.8922,3831,37620,18134,117404
event_time::0,0.016772,0.005558,3.02,0.0025,pct_white_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.8922,3831,37620,18134,117404
event_time::1,0.007322,0.006011,1.22,0.2232,pct_white_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.8922,3831,37620,18134,117404
event_time::2,0.005226,0.007509,0.7,0.4864,pct_white_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.8922,3831,37620,18134,117404
event_time::3,-0.008929,0.007838,-1.14,0.2546,pct_white_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.8922,3831,37620,18134,117404
event_time::4,-0.006159,0.010977,-0.56,0.5747,pct_white_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.8922,3831,37620,18134,117404
event_time::5,-0.006491,0.005936,-1.09,0.2742,pct_white_acq_lowfiler_portfolio_10plus_otherunits,1324596,0.8922,3831,37620,18134,117404
event_time::-3,0.006857,0.002269,3.02,0.0025,pct_white_acq_smallportfolio_lt10_otherunits,1438826,0.8894,14641,151999,73542,117404
event_time::-1,0.00846,0.002561,3.3,0.001,pct_white_acq_smallportfolio_lt10_otherunits,1438826,0.8894,14641,151999,73542,117404
event_time::0,-0.001705,0.00284,-0.6,0.5483,pct_white_acq_smallportfolio_lt10_otherunits,1438826,0.8894,14641,151999,73542,117404
event_time::1,-0.020604,0.00353,-5.84,0,pct_white_acq_smallportfolio_lt10_otherunits,1438826,0.8894,14641,151999,73542,117404
event_time::2,-0.017634,0.003268,-5.4,0,pct_white_acq_smallportfolio_lt10_otherunits,1438826,0.8894,14641,151999,73542,117404
event_time::3,-0.015619,0.003454,-4.52,0,pct_white_acq_smallportfolio_lt10_otherunits,1438826,0.8894,14641,151999,73542,117404
event_time::4,-0.015055,0.003192,-4.72,0,pct_white_acq_smallportfolio_lt10_otherunits,1438826,0.8894,14641,151999,73542,117404
event_time::5,-0.007199,0.003086,-2.33,0.0197,pct_white_acq_smallportfolio_lt10_otherunits,1438826,0.8894,14641,151999,73542,117404
event_time::-3,0.007428,0.001325,5.6,0,pct_white_acq_singlepurchase,1754426,0.8832,42595,467845,232868,117404
event_time::-1,0.010083,0.001418,7.11,0,pct_white_acq_singlepurchase,1754426,0.8832,42595,467845,232868,117404
event_time::0,0.001495,0.001753,0.85,0.3938,pct_white_acq_singlepurchase,1754426,0.8832,42595,467845,232868,117404
event_time::1,-0.034095,0.001991,-17.12,0,pct_white_acq_singlepurchase,1754426,0.8832,42595,467845,232868,117404
event_time::2,-0.020588,0.001975,-10.42,0,pct_white_acq_singlepurchase,1754426,0.8832,42595,467845,232868,117404
event_time::3,-0.014078,0.001914,-7.35,0,pct_white_acq_singlepurchase,1754426,0.8832,42595,467845,232868,117404
event_time::4,-0.013185,0.001911,-6.9,0,pct_white_acq_singlepurchase,1754426,0.8832,42595,467845,232868,117404
event_time::5,-0.013733,0.001882,-7.3,0,pct_white_acq_singlepurchase,1754426,0.8832,42595,467845,232868,117404
event_time::-3,0.007489,0.001373,5.46,0,pct_white_port_single_purchase,1730864,0.8831,40134,444214,222295,117404
event_time::-1,0.010471,0.001454,7.2,0,pct_white_port_single_purchase,1730864,0.8831,40134,444214,222295,117404
event_time::0,0.002537,0.001665,1.52,0.1275,pct_white_port_single_purchase,1730864,0.8831,40134,444214,222295,117404
event_time::1,-0.033925,0.002081,-16.3,0,pct_white_port_single_purchase,1730864,0.8831,40134,444214,222295,117404
event_time::2,-0.022337,0.001973,-11.32,0,pct_white_port_single_purchase,1730864,0.8831,40134,444214,222295,117404
event_time::3,-0.015883,0.00207,-7.67,0,pct_white_port_single_purchase,1730864,0.8831,40134,444214,222295,117404
event_time::4,-0.015378,0.002059,-7.47,0,pct_white_port_single_purchase,1730864,0.8831,40134,444214,222295,117404
event_time::5,-0.014381,0.00192,-7.49,0,pct_white_port_single_purchase,1730864,0.8831,40134,444214,222295,117404
event_time::-3,0.011302,0.002409,4.69,0,pct_white_port_2_4,1383207,0.8898,9125,96272,47110,117404
event_time::-1,0.005332,0.004014,1.33,0.184,pct_white_port_2_4,1383207,0.8898,9125,96272,47110,117404
event_time::0,0.000557,0.003025,0.18,0.8539,pct_white_port_2_4,1383207,0.8898,9125,96272,47110,117404
event_time::1,-0.022797,0.00396,-5.76,0,pct_white_port_2_4,1383207,0.8898,9125,96272,47110,117404
event_time::2,-0.014086,0.003814,-3.69,2e-04,pct_white_port_2_4,1383207,0.8898,9125,96272,47110,117404
event_time::3,-0.011505,0.003609,-3.19,0.0014,pct_white_port_2_4,1383207,0.8898,9125,96272,47110,117404
event_time::4,-0.008286,0.003863,-2.14,0.032,pct_white_port_2_4,1383207,0.8898,9125,96272,47110,117404
