term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,0.013305,0.000963,13.82,0,pct_white_diag_1unit,1462426,0.8475,50060,532838,262336,86242
event_time::-1,0.018622,0.001098,16.97,0,pct_white_diag_1unit,1462426,0.8475,50060,532838,262336,86242
event_time::0,0.00547,0.001361,4.02,1e-04,pct_white_diag_1unit,1462426,0.8475,50060,532838,262336,86242
event_time::1,-0.048554,0.001665,-29.16,0,pct_white_diag_1unit,1462426,0.8475,50060,532838,262336,86242
event_time::2,-0.032534,0.00156,-20.85,0,pct_white_diag_1unit,1462426,0.8475,50060,532838,262336,86242
event_time::3,-0.021111,0.001464,-14.42,0,pct_white_diag_1unit,1462426,0.8475,50060,532838,262336,86242
event_time::4,-0.021063,0.001477,-14.26,0,pct_white_diag_1unit,1462426,0.8475,50060,532838,262336,86242
event_time::5,-0.020375,0.001445,-14.1,0,pct_white_diag_1unit,1462426,0.8475,50060,532838,262336,86242
event_time::-3,0.001144,0.001791,0.64,0.5231,pct_white_diag_2plus,513815,0.9012,14237,157256,78672,31162
event_time::-1,0.002715,0.002338,1.16,0.2455,pct_white_diag_2plus,513815,0.9012,14237,157256,78672,31162
event_time::0,0.00178,0.002274,0.78,0.4338,pct_white_diag_2plus,513815,0.9012,14237,157256,78672,31162
event_time::1,-0.002261,0.002625,-0.86,0.389,pct_white_diag_2plus,513815,0.9012,14237,157256,78672,31162
event_time::2,0.000428,0.002741,0.16,0.8759,pct_white_diag_2plus,513815,0.9012,14237,157256,78672,31162
event_time::3,-0.005199,0.002821,-1.84,0.0653,pct_white_diag_2plus,513815,0.9012,14237,157256,78672,31162
event_time::4,-0.004254,0.003001,-1.42,0.1564,pct_white_diag_2plus,513815,0.9012,14237,157256,78672,31162
event_time::5,-0.002509,0.002687,-0.93,0.3504,pct_white_diag_2plus,513815,0.9012,14237,157256,78672,31162
