term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.007242,0.00096,-7.55,0,permit_rate_full,2594360,0.172,66424,912563,464410,123082
event_time::-1,0.004144,0.001088,3.81,1e-04,permit_rate_full,2594360,0.172,66424,912563,464410,123082
event_time::0,0.163425,0.003315,49.3,0,permit_rate_full,2594360,0.172,66424,912563,464410,123082
event_time::1,0.153545,0.003815,40.25,0,permit_rate_full,2594360,0.172,66424,912563,464410,123082
event_time::2,0.054746,0.00243,22.53,0,permit_rate_full,2594360,0.172,66424,912563,464410,123082
event_time::3,0.022432,0.002451,9.15,0,permit_rate_full,2594360,0.172,66424,912563,464410,123082
event_time::4,0.009376,0.002123,4.42,0,permit_rate_full,2594360,0.172,66424,912563,464410,123082
event_time::5,0.006525,0.001737,3.76,2e-04,permit_rate_full,2594360,0.172,66424,912563,464410,123082
event_time::-3,-0.010804,0.003475,-3.11,0.0019,permit_rate_acq_highfiler_portfolio_10plus_otherunits,1728164,0.2039,3325,46162,24788,123082
event_time::-1,-0.002929,0.002611,-1.12,0.2619,permit_rate_acq_highfiler_portfolio_10plus_otherunits,1728164,0.2039,3325,46162,24788,123082
event_time::0,0.166066,0.017056,9.74,0,permit_rate_acq_highfiler_portfolio_10plus_otherunits,1728164,0.2039,3325,46162,24788,123082
event_time::1,0.243231,0.024512,9.92,0,permit_rate_acq_highfiler_portfolio_10plus_otherunits,1728164,0.2039,3325,46162,24788,123082
event_time::2,0.082315,0.009871,8.34,0,permit_rate_acq_highfiler_portfolio_10plus_otherunits,1728164,0.2039,3325,46162,24788,123082
event_time::3,0.021998,0.007395,2.97,0.0029,permit_rate_acq_highfiler_portfolio_10plus_otherunits,1728164,0.2039,3325,46162,24788,123082
event_time::4,0.007538,0.008599,0.88,0.3807,permit_rate_acq_highfiler_portfolio_10plus_otherunits,1728164,0.2039,3325,46162,24788,123082
event_time::5,0.02029,0.009444,2.15,0.0317,permit_rate_acq_highfiler_portfolio_10plus_otherunits,1728164,0.2039,3325,46162,24788,123082
event_time::-3,-0.010009,0.003005,-3.33,9e-04,permit_rate_acq_lowfiler_portfolio_10plus_otherunits,1737970,0.2018,4105,55974,28363,123082
event_time::-1,-0.006588,0.003461,-1.9,0.057,permit_rate_acq_lowfiler_portfolio_10plus_otherunits,1737970,0.2018,4105,55974,28363,123082
event_time::0,0.329616,0.022562,14.61,0,permit_rate_acq_lowfiler_portfolio_10plus_otherunits,1737970,0.2018,4105,55974,28363,123082
event_time::1,0.329576,0.027036,12.19,0,permit_rate_acq_lowfiler_portfolio_10plus_otherunits,1737970,0.2018,4105,55974,28363,123082
event_time::2,0.107373,0.012003,8.95,0,permit_rate_acq_lowfiler_portfolio_10plus_otherunits,1737970,0.2018,4105,55974,28363,123082
