term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.006664,0.001119,-5.96,0,permit_rate_diag_1unit,1952182,0.145,51378,711452,361406,90119
event_time::-1,0.007589,0.001553,4.89,0,permit_rate_diag_1unit,1952182,0.145,51378,711452,361406,90119
event_time::0,0.219441,0.004236,51.8,0,permit_rate_diag_1unit,1952182,0.145,51378,711452,361406,90119
event_time::1,0.163513,0.004561,35.85,0,permit_rate_diag_1unit,1952182,0.145,51378,711452,361406,90119
event_time::2,0.044597,0.002463,18.11,0,permit_rate_diag_1unit,1952182,0.145,51378,711452,361406,90119
event_time::3,0.019547,0.002091,9.35,0,permit_rate_diag_1unit,1952182,0.145,51378,711452,361406,90119
event_time::4,0.007667,0.001841,4.17,0,permit_rate_diag_1unit,1952182,0.145,51378,711452,361406,90119
event_time::5,0.009268,0.001944,4.77,0,permit_rate_diag_1unit,1952182,0.145,51378,711452,361406,90119
event_time::-3,-0.007372,0.00153,-4.82,0,permit_rate_diag_2plus,642173,0.2492,15051,201111,103004,32976
event_time::-1,0.000433,0.001501,0.29,0.7728,permit_rate_diag_2plus,642173,0.2492,15051,201111,103004,32976
event_time::0,0.108388,0.004308,25.16,0,permit_rate_diag_2plus,642173,0.2492,15051,201111,103004,32976
event_time::1,0.142812,0.00591,24.17,0,permit_rate_diag_2plus,642173,0.2492,15051,201111,103004,32976
event_time::2,0.062973,0.004182,15.06,0,permit_rate_diag_2plus,642173,0.2492,15051,201111,103004,32976
event_time::3,0.024256,0.004381,5.54,0,permit_rate_diag_2plus,642173,0.2492,15051,201111,103004,32976
event_time::4,0.010228,0.003759,2.72,0.0065,permit_rate_diag_2plus,642173,0.2492,15051,201111,103004,32976
event_time::5,0.003346,0.002835,1.18,0.2379,permit_rate_diag_2plus,642173,0.2492,15051,201111,103004,32976
