term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.000335,0.001789,-0.19,0.8513,portfolio_2plus_Single-purchase,565288,0.4827,9233,124152,63511,32976
event_time::-1,0.001897,0.001848,1.03,0.3046,portfolio_2plus_Single-purchase,565288,0.4827,9233,124152,63511,32976
event_time::0,0.001015,0.001896,0.54,0.5925,portfolio_2plus_Single-purchase,565288,0.4827,9233,124152,63511,32976
event_time::1,0.007721,0.002576,3,0.0027,portfolio_2plus_Single-purchase,565288,0.4827,9233,124152,63511,32976
event_time::2,0.009283,0.00331,2.8,0.005,portfolio_2plus_Single-purchase,565288,0.4827,9233,124152,63511,32976
event_time::3,0.009801,0.003811,2.57,0.0101,portfolio_2plus_Single-purchase,565288,0.4827,9233,124152,63511,32976
event_time::4,0.009831,0.002863,3.43,6e-04,portfolio_2plus_Single-purchase,565288,0.4827,9233,124152,63511,32976
event_time::5,0.010941,0.003192,3.43,6e-04,portfolio_2plus_Single-purchase,565288,0.4827,9233,124152,63511,32976
event_time::-3,0.002332,0.005567,0.42,0.6753,portfolio_2plus_2-4,475623,0.5001,2562,34428,17575,32976
event_time::-1,-0.002886,0.006559,-0.44,0.6599,portfolio_2plus_2-4,475623,0.5001,2562,34428,17575,32976
event_time::0,-9.5e-05,0.004911,-0.02,0.9845,portfolio_2plus_2-4,475623,0.5001,2562,34428,17575,32976
event_time::1,0.009367,0.008374,1.12,0.2633,portfolio_2plus_2-4,475623,0.5001,2562,34428,17575,32976
event_time::2,0.012349,0.008875,1.39,0.1641,portfolio_2plus_2-4,475623,0.5001,2562,34428,17575,32976
event_time::3,0.011852,0.006807,1.74,0.0817,portfolio_2plus_2-4,475623,0.5001,2562,34428,17575,32976
event_time::4,0.002494,0.008001,0.31,0.7553,portfolio_2plus_2-4,475623,0.5001,2562,34428,17575,32976
event_time::5,0.012402,0.008344,1.49,0.1372,portfolio_2plus_2-4,475623,0.5001,2562,34428,17575,32976
event_time::-3,-0.008726,0.006337,-1.38,0.1685,portfolio_2plus_5-9,455178,0.4974,1054,13977,7115,32976
event_time::-1,0.011007,0.01441,0.76,0.445,portfolio_2plus_5-9,455178,0.4974,1054,13977,7115,32976
event_time::0,-0.006807,0.008246,-0.83,0.4091,portfolio_2plus_5-9,455178,0.4974,1054,13977,7115,32976
event_time::1,0.013692,0.011281,1.21,0.2248,portfolio_2plus_5-9,455178,0.4974,1054,13977,7115,32976
event_time::2,-0.010166,0.008257,-1.23,0.2182,portfolio_2plus_5-9,455178,0.4974,1054,13977,7115,32976
event_time::3,0.004433,0.008749,0.51,0.6124,portfolio_2plus_5-9,455178,0.4974,1054,13977,7115,32976
event_time::4,0.020768,0.009162,2.27,0.0234,portfolio_2plus_5-9,455178,0.4974,1054,13977,7115,32976
event_time::5,0.018106,0.009133,1.98,0.0474,portfolio_2plus_5-9,455178,0.4974,1054,13977,7115,32976
event_time::-3,-0.006633,0.005228,-1.27,0.2046,portfolio_2plus_10+,463404,0.5022,1735,22234,11518,32976
event_time::-1,-0.008328,0.005378,-1.55,0.1215,portfolio_2plus_10+,463404,0.5022,1735,22234,11518,32976
event_time::0,-0.000549,0.006241,-0.09,0.9299,portfolio_2plus_10+,463404,0.5022,1735,22234,11518,32976
event_time::1,0.01423,0.005572,2.55,0.0107,portfolio_2plus_10+,463404,0.5022,1735,22234,11518,32976
event_time::2,0.003675,0.005996,0.61,0.54,portfolio_2plus_10+,463404,0.5022,1735,22234,11518,32976
event_time::3,0.010953,0.006156,1.78,0.0752,portfolio_2plus_10+,463404,0.5022,1735,22234,11518,32976
event_time::4,0.004761,0.007701,0.62,0.5364,portfolio_2plus_10+,463404,0.5022,1735,22234,11518,32976
event_time::5,0.002494,0.006283,0.4,0.6914,portfolio_2plus_10+,463404,0.5022,1735,22234,11518,32976
