term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.000455,0.001102,-0.41,0.6794,portfolio_Single-purchase,2248313,0.2882,40916,562294,286600,123376
event_time::-1,0.009199,0.001188,7.75,0,portfolio_Single-purchase,2248313,0.2882,40916,562294,286600,123376
event_time::0,-5.7e-05,0.001121,-0.05,0.9597,portfolio_Single-purchase,2248313,0.2882,40916,562294,286600,123376
event_time::1,0.006613,0.001439,4.59,0,portfolio_Single-purchase,2248313,0.2882,40916,562294,286600,123376
event_time::2,0.008477,0.001796,4.72,0,portfolio_Single-purchase,2248313,0.2882,40916,562294,286600,123376
event_time::3,0.008589,0.002045,4.2,0,portfolio_Single-purchase,2248313,0.2882,40916,562294,286600,123376
event_time::4,0.00881,0.001644,5.36,0,portfolio_Single-purchase,2248313,0.2882,40916,562294,286600,123376
event_time::5,0.007373,0.001752,4.21,0,portfolio_Single-purchase,2248313,0.2882,40916,562294,286600,123376
event_time::-3,-0.001477,0.003402,-0.43,0.6642,portfolio_2-4,1815766,0.3013,9438,129669,65953,123376
event_time::-1,-0.004336,0.003911,-1.11,0.2676,portfolio_2-4,1815766,0.3013,9438,129669,65953,123376
event_time::0,-1.2e-05,0.003082,0,0.9969,portfolio_2-4,1815766,0.3013,9438,129669,65953,123376
event_time::1,0.01682,0.00513,3.28,0.001,portfolio_2-4,1815766,0.3013,9438,129669,65953,123376
event_time::2,0.019814,0.00525,3.77,2e-04,portfolio_2-4,1815766,0.3013,9438,129669,65953,123376
event_time::3,0.015898,0.004221,3.77,2e-04,portfolio_2-4,1815766,0.3013,9438,129669,65953,123376
event_time::4,0.0158,0.005012,3.15,0.0016,portfolio_2-4,1815766,0.3013,9438,129669,65953,123376
event_time::5,0.018179,0.005157,3.53,4e-04,portfolio_2-4,1815766,0.3013,9438,129669,65953,123376
event_time::-3,-0.009666,0.003841,-2.52,0.0119,portfolio_5-9,1743356,0.2998,4184,57244,28878,123376
event_time::-1,0.002027,0.008185,0.25,0.8044,portfolio_5-9,1743356,0.2998,4184,57244,28878,123376
event_time::0,-0.006933,0.004949,-1.4,0.1612,portfolio_5-9,1743356,0.2998,4184,57244,28878,123376
event_time::1,0.020966,0.006665,3.15,0.0017,portfolio_5-9,1743356,0.2998,4184,57244,28878,123376
event_time::2,0.012983,0.006022,2.16,0.0311,portfolio_5-9,1743356,0.2998,4184,57244,28878,123376
event_time::3,0.020845,0.006438,3.24,0.0012,portfolio_5-9,1743356,0.2998,4184,57244,28878,123376
event_time::4,0.032603,0.007007,4.65,0,portfolio_5-9,1743356,0.2998,4184,57244,28878,123376
event_time::5,0.022493,0.006604,3.41,7e-04,portfolio_5-9,1743356,0.2998,4184,57244,28878,123376
event_time::-3,-0.008258,0.002911,-2.84,0.0046,portfolio_10+,1800753,0.3007,8381,114674,57989,123376
event_time::-1,-0.011688,0.002969,-3.94,1e-04,portfolio_10+,1800753,0.3007,8381,114674,57989,123376
event_time::0,-0.001604,0.003451,-0.46,0.642,portfolio_10+,1800753,0.3007,8381,114674,57989,123376
event_time::1,0.028774,0.003553,8.1,0,portfolio_10+,1800753,0.3007,8381,114674,57989,123376
event_time::2,0.031936,0.004187,7.63,0,portfolio_10+,1800753,0.3007,8381,114674,57989,123376
event_time::3,0.032894,0.004278,7.69,0,portfolio_10+,1800753,0.3007,8381,114674,57989,123376
event_time::4,0.028573,0.005083,5.62,0,portfolio_10+,1800753,0.3007,8381,114674,57989,123376
event_time::5,0.022337,0.004518,4.94,0,portfolio_10+,1800753,0.3007,8381,114674,57989,123376
