term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.120697,0.166423,-0.73,0.4683,portfolio_2plus_Single-purchase,200171,1.6222,9233,124152,63511,32976
event_time::-1,-0.146982,0.145511,-1.01,0.3124,portfolio_2plus_Single-purchase,200171,1.6222,9233,124152,63511,32976
event_time::0,-0.04912,0.106161,-0.46,0.6436,portfolio_2plus_Single-purchase,200171,1.6222,9233,124152,63511,32976
event_time::1,0.112757,0.16524,0.68,0.495,portfolio_2plus_Single-purchase,200171,1.6222,9233,124152,63511,32976
event_time::2,0.252351,0.152075,1.66,0.097,portfolio_2plus_Single-purchase,200171,1.6222,9233,124152,63511,32976
event_time::3,0.184932,0.204937,0.9,0.3669,portfolio_2plus_Single-purchase,200171,1.6222,9233,124152,63511,32976
event_time::4,0.157828,0.164479,0.96,0.3373,portfolio_2plus_Single-purchase,200171,1.6222,9233,124152,63511,32976
event_time::5,0.26257,0.17941,1.46,0.1433,portfolio_2plus_Single-purchase,200171,1.6222,9233,124152,63511,32976
event_time::-3,0.241587,0.129269,1.87,0.0616,portfolio_2plus_2-4,170344,1.5408,2562,34428,17575,32976
event_time::-1,0.119337,0.203698,0.59,0.558,portfolio_2plus_2-4,170344,1.5408,2562,34428,17575,32976
event_time::0,0.169408,0.117134,1.45,0.1481,portfolio_2plus_2-4,170344,1.5408,2562,34428,17575,32976
event_time::1,0.190106,0.219165,0.87,0.3857,portfolio_2plus_2-4,170344,1.5408,2562,34428,17575,32976
event_time::2,0.454185,0.174931,2.6,0.0094,portfolio_2plus_2-4,170344,1.5408,2562,34428,17575,32976
event_time::3,0.213567,0.122537,1.74,0.0814,portfolio_2plus_2-4,170344,1.5408,2562,34428,17575,32976
event_time::4,-0.124519,0.28102,-0.44,0.6577,portfolio_2plus_2-4,170344,1.5408,2562,34428,17575,32976
event_time::5,0.007592,0.272867,0.03,0.9778,portfolio_2plus_2-4,170344,1.5408,2562,34428,17575,32976
event_time::-3,-1.352538,0.650065,-2.08,0.0375,portfolio_2plus_5-9,162634,1.572,1054,13977,7115,32976
event_time::-1,0.779672,0.422463,1.85,0.065,portfolio_2plus_5-9,162634,1.572,1054,13977,7115,32976
event_time::0,-0.144814,0.209467,-0.69,0.4893,portfolio_2plus_5-9,162634,1.572,1054,13977,7115,32976
event_time::1,0.447217,0.323216,1.38,0.1665,portfolio_2plus_5-9,162634,1.572,1054,13977,7115,32976
event_time::2,-1.361812,0.468289,-2.91,0.0036,portfolio_2plus_5-9,162634,1.572,1054,13977,7115,32976
event_time::3,-0.401571,0.464926,-0.86,0.3877,portfolio_2plus_5-9,162634,1.572,1054,13977,7115,32976
event_time::4,0.360552,0.265375,1.36,0.1743,portfolio_2plus_5-9,162634,1.572,1054,13977,7115,32976
event_time::5,0.276682,0.264988,1.04,0.2964,portfolio_2plus_5-9,162634,1.572,1054,13977,7115,32976
event_time::-3,-0.110159,0.18033,-0.61,0.5413,portfolio_2plus_10+,166080,1.5803,1735,22234,11518,32976
event_time::-1,-0.188496,0.214305,-0.88,0.3791,portfolio_2plus_10+,166080,1.5803,1735,22234,11518,32976
event_time::0,-0.105553,0.19245,-0.55,0.5834,portfolio_2plus_10+,166080,1.5803,1735,22234,11518,32976
event_time::1,0.09107,0.19008,0.48,0.6319,portfolio_2plus_10+,166080,1.5803,1735,22234,11518,32976
event_time::2,-0.33999,0.245678,-1.38,0.1664,portfolio_2plus_10+,166080,1.5803,1735,22234,11518,32976
event_time::3,-0.333736,0.226458,-1.47,0.1406,portfolio_2plus_10+,166080,1.5803,1735,22234,11518,32976
event_time::4,-0.330578,0.316838,-1.04,0.2968,portfolio_2plus_10+,166080,1.5803,1735,22234,11518,32976
event_time::5,-0.545209,0.197965,-2.75,0.0059,portfolio_2plus_10+,166080,1.5803,1735,22234,11518,32976
