term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.117062,0.162178,-0.72,0.4704,portfolio_Single-purchase,684601,2.2878,40916,562294,286600,123376
event_time::-1,-0.12854,0.141464,-0.91,0.3635,portfolio_Single-purchase,684601,2.2878,40916,562294,286600,123376
event_time::0,-0.049148,0.103907,-0.47,0.6362,portfolio_Single-purchase,684601,2.2878,40916,562294,286600,123376
event_time::1,0.113795,0.161129,0.71,0.48,portfolio_Single-purchase,684601,2.2878,40916,562294,286600,123376
event_time::2,0.251624,0.148802,1.69,0.0908,portfolio_Single-purchase,684601,2.2878,40916,562294,286600,123376
event_time::3,0.185905,0.200723,0.93,0.3544,portfolio_Single-purchase,684601,2.2878,40916,562294,286600,123376
event_time::4,0.159709,0.16081,0.99,0.3206,portfolio_Single-purchase,684601,2.2878,40916,562294,286600,123376
event_time::5,0.25953,0.174667,1.49,0.1373,portfolio_Single-purchase,684601,2.2878,40916,562294,286600,123376
event_time::-3,0.238476,0.127917,1.86,0.0623,portfolio_2-4,567680,1.9565,9438,129669,65953,123376
event_time::-1,0.11806,0.20261,0.58,0.5601,portfolio_2-4,567680,1.9565,9438,129669,65953,123376
event_time::0,0.168612,0.116366,1.45,0.1473,portfolio_2-4,567680,1.9565,9438,129669,65953,123376
event_time::1,0.193887,0.216537,0.9,0.3706,portfolio_2-4,567680,1.9565,9438,129669,65953,123376
event_time::2,0.455611,0.171333,2.66,0.0078,portfolio_2-4,567680,1.9565,9438,129669,65953,123376
event_time::3,0.217017,0.120775,1.8,0.0724,portfolio_2-4,567680,1.9565,9438,129669,65953,123376
event_time::4,-0.111386,0.278583,-0.4,0.6893,portfolio_2-4,567680,1.9565,9438,129669,65953,123376
event_time::5,0.015356,0.270073,0.06,0.9547,portfolio_2-4,567680,1.9565,9438,129669,65953,123376
event_time::-3,-1.28442,0.614947,-2.09,0.0367,portfolio_5-9,545706,2.0301,4184,57244,28878,123376
event_time::-1,0.76249,0.420747,1.81,0.07,portfolio_5-9,545706,2.0301,4184,57244,28878,123376
event_time::0,-0.144445,0.203738,-0.71,0.4783,portfolio_5-9,545706,2.0301,4184,57244,28878,123376
event_time::1,0.448913,0.313539,1.43,0.1522,portfolio_5-9,545706,2.0301,4184,57244,28878,123376
event_time::2,-1.199365,0.443576,-2.7,0.0069,portfolio_5-9,545706,2.0301,4184,57244,28878,123376
event_time::3,-0.356886,0.447556,-0.8,0.4252,portfolio_5-9,545706,2.0301,4184,57244,28878,123376
event_time::4,0.369781,0.252469,1.46,0.143,portfolio_5-9,545706,2.0301,4184,57244,28878,123376
event_time::5,0.278344,0.253363,1.1,0.2719,portfolio_5-9,545706,2.0301,4184,57244,28878,123376
event_time::-3,-0.114362,0.174859,-0.65,0.5131,portfolio_10+,567033,2.076,8381,114674,57989,123376
event_time::-1,-0.193934,0.208043,-0.93,0.3512,portfolio_10+,567033,2.076,8381,114674,57989,123376
event_time::0,-0.103994,0.185981,-0.56,0.576,portfolio_10+,567033,2.076,8381,114674,57989,123376
event_time::1,0.124166,0.177843,0.7,0.4851,portfolio_10+,567033,2.076,8381,114674,57989,123376
event_time::2,-0.24275,0.221545,-1.1,0.2732,portfolio_10+,567033,2.076,8381,114674,57989,123376
event_time::3,-0.251677,0.211047,-1.19,0.2331,portfolio_10+,567033,2.076,8381,114674,57989,123376
event_time::4,-0.25353,0.288241,-0.88,0.3791,portfolio_10+,567033,2.076,8381,114674,57989,123376
event_time::5,-0.454745,0.185297,-2.45,0.0141,portfolio_10+,567033,2.076,8381,114674,57989,123376
