term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.000478,0.001073,-0.45,0.6559,port_units_0_solo,2281058,0.2871,43424,595072,302963,123376
event_time::-1,0.00798,0.001164,6.86,0,port_units_0_solo,2281058,0.2871,43424,595072,302963,123376
event_time::0,0.000316,0.001089,0.29,0.7721,port_units_0_solo,2281058,0.2871,43424,595072,302963,123376
event_time::1,0.006756,0.001368,4.94,0,port_units_0_solo,2281058,0.2871,43424,595072,302963,123376
event_time::2,0.009214,0.001701,5.42,0,port_units_0_solo,2281058,0.2871,43424,595072,302963,123376
event_time::3,0.00975,0.001996,4.89,0,port_units_0_solo,2281058,0.2871,43424,595072,302963,123376
event_time::4,0.009747,0.0017,5.73,0,port_units_0_solo,2281058,0.2871,43424,595072,302963,123376
event_time::5,0.008187,0.001801,4.55,0,port_units_0_solo,2281058,0.2871,43424,595072,302963,123376
event_time::-3,-0.006534,0.001971,-3.32,9e-04,port_units_1_9,1879781,0.2905,14006,193681,98411,123376
event_time::-1,-0.003962,0.001557,-2.54,0.0109,port_units_1_9,1879781,0.2905,14006,193681,98411,123376
event_time::0,-5e-06,0.00176,0,0.9977,port_units_1_9,1879781,0.2905,14006,193681,98411,123376
event_time::1,0.018035,0.002157,8.36,0,port_units_1_9,1879781,0.2905,14006,193681,98411,123376
event_time::2,0.022188,0.002552,8.69,0,port_units_1_9,1879781,0.2905,14006,193681,98411,123376
event_time::3,0.020002,0.002425,8.25,0,port_units_1_9,1879781,0.2905,14006,193681,98411,123376
event_time::4,0.028271,0.003017,9.37,0,port_units_1_9,1879781,0.2905,14006,193681,98411,123376
event_time::5,0.020255,0.002748,7.37,0,port_units_1_9,1879781,0.2905,14006,193681,98411,123376
event_time::-3,-0.010367,0.003069,-3.38,7e-04,port_units_10_49,1758320,0.3002,5252,72219,37041,123376
event_time::-1,-0.01357,0.006653,-2.04,0.0414,port_units_10_49,1758320,0.3002,5252,72219,37041,123376
event_time::0,-0.007849,0.003969,-1.98,0.0479,port_units_10_49,1758320,0.3002,5252,72219,37041,123376
event_time::1,0.025578,0.005156,4.96,0,port_units_10_49,1758320,0.3002,5252,72219,37041,123376
event_time::2,0.0313,0.005223,5.99,0,port_units_10_49,1758320,0.3002,5252,72219,37041,123376
event_time::3,0.028322,0.005754,4.92,0,port_units_10_49,1758320,0.3002,5252,72219,37041,123376
event_time::4,0.028431,0.005318,5.35,0,port_units_10_49,1758320,0.3002,5252,72219,37041,123376
event_time::5,0.031516,0.005622,5.61,0,port_units_10_49,1758320,0.3002,5252,72219,37041,123376
event_time::-3,-0.005139,0.00643,-0.8,0.4242,port_units_50plus,1730615,0.3099,3243,44504,22339,123376
event_time::-1,-0.005465,0.007547,-0.72,0.469,port_units_50plus,1730615,0.3099,3243,44504,22339,123376
event_time::0,-0.000391,0.006894,-0.06,0.9547,port_units_50plus,1730615,0.3099,3243,44504,22339,123376
event_time::1,0.031623,0.010458,3.02,0.0025,port_units_50plus,1730615,0.3099,3243,44504,22339,123376
event_time::2,0.025024,0.010905,2.29,0.0218,port_units_50plus,1730615,0.3099,3243,44504,22339,123376
event_time::3,0.028157,0.008298,3.39,7e-04,port_units_50plus,1730615,0.3099,3243,44504,22339,123376
event_time::4,0.013102,0.009051,1.45,0.1477,port_units_50plus,1730615,0.3099,3243,44504,22339,123376
event_time::5,0.011381,0.009035,1.26,0.2078,port_units_50plus,1730615,0.3099,3243,44504,22339,123376
