subgroup,post_minus_pre,se,ci_lower,ci_upper,n
full,0.020279,0.002028,0.016304,0.024253,464146
corporate,0.026576,0.004084,0.018572,0.03458,135141
individual,0.01565,0.001903,0.011919,0.01938,329005
highfiler_portfolio_10plus_otherunits,0.062201,0.015271,0.03227,0.092133,24776
lowfiler_portfolio_10plus_otherunits,0.015071,0.005509,0.004274,0.025868,28345
smallportfolio_lt10_otherunits,0.015687,0.004129,0.007595,0.023779,105874
singlepurchase,0.018007,0.002197,0.013701,0.022314,305142
portfolio_singlepurchase,0.018215,0.002362,0.013586,0.022845,286852
portfolio_24,0.010357,0.006097,-0.001592,0.022306,66180
portfolio_59,0.036362,0.007708,0.021254,0.051471,29072
portfolio_10_,0.033576,0.006024,0.021768,0.045383,58409
