term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.002663,0.000905,-2.94,0.0033,pct_black_diag_1unit,1462426,0.8681,50060,532838,262336,86242
event_time::-1,-0.005185,0.001039,-4.99,0,pct_black_diag_1unit,1462426,0.8681,50060,532838,262336,86242
event_time::0,-0.013038,0.00118,-11.05,0,pct_black_diag_1unit,1462426,0.8681,50060,532838,262336,86242
event_time::1,-0.033839,0.001306,-25.92,0,pct_black_diag_1unit,1462426,0.8681,50060,532838,262336,86242
event_time::2,-0.019445,0.001317,-14.76,0,pct_black_diag_1unit,1462426,0.8681,50060,532838,262336,86242
event_time::3,-0.000672,0.001332,-0.5,0.614,pct_black_diag_1unit,1462426,0.8681,50060,532838,262336,86242
event_time::4,0.000364,0.001354,0.27,0.7878,pct_black_diag_1unit,1462426,0.8681,50060,532838,262336,86242
event_time::5,0.000947,0.001338,0.71,0.4794,pct_black_diag_1unit,1462426,0.8681,50060,532838,262336,86242
event_time::-3,0.001052,0.001595,0.66,0.5095,pct_black_diag_2plus,513815,0.9206,14237,157256,78672,31162
event_time::-1,-0.000598,0.002304,-0.26,0.7953,pct_black_diag_2plus,513815,0.9206,14237,157256,78672,31162
event_time::0,-0.000856,0.002099,-0.41,0.6835,pct_black_diag_2plus,513815,0.9206,14237,157256,78672,31162
event_time::1,-0.005294,0.002385,-2.22,0.0264,pct_black_diag_2plus,513815,0.9206,14237,157256,78672,31162
event_time::2,-0.005002,0.00273,-1.83,0.0669,pct_black_diag_2plus,513815,0.9206,14237,157256,78672,31162
event_time::3,-0.002183,0.003003,-0.73,0.4672,pct_black_diag_2plus,513815,0.9206,14237,157256,78672,31162
event_time::4,0.001082,0.002827,0.38,0.7019,pct_black_diag_2plus,513815,0.9206,14237,157256,78672,31162
event_time::5,-0.000127,0.002636,-0.05,0.9617,pct_black_diag_2plus,513815,0.9206,14237,157256,78672,31162
event_time::-3,-0.005228,0.000552,-9.47,0,pct_asian_diag_1unit,1462426,0.5179,50060,532838,262336,86242
event_time::-1,-0.006906,0.000637,-10.84,0,pct_asian_diag_1unit,1462426,0.5179,50060,532838,262336,86242
event_time::0,0.009445,0.000954,9.9,0,pct_asian_diag_1unit,1462426,0.5179,50060,532838,262336,86242
event_time::1,0.070348,0.001384,50.83,0,pct_asian_diag_1unit,1462426,0.5179,50060,532838,262336,86242
event_time::2,0.040321,0.001183,34.07,0,pct_asian_diag_1unit,1462426,0.5179,50060,532838,262336,86242
event_time::3,0.012956,9e-04,14.4,0,pct_asian_diag_1unit,1462426,0.5179,50060,532838,262336,86242
event_time::4,0.011775,0.000888,13.26,0,pct_asian_diag_1unit,1462426,0.5179,50060,532838,262336,86242
event_time::5,0.010184,0.000864,11.79,0,pct_asian_diag_1unit,1462426,0.5179,50060,532838,262336,86242
event_time::-3,-0.002025,0.000805,-2.51,0.012,pct_asian_diag_2plus,513815,0.5876,14237,157256,78672,31162
event_time::-1,-0.002145,0.000999,-2.15,0.0317,pct_asian_diag_2plus,513815,0.5876,14237,157256,78672,31162
event_time::0,-0.001277,0.001039,-1.23,0.2193,pct_asian_diag_2plus,513815,0.5876,14237,157256,78672,31162
event_time::1,0.006396,0.001144,5.59,0,pct_asian_diag_2plus,513815,0.5876,14237,157256,78672,31162
event_time::2,0.004658,0.001222,3.81,1e-04,pct_asian_diag_2plus,513815,0.5876,14237,157256,78672,31162
event_time::3,0.003878,0.001462,2.65,0.008,pct_asian_diag_2plus,513815,0.5876,14237,157256,78672,31162
event_time::4,0.003406,0.001692,2.01,0.0442,pct_asian_diag_2plus,513815,0.5876,14237,157256,78672,31162
event_time::5,0.002614,0.00131,2,0.046,pct_asian_diag_2plus,513815,0.5876,14237,157256,78672,31162
event_time::-3,-0.005274,0.000725,-7.28,0,pct_latino_diag_1unit,1462426,0.731,50060,532838,262336,86242
event_time::-1,-0.006728,0.000848,-7.94,0,pct_latino_diag_1unit,1462426,0.731,50060,532838,262336,86242
event_time::0,-0.003077,0.00099,-3.11,0.0019,pct_latino_diag_1unit,1462426,0.731,50060,532838,262336,86242
event_time::1,0.007129,0.001064,6.7,0,pct_latino_diag_1unit,1462426,0.731,50060,532838,262336,86242
event_time::2,0.008681,0.001072,8.1,0,pct_latino_diag_1unit,1462426,0.731,50060,532838,262336,86242
event_time::3,0.008135,0.001081,7.52,0,pct_latino_diag_1unit,1462426,0.731,50060,532838,262336,86242
event_time::4,0.0084,0.001094,7.68,0,pct_latino_diag_1unit,1462426,0.731,50060,532838,262336,86242
event_time::5,0.008783,0.001072,8.2,0,pct_latino_diag_1unit,1462426,0.731,50060,532838,262336,86242
event_time::-3,-0.000143,0.001157,-0.12,0.9018,pct_latino_diag_2plus,513815,0.7224,14237,157256,78672,31162
event_time::-1,0.000176,0.001534,0.11,0.9085,pct_latino_diag_2plus,513815,0.7224,14237,157256,78672,31162
event_time::0,0.000507,0.001373,0.37,0.7121,pct_latino_diag_2plus,513815,0.7224,14237,157256,78672,31162
event_time::1,0.000576,0.001727,0.33,0.7385,pct_latino_diag_2plus,513815,0.7224,14237,157256,78672,31162
event_time::2,-0.000573,0.001376,-0.42,0.6773,pct_latino_diag_2plus,513815,0.7224,14237,157256,78672,31162
event_time::3,0.002752,0.002139,1.29,0.1983,pct_latino_diag_2plus,513815,0.7224,14237,157256,78672,31162
event_time::4,-0.000348,0.001276,-0.27,0.7852,pct_latino_diag_2plus,513815,0.7224,14237,157256,78672,31162
event_time::5,-0.00052,0.0017,-0.31,0.7598,pct_latino_diag_2plus,513815,0.7224,14237,157256,78672,31162
event_time::-3,0.013305,0.000963,13.82,0,pct_white_diag_1unit,1462426,0.8475,50060,532838,262336,86242
event_time::-1,0.018622,0.001098,16.97,0,pct_white_diag_1unit,1462426,0.8475,50060,532838,262336,86242
event_time::0,0.00547,0.001361,4.02,1e-04,pct_white_diag_1unit,1462426,0.8475,50060,532838,262336,86242
event_time::1,-0.048554,0.001665,-29.16,0,pct_white_diag_1unit,1462426,0.8475,50060,532838,262336,86242
event_time::2,-0.032534,0.00156,-20.85,0,pct_white_diag_1unit,1462426,0.8475,50060,532838,262336,86242
event_time::3,-0.021111,0.001464,-14.42,0,pct_white_diag_1unit,1462426,0.8475,50060,532838,262336,86242
event_time::4,-0.021063,0.001477,-14.26,0,pct_white_diag_1unit,1462426,0.8475,50060,532838,262336,86242
event_time::5,-0.020375,0.001445,-14.1,0,pct_white_diag_1unit,1462426,0.8475,50060,532838,262336,86242
event_time::-3,0.001144,0.001791,0.64,0.5231,pct_white_diag_2plus,513815,0.9012,14237,157256,78672,31162
event_time::-1,0.002715,0.002338,1.16,0.2455,pct_white_diag_2plus,513815,0.9012,14237,157256,78672,31162
event_time::0,0.00178,0.002274,0.78,0.4338,pct_white_diag_2plus,513815,0.9012,14237,157256,78672,31162
event_time::1,-0.002261,0.002625,-0.86,0.389,pct_white_diag_2plus,513815,0.9012,14237,157256,78672,31162
event_time::2,0.000428,0.002741,0.16,0.8759,pct_white_diag_2plus,513815,0.9012,14237,157256,78672,31162
event_time::3,-0.005199,0.002821,-1.84,0.0653,pct_white_diag_2plus,513815,0.9012,14237,157256,78672,31162
event_time::4,-0.004254,0.003001,-1.42,0.1564,pct_white_diag_2plus,513815,0.9012,14237,157256,78672,31162
event_time::5,-0.002509,0.002687,-0.93,0.3504,pct_white_diag_2plus,513815,0.9012,14237,157256,78672,31162
event_time::-3,-0.000141,0.000155,-0.91,0.3643,pct_other_diag_1unit,1462426,0.3814,50060,532838,262336,86242
event_time::-1,0.000197,0.000191,1.04,0.3006,pct_other_diag_1unit,1462426,0.3814,50060,532838,262336,86242
event_time::0,0.0012,0.000261,4.59,0,pct_other_diag_1unit,1462426,0.3814,50060,532838,262336,86242
event_time::1,0.004916,0.000374,13.15,0,pct_other_diag_1unit,1462426,0.3814,50060,532838,262336,86242
event_time::2,0.002977,0.000331,8.99,0,pct_other_diag_1unit,1462426,0.3814,50060,532838,262336,86242
event_time::3,0.000691,0.000251,2.76,0.0058,pct_other_diag_1unit,1462426,0.3814,50060,532838,262336,86242
event_time::4,0.000523,0.000268,1.95,0.0512,pct_other_diag_1unit,1462426,0.3814,50060,532838,262336,86242
event_time::5,0.000461,0.000265,1.74,0.0815,pct_other_diag_1unit,1462426,0.3814,50060,532838,262336,86242
event_time::-3,-2.8e-05,0.000153,-0.18,0.8544,pct_other_diag_2plus,513815,0.4891,14237,157256,78672,31162
event_time::-1,-0.000149,0.00018,-0.83,0.4069,pct_other_diag_2plus,513815,0.4891,14237,157256,78672,31162
event_time::0,-0.000154,0.000237,-0.65,0.5154,pct_other_diag_2plus,513815,0.4891,14237,157256,78672,31162
event_time::1,0.000582,0.000284,2.05,0.0404,pct_other_diag_2plus,513815,0.4891,14237,157256,78672,31162
event_time::2,0.000488,0.000249,1.96,0.0495,pct_other_diag_2plus,513815,0.4891,14237,157256,78672,31162
event_time::3,0.000752,0.00029,2.59,0.0096,pct_other_diag_2plus,513815,0.4891,14237,157256,78672,31162
event_time::4,0.000114,0.000263,0.43,0.6663,pct_other_diag_2plus,513815,0.4891,14237,157256,78672,31162
event_time::5,0.000541,0.000303,1.78,0.0745,pct_other_diag_2plus,513815,0.4891,14237,157256,78672,31162
