event_time,buyer_type,mean_rate,se,n
-3,Corporate,0.0424080266503243,0.000945011832811969,56871
-3,Individual,0.0299564331581153,0.000567371026510042,99607
-2,Corporate,0.0404108463624827,0.000934184942321453,55110
-2,Individual,0.0317600694541127,0.000582468620202022,99653
-1,Corporate,0.041307153413942,0.000934945089039268,53156
-1,Individual,0.041519346529808,0.000662825420274849,101771
0,Corporate,0.0440307104854738,0.0010633494573004,52980
0,Individual,0.0292750368179414,0.000518052972700079,108598
1,Corporate,0.0706087397764406,0.00121873810810312,51564
1,Individual,0.0400142708456212,0.000608394551021001,115354
2,Corporate,0.0824674263608135,0.00136474399328482,49289
2,Individual,0.0471715705666582,0.000650622934149904,119774
3,Corporate,0.0842368734639404,0.00144073156346741,46328
3,Individual,0.0460316989887524,0.000632164876876384,121759
4,Corporate,0.0778854580330994,0.00140741986089759,43188
4,Individual,0.047097667777104,0.000646546201692448,123022
5,Corporate,0.0784549952024835,0.00149271102250279,40229
5,Individual,0.0459764722773901,0.000625632331239924,124350
