term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.016396,0.014429,-1.14,0.2558,rent_full,131079,0.8294,3936,16231,11093,33175
event_time::-1,-0.01618,0.009795,-1.65,0.0986,rent_full,131079,0.8294,3936,16231,11093,33175
event_time::0,-0.010644,0.012303,-0.87,0.3869,rent_full,131079,0.8294,3936,16231,11093,33175
event_time::1,0.009195,0.013954,0.66,0.5099,rent_full,131079,0.8294,3936,16231,11093,33175
event_time::2,0.074609,0.024965,2.99,0.0028,rent_full,131079,0.8294,3936,16231,11093,33175
event_time::3,0.060562,0.028494,2.13,0.0336,rent_full,131079,0.8294,3936,16231,11093,33175
event_time::4,0.047674,0.013305,3.58,3e-04,rent_full,131079,0.8294,3936,16231,11093,33175
event_time::5,0.020498,0.015432,1.33,0.1841,rent_full,131079,0.8294,3936,16231,11093,33175
event_time::-3,0.031729,0.019902,1.59,0.1109,rent_acq_highfiler_portfolio_10plus_otherunits,117120,0.8278,395,2272,1374,33175
event_time::-1,0.008087,0.014684,0.55,0.5818,rent_acq_highfiler_portfolio_10plus_otherunits,117120,0.8278,395,2272,1374,33175
event_time::0,0.005795,0.015883,0.36,0.7152,rent_acq_highfiler_portfolio_10plus_otherunits,117120,0.8278,395,2272,1374,33175
event_time::1,0.030529,0.01538,1.98,0.0472,rent_acq_highfiler_portfolio_10plus_otherunits,117120,0.8278,395,2272,1374,33175
event_time::2,0.070129,0.0194,3.61,3e-04,rent_acq_highfiler_portfolio_10plus_otherunits,117120,0.8278,395,2272,1374,33175
event_time::3,0.053078,0.018306,2.9,0.0037,rent_acq_highfiler_portfolio_10plus_otherunits,117120,0.8278,395,2272,1374,33175
event_time::4,0.063022,0.01875,3.36,8e-04,rent_acq_highfiler_portfolio_10plus_otherunits,117120,0.8278,395,2272,1374,33175
event_time::5,0.022592,0.017969,1.26,0.2087,rent_acq_highfiler_portfolio_10plus_otherunits,117120,0.8278,395,2272,1374,33175
event_time::-3,0.000173,0.078836,0,0.9982,rent_acq_lowfiler_portfolio_10plus_otherunits,116306,0.8241,312,1458,1029,33175
event_time::-1,-0.094562,0.037567,-2.52,0.0118,rent_acq_lowfiler_portfolio_10plus_otherunits,116306,0.8241,312,1458,1029,33175
event_time::0,-0.033611,0.056096,-0.6,0.5491,rent_acq_lowfiler_portfolio_10plus_otherunits,116306,0.8241,312,1458,1029,33175
event_time::1,-0.041439,0.049886,-0.83,0.4062,rent_acq_lowfiler_portfolio_10plus_otherunits,116306,0.8241,312,1458,1029,33175
event_time::2,0.241883,0.109715,2.2,0.0275,rent_acq_lowfiler_portfolio_10plus_otherunits,116306,0.8241,312,1458,1029,33175
event_time::3,0.227776,0.104589,2.18,0.0294,rent_acq_lowfiler_portfolio_10plus_otherunits,116306,0.8241,312,1458,1029,33175
event_time::4,0.074288,0.039556,1.88,0.0604,rent_acq_lowfiler_portfolio_10plus_otherunits,116306,0.8241,312,1458,1029,33175
event_time::5,0.076761,0.060329,1.27,0.2033,rent_acq_lowfiler_portfolio_10plus_otherunits,116306,0.8241,312,1458,1029,33175
event_time::-3,-0.03896,0.022056,-1.77,0.0773,rent_acq_smallportfolio_lt10_otherunits,119206,0.826,1112,4358,2998,33175
event_time::-1,-0.024201,0.022286,-1.09,0.2775,rent_acq_smallportfolio_lt10_otherunits,119206,0.826,1112,4358,2998,33175
event_time::0,-0.040084,0.034264,-1.17,0.2421,rent_acq_smallportfolio_lt10_otherunits,119206,0.826,1112,4358,2998,33175
event_time::1,0.04422,0.016909,2.62,0.0089,rent_acq_smallportfolio_lt10_otherunits,119206,0.826,1112,4358,2998,33175
event_time::2,0.043679,0.018936,2.31,0.0211,rent_acq_smallportfolio_lt10_otherunits,119206,0.826,1112,4358,2998,33175
event_time::3,0.026138,0.019873,1.32,0.1884,rent_acq_smallportfolio_lt10_otherunits,119206,0.826,1112,4358,2998,33175
event_time::4,-0.015884,0.028151,-0.56,0.5726,rent_acq_smallportfolio_lt10_otherunits,119206,0.826,1112,4358,2998,33175
event_time::5,-0.019102,0.022274,-0.86,0.3911,rent_acq_smallportfolio_lt10_otherunits,119206,0.826,1112,4358,2998,33175
