term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.020035,0.014595,-1.37,0.1699,rent_tract_year,130855,0.8669,3934,16219,11086,33173
event_time::-1,-0.03455,0.012489,-2.77,0.0057,rent_tract_year,130855,0.8669,3934,16219,11086,33173
event_time::0,0.000634,0.009906,0.06,0.949,rent_tract_year,130855,0.8669,3934,16219,11086,33173
event_time::1,0.007093,0.017184,0.41,0.6798,rent_tract_year,130855,0.8669,3934,16219,11086,33173
event_time::2,0.065687,0.014444,4.55,0,rent_tract_year,130855,0.8669,3934,16219,11086,33173
event_time::3,0.043941,0.016463,2.67,0.0076,rent_tract_year,130855,0.8669,3934,16219,11086,33173
event_time::4,0.046738,0.012024,3.89,1e-04,rent_tract_year,130855,0.8669,3934,16219,11086,33173
event_time::5,0.011327,0.014068,0.81,0.4207,rent_tract_year,130855,0.8669,3934,16219,11086,33173
event_time::-3,-0.01652,0.014449,-1.14,0.2529,rent_ctrl3,103303,0.8372,3936,16231,11093,19287
event_time::-1,-0.016045,0.009821,-1.63,0.1023,rent_ctrl3,103303,0.8372,3936,16231,11093,19287
event_time::0,-0.010529,0.012315,-0.85,0.3926,rent_ctrl3,103303,0.8372,3936,16231,11093,19287
event_time::1,0.009224,0.013977,0.66,0.5093,rent_ctrl3,103303,0.8372,3936,16231,11093,19287
event_time::2,0.074737,0.024992,2.99,0.0028,rent_ctrl3,103303,0.8372,3936,16231,11093,19287
event_time::3,0.060716,0.028505,2.13,0.0332,rent_ctrl3,103303,0.8372,3936,16231,11093,19287
event_time::4,0.047778,0.013319,3.59,3e-04,rent_ctrl3,103303,0.8372,3936,16231,11093,19287
event_time::5,0.02047,0.015458,1.32,0.1854,rent_ctrl3,103303,0.8372,3936,16231,11093,19287
event_time::-3,-0.01634,0.014425,-1.13,0.2573,rent_ctrl3_tract_year,103054,0.8741,3934,16219,11086,19286
event_time::-1,-0.035235,0.012623,-2.79,0.0053,rent_ctrl3_tract_year,103054,0.8741,3934,16219,11086,19286
event_time::0,0.001304,0.009945,0.13,0.8957,rent_ctrl3_tract_year,103054,0.8741,3934,16219,11086,19286
event_time::1,0.006322,0.017386,0.36,0.7161,rent_ctrl3_tract_year,103054,0.8741,3934,16219,11086,19286
event_time::2,0.065328,0.014515,4.5,0,rent_ctrl3_tract_year,103054,0.8741,3934,16219,11086,19286
event_time::3,0.043736,0.016638,2.63,0.0086,rent_ctrl3_tract_year,103054,0.8741,3934,16219,11086,19286
event_time::4,0.047715,0.012177,3.92,1e-04,rent_ctrl3_tract_year,103054,0.8741,3934,16219,11086,19286
event_time::5,0.011853,0.014287,0.83,0.4067,rent_ctrl3_tract_year,103054,0.8741,3934,16219,11086,19286
