term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.008232,0.008515,-0.97,0.3337,rent_diag_1unit,73002,0.8638,2149,7464,5174,21130
event_time::-1,-0.015358,0.008244,-1.86,0.0625,rent_diag_1unit,73002,0.8638,2149,7464,5174,21130
event_time::0,0.040651,0.006943,5.85,0,rent_diag_1unit,73002,0.8638,2149,7464,5174,21130
event_time::1,0.094347,0.009005,10.48,0,rent_diag_1unit,73002,0.8638,2149,7464,5174,21130
event_time::2,0.075969,0.009814,7.74,0,rent_diag_1unit,73002,0.8638,2149,7464,5174,21130
event_time::3,0.067997,0.011448,5.94,0,rent_diag_1unit,73002,0.8638,2149,7464,5174,21130
event_time::4,0.027681,0.013769,2.01,0.0444,rent_diag_1unit,73002,0.8638,2149,7464,5174,21130
event_time::5,0.034424,0.012893,2.67,0.0076,rent_diag_1unit,73002,0.8638,2149,7464,5174,21130
event_time::-3,-0.016836,0.015312,-1.1,0.2715,rent_diag_2plus,58075,0.8359,1787,8767,5919,12046
event_time::-1,-0.015369,0.010467,-1.47,0.142,rent_diag_2plus,58075,0.8359,1787,8767,5919,12046
event_time::0,-0.015098,0.013228,-1.14,0.2537,rent_diag_2plus,58075,0.8359,1787,8767,5919,12046
event_time::1,0.003245,0.014648,0.22,0.8247,rent_diag_2plus,58075,0.8359,1787,8767,5919,12046
event_time::2,0.074718,0.026367,2.83,0.0046,rent_diag_2plus,58075,0.8359,1787,8767,5919,12046
event_time::3,0.059933,0.029916,2,0.0452,rent_diag_2plus,58075,0.8359,1787,8767,5919,12046
event_time::4,0.048266,0.013897,3.47,5e-04,rent_diag_2plus,58075,0.8359,1787,8767,5919,12046
event_time::5,0.019387,0.016192,1.2,0.2312,rent_diag_2plus,58075,0.8359,1787,8767,5919,12046
