term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.004084,0.007183,-0.57,0.5697,license_entry_2plus_rental_full,237827,0.8963,12768,72574,41414,27785
event_time::-1,-0.01482,0.007851,-1.89,0.0591,license_entry_2plus_rental_full,237827,0.8963,12768,72574,41414,27785
event_time::0,-0.014949,0.010042,-1.49,0.1366,license_entry_2plus_rental_full,237827,0.8963,12768,72574,41414,27785
event_time::1,-0.032912,0.015819,-2.08,0.0375,license_entry_2plus_rental_full,237827,0.8963,12768,72574,41414,27785
event_time::2,-0.013438,0.010921,-1.23,0.2185,license_entry_2plus_rental_full,237827,0.8963,12768,72574,41414,27785
event_time::3,0.004416,0.012333,0.36,0.7203,license_entry_2plus_rental_full,237827,0.8963,12768,72574,41414,27785
event_time::4,0.006771,0.009139,0.74,0.4588,license_entry_2plus_rental_full,237827,0.8963,12768,72574,41414,27785
event_time::5,-0.001536,0.011177,-0.14,0.8907,license_entry_2plus_rental_full,237827,0.8963,12768,72574,41414,27785
event_time::-3,-0.014771,0.009591,-1.54,0.1236,license_entry_2plus_rental_corp,192536,0.9016,4641,26147,16370,27785
event_time::-1,-0.019311,0.011074,-1.74,0.0812,license_entry_2plus_rental_corp,192536,0.9016,4641,26147,16370,27785
event_time::0,-0.012907,0.015359,-0.84,0.4007,license_entry_2plus_rental_corp,192536,0.9016,4641,26147,16370,27785
event_time::1,-0.028868,0.023538,-1.23,0.2201,license_entry_2plus_rental_corp,192536,0.9016,4641,26147,16370,27785
event_time::2,-0.004507,0.015245,-0.3,0.7675,license_entry_2plus_rental_corp,192536,0.9016,4641,26147,16370,27785
event_time::3,0.019088,0.017742,1.08,0.282,license_entry_2plus_rental_corp,192536,0.9016,4641,26147,16370,27785
event_time::4,0.014334,0.014644,0.98,0.3277,license_entry_2plus_rental_corp,192536,0.9016,4641,26147,16370,27785
event_time::5,-0.001187,0.018802,-0.06,0.9497,license_entry_2plus_rental_corp,192536,0.9016,4641,26147,16370,27785
event_time::-3,0.013304,0.010719,1.24,0.2146,license_entry_2plus_rental_indiv,212346,0.9094,8127,46427,25044,27785
event_time::-1,-0.006742,0.010335,-0.65,0.5142,license_entry_2plus_rental_indiv,212346,0.9094,8127,46427,25044,27785
event_time::0,-0.018573,0.008237,-2.25,0.0242,license_entry_2plus_rental_indiv,212346,0.9094,8127,46427,25044,27785
event_time::1,-0.040672,0.013608,-2.99,0.0028,license_entry_2plus_rental_indiv,212346,0.9094,8127,46427,25044,27785
event_time::2,-0.028995,0.013485,-2.15,0.0315,license_entry_2plus_rental_indiv,212346,0.9094,8127,46427,25044,27785
event_time::3,-0.02195,0.013654,-1.61,0.1079,license_entry_2plus_rental_indiv,212346,0.9094,8127,46427,25044,27785
event_time::4,-0.006188,0.004692,-1.32,0.1872,license_entry_2plus_rental_indiv,212346,0.9094,8127,46427,25044,27785
event_time::5,-0.002746,0.003618,-0.76,0.4479,license_entry_2plus_rental_indiv,212346,0.9094,8127,46427,25044,27785
