term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.043311,0.002693,-16.08,0,license_entry_full,1680091,0.7202,66419,589707,343968,123306
event_time::-1,-0.113063,0.004248,-26.62,0,license_entry_full,1680091,0.7202,66419,589707,343968,123306
event_time::0,-0.036705,0.004726,-7.77,0,license_entry_full,1680091,0.7202,66419,589707,343968,123306
event_time::1,0.012195,0.007414,1.64,0.1,license_entry_full,1680091,0.7202,66419,589707,343968,123306
event_time::2,0.05268,0.005842,9.02,0,license_entry_full,1680091,0.7202,66419,589707,343968,123306
event_time::3,0.053541,0.007167,7.47,0,license_entry_full,1680091,0.7202,66419,589707,343968,123306
event_time::4,0.058665,0.00635,9.24,0,license_entry_full,1680091,0.7202,66419,589707,343968,123306
event_time::5,0.05136,0.004408,11.65,0,license_entry_full,1680091,0.7202,66419,589707,343968,123306
event_time::-3,-0.061768,0.005413,-11.41,0,license_entry_corp,1267258,0.745,20051,176783,110842,123306
event_time::-1,-0.13149,0.008453,-15.56,0,license_entry_corp,1267258,0.745,20051,176783,110842,123306
event_time::0,-0.030579,0.009198,-3.32,9e-04,license_entry_corp,1267258,0.745,20051,176783,110842,123306
event_time::1,0.045433,0.015432,2.94,0.0032,license_entry_corp,1267258,0.745,20051,176783,110842,123306
event_time::2,0.101246,0.012262,8.26,0,license_entry_corp,1267258,0.745,20051,176783,110842,123306
event_time::3,0.104515,0.01586,6.59,0,license_entry_corp,1267258,0.745,20051,176783,110842,123306
event_time::4,0.109854,0.014807,7.42,0,license_entry_corp,1267258,0.745,20051,176783,110842,123306
event_time::5,0.087621,0.010483,8.36,0,license_entry_corp,1267258,0.745,20051,176783,110842,123306
event_time::-3,-0.027205,0.002718,-10.01,0,license_entry_indiv,1503444,0.7206,46368,412924,233126,123306
event_time::-1,-0.095304,0.003422,-27.85,0,license_entry_indiv,1503444,0.7206,46368,412924,233126,123306
event_time::0,-0.038834,0.003884,-10,0,license_entry_indiv,1503444,0.7206,46368,412924,233126,123306
event_time::1,-0.011484,0.004539,-2.53,0.0114,license_entry_indiv,1503444,0.7206,46368,412924,233126,123306
event_time::2,0.017936,0.004727,3.79,1e-04,license_entry_indiv,1503444,0.7206,46368,412924,233126,123306
event_time::3,0.017362,0.004821,3.6,3e-04,license_entry_indiv,1503444,0.7206,46368,412924,233126,123306
event_time::4,0.023454,0.003725,6.3,0,license_entry_indiv,1503444,0.7206,46368,412924,233126,123306
event_time::5,0.028467,0.003195,8.91,0,license_entry_indiv,1503444,0.7206,46368,412924,233126,123306
event_time::-3,-0.018749,0.004177,-4.49,0,altos_entry_full,1680091,0.5129,66419,589707,343968,123306
event_time::-1,-0.042742,0.00472,-9.06,0,altos_entry_full,1680091,0.5129,66419,589707,343968,123306
event_time::0,0.016438,0.004848,3.39,7e-04,altos_entry_full,1680091,0.5129,66419,589707,343968,123306
event_time::1,0.032716,0.006149,5.32,0,altos_entry_full,1680091,0.5129,66419,589707,343968,123306
event_time::2,0.028467,0.00731,3.89,1e-04,altos_entry_full,1680091,0.5129,66419,589707,343968,123306
event_time::3,0.022648,0.00894,2.53,0.0113,altos_entry_full,1680091,0.5129,66419,589707,343968,123306
event_time::4,0.016656,0.008446,1.97,0.0486,altos_entry_full,1680091,0.5129,66419,589707,343968,123306
event_time::5,0.016445,0.005173,3.18,0.0015,altos_entry_full,1680091,0.5129,66419,589707,343968,123306
event_time::-3,-0.055218,0.003823,-14.44,0,any_rental_entry_full,1680091,0.6337,66419,589707,343968,123306
event_time::-1,-0.116773,0.005322,-21.94,0,any_rental_entry_full,1680091,0.6337,66419,589707,343968,123306
