term,estimate,std_error,t_value,p_value,spec,n,r2
event_time::-3,-0.001043,0.000786,-1.33,0.1847,no_sheriff,753477,0.2415
event_time::-2,-0.001302,0.000829,-1.57,0.1163,no_sheriff,753477,0.2415
event_time::0,-0.00121,0.000795,-1.52,0.1282,no_sheriff,753477,0.2415
event_time::1,0.00728,0.000878,8.29,0,no_sheriff,753477,0.2415
event_time::2,0.007455,0.000894,8.34,0,no_sheriff,753477,0.2415
event_time::3,0.006026,0.000887,6.79,0,no_sheriff,753477,0.2415
event_time::4,0.004826,0.000844,5.72,0,no_sheriff,753477,0.2415
event_time::5,0.00448,0.000839,5.34,0,no_sheriff,753477,0.2415
event_time::-3,-0.003413,0.001253,-2.72,0.0065,single_transfer,213538,0.3092
event_time::-2,-0.002651,0.001503,-1.76,0.0778,single_transfer,213538,0.3092
event_time::0,-0.000228,0.00143,-0.16,0.8733,single_transfer,213538,0.3092
event_time::1,0.004648,0.001594,2.92,0.0035,single_transfer,213538,0.3092
event_time::2,0.005669,0.001722,3.29,0.001,single_transfer,213538,0.3092
event_time::3,0.009374,0.001805,5.19,0,single_transfer,213538,0.3092
event_time::4,0.004026,0.001668,2.41,0.0158,single_transfer,213538,0.3092
event_time::5,0.006696,0.001706,3.92,1e-04,single_transfer,213538,0.3092
event_time::-3,-0.005204,0.001001,-5.2,0,no_close_overlap,439382,0.2434
event_time::-2,-0.004655,0.001136,-4.1,0,no_close_overlap,439382,0.2434
event_time::0,-0.003231,0.001041,-3.1,0.0019,no_close_overlap,439382,0.2434
event_time::1,0.004715,0.001188,3.97,1e-04,no_close_overlap,439382,0.2434
event_time::2,0.007343,0.001223,6.01,0,no_close_overlap,439382,0.2434
event_time::3,0.00898,0.001214,7.39,0,no_close_overlap,439382,0.2434
event_time::4,0.006325,0.00116,5.45,0,no_close_overlap,439382,0.2434
event_time::5,0.005348,0.001079,4.96,0,no_close_overlap,439382,0.2434
event_time::-3,-0.00885,0.008188,-1.08,0.2798,count_outcome,811059,0.6508
event_time::-2,-0.007478,0.009351,-0.8,0.4239,count_outcome,811059,0.6508
event_time::0,-0.005533,0.006405,-0.86,0.3877,count_outcome,811059,0.6508
event_time::1,0.021521,0.006725,3.2,0.0014,count_outcome,811059,0.6508
event_time::2,0.030713,0.005864,5.24,0,count_outcome,811059,0.6508
event_time::3,0.033735,0.008012,4.21,0,count_outcome,811059,0.6508
event_time::4,0.030495,0.007133,4.28,0,count_outcome,811059,0.6508
event_time::5,0.010022,0.004919,2.04,0.0416,count_outcome,811059,0.6508
event_time::-3,-0.003004,0.001215,-2.47,0.0135,any_filing,811059,0.2553
event_time::-2,-0.005658,0.001216,-4.65,0,any_filing,811059,0.2553
event_time::0,-0.005602,0.001261,-4.44,0,any_filing,811059,0.2553
event_time::1,0.008097,0.001356,5.97,0,any_filing,811059,0.2553
event_time::2,0.010962,0.001383,7.93,0,any_filing,811059,0.2553
event_time::3,0.011311,0.001386,8.16,0,any_filing,811059,0.2553
event_time::4,0.00944,0.001345,7.02,0,any_filing,811059,0.2553
event_time::5,0.008727,0.001339,6.52,0,any_filing,811059,0.2553
event_time::-3,0.051171,0.011225,4.56,0,violations,755087,0.1642
event_time::-2,0.123762,0.012334,10.03,0,violations,755087,0.1642
event_time::0,0.268388,0.013269,20.23,0,violations,755087,0.1642
event_time::1,0.161255,0.011957,13.49,0,violations,755087,0.1642
event_time::2,0.055332,0.011331,4.88,0,violations,755087,0.1642
event_time::3,0.002473,0.011564,0.21,0.8306,violations,755087,0.1642
event_time::4,-0.015471,0.010187,-1.52,0.1288,violations,755087,0.1642
event_time::5,-0.00857,0.010552,-0.81,0.4167,violations,755087,0.1642
