term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,-0.004536,0.000962,-4.71,0,size_1 unit,1956298,0.1602,51378,711452,361406,90413
event_time::-1,0.005093,0.001037,4.91,0,size_1 unit,1956298,0.1602,51378,711452,361406,90413
event_time::0,-0.001509,0.000993,-1.52,0.1286,size_1 unit,1956298,0.1602,51378,711452,361406,90413
event_time::1,0.01513,0.001196,12.65,0,size_1 unit,1956298,0.1602,51378,711452,361406,90413
event_time::2,0.021641,0.001347,16.07,0,size_1 unit,1956298,0.1602,51378,711452,361406,90413
event_time::3,0.018658,0.001402,13.31,0,size_1 unit,1956298,0.1602,51378,711452,361406,90413
event_time::4,0.020251,0.001543,13.13,0,size_1 unit,1956298,0.1602,51378,711452,361406,90413
event_time::5,0.013429,0.001501,8.95,0,size_1 unit,1956298,0.1602,51378,711452,361406,90413
event_time::-3,-0.000795,0.001391,-0.57,0.5675,size_2-4 units,559405,0.2512,13515,182256,93538,27897
event_time::-1,0.001888,0.001292,1.46,0.144,size_2-4 units,559405,0.2512,13515,182256,93538,27897
event_time::0,0.000533,0.001212,0.44,0.6599,size_2-4 units,559405,0.2512,13515,182256,93538,27897
event_time::1,0.006568,0.001443,4.55,0,size_2-4 units,559405,0.2512,13515,182256,93538,27897
event_time::2,0.004985,0.001482,3.36,8e-04,size_2-4 units,559405,0.2512,13515,182256,93538,27897
event_time::3,0.007637,0.001622,4.71,0,size_2-4 units,559405,0.2512,13515,182256,93538,27897
event_time::4,0.00875,0.001785,4.9,0,size_2-4 units,559405,0.2512,13515,182256,93538,27897
event_time::5,0.009394,0.001831,5.13,0,size_2-4 units,559405,0.2512,13515,182256,93538,27897
event_time::-3,-0.004769,0.003077,-1.55,0.1212,size_5-19 units,61395,0.6159,1179,14724,7351,3660
event_time::-1,-0.005377,0.00399,-1.35,0.1778,size_5-19 units,61395,0.6159,1179,14724,7351,3660
event_time::0,0.000658,0.00368,0.18,0.8582,size_5-19 units,61395,0.6159,1179,14724,7351,3660
event_time::1,0.006778,0.004366,1.55,0.1207,size_5-19 units,61395,0.6159,1179,14724,7351,3660
event_time::2,0.011402,0.006563,1.74,0.0824,size_5-19 units,61395,0.6159,1179,14724,7351,3660
event_time::3,0.016739,0.006683,2.5,0.0123,size_5-19 units,61395,0.6159,1179,14724,7351,3660
event_time::4,0.016835,0.006807,2.47,0.0134,size_5-19 units,61395,0.6159,1179,14724,7351,3660
event_time::5,0.017152,0.006351,2.7,0.0069,size_5-19 units,61395,0.6159,1179,14724,7351,3660
event_time::-3,-0.00315,0.005226,-0.6,0.5468,size_20+ units,21325,0.7005,383,4131,2115,1484
event_time::-1,-0.002227,0.006513,-0.34,0.7324,size_20+ units,21325,0.7005,383,4131,2115,1484
event_time::0,-0.002503,0.005409,-0.46,0.6436,size_20+ units,21325,0.7005,383,4131,2115,1484
event_time::1,0.01393,0.007224,1.93,0.054,size_20+ units,21325,0.7005,383,4131,2115,1484
event_time::2,0.009651,0.007852,1.23,0.2192,size_20+ units,21325,0.7005,383,4131,2115,1484
event_time::3,0.013064,0.008031,1.63,0.104,size_20+ units,21325,0.7005,383,4131,2115,1484
event_time::4,0.005728,0.006452,0.89,0.3748,size_20+ units,21325,0.7005,383,4131,2115,1484
event_time::5,0.012489,0.007469,1.67,0.0947,size_20+ units,21325,0.7005,383,4131,2115,1484
