term,estimate,std_error,t_value,p_value,spec,n,r2,treated_pids,treated_rows,treated_event_rows,control_pids
event_time::-3,0.000745,0.00271,0.27,0.7835,occupancy_rate_tract_year,2594104,0.6756,66417,912489,464380,123070
event_time::-1,-0.002072,0.002843,-0.73,0.4662,occupancy_rate_tract_year,2594104,0.6756,66417,912489,464380,123070
event_time::0,-0.00669,0.003137,-2.13,0.033,occupancy_rate_tract_year,2594104,0.6756,66417,912489,464380,123070
event_time::1,-0.01115,0.003466,-3.22,0.0013,occupancy_rate_tract_year,2594104,0.6756,66417,912489,464380,123070
event_time::2,-0.01147,0.003581,-3.2,0.0014,occupancy_rate_tract_year,2594104,0.6756,66417,912489,464380,123070
event_time::3,-0.01252,0.003979,-3.15,0.0017,occupancy_rate_tract_year,2594104,0.6756,66417,912489,464380,123070
event_time::4,-0.007585,0.003976,-1.91,0.0564,occupancy_rate_tract_year,2594104,0.6756,66417,912489,464380,123070
event_time::5,-0.008947,0.003239,-2.76,0.0057,occupancy_rate_tract_year,2594104,0.6756,66417,912489,464380,123070
event_time::-3,0.00113,0.005689,0.2,0.8425,log_income_tract_year,1921309,0.7308,63634,685266,339796,113035
event_time::-1,-0.000433,0.005692,-0.08,0.9394,log_income_tract_year,1921309,0.7308,63634,685266,339796,113035
event_time::0,-0.004716,0.005735,-0.82,0.4109,log_income_tract_year,1921309,0.7308,63634,685266,339796,113035
event_time::1,-0.001226,0.005665,-0.22,0.8286,log_income_tract_year,1921309,0.7308,63634,685266,339796,113035
event_time::2,0.015008,0.007041,2.13,0.0331,log_income_tract_year,1921309,0.7308,63634,685266,339796,113035
event_time::3,0.031533,0.006705,4.7,0,log_income_tract_year,1921309,0.7308,63634,685266,339796,113035
event_time::4,0.023394,0.007297,3.21,0.0013,log_income_tract_year,1921309,0.7308,63634,685266,339796,113035
event_time::5,0.020653,0.006628,3.12,0.0018,log_income_tract_year,1921309,0.7308,63634,685266,339796,113035
event_time::-3,-0.003586,0.000495,-7.25,0,pct_asian_tract_year,1976084,0.5588,64291,690045,340992,117397
event_time::-1,-0.004913,0.000625,-7.86,0,pct_asian_tract_year,1976084,0.5588,64291,690045,340992,117397
event_time::0,0.003218,0.000705,4.56,0,pct_asian_tract_year,1976084,0.5588,64291,690045,340992,117397
event_time::1,0.037942,0.001003,37.82,0,pct_asian_tract_year,1976084,0.5588,64291,690045,340992,117397
