term,estimate,std_error,t_value,p_value,spec,n,r2
event_time::-3,0.174054,0.112353,1.55,0.1213,violations_corp,2690853,0.2394
event_time::-2,0.242913,0.101372,2.4,0.0166,violations_corp,2690853,0.2394
event_time::0,0.510888,0.134947,3.79,2e-04,violations_corp,2690853,0.2394
event_time::1,0.463382,0.099605,4.65,0,violations_corp,2690853,0.2394
event_time::2,0.206156,0.113899,1.81,0.0703,violations_corp,2690853,0.2394
event_time::3,0.194184,0.116383,1.67,0.0952,violations_corp,2690853,0.2394
event_time::4,0.073881,0.095934,0.77,0.4412,violations_corp,2690853,0.2394
event_time::5,-0.045772,0.159188,-0.29,0.7737,violations_corp,2690853,0.2394
event_time::-3,0.028947,0.008849,3.27,0.0011,violations_indiv,3534401,0.2181
event_time::-2,0.096442,0.016584,5.82,0,violations_indiv,3534401,0.2181
event_time::0,0.132605,0.016835,7.88,0,violations_indiv,3534401,0.2181
event_time::1,0.032895,0.019054,1.73,0.0843,violations_indiv,3534401,0.2181
event_time::2,-0.020532,0.02214,-0.93,0.3537,violations_indiv,3534401,0.2181
event_time::3,-0.037801,0.017864,-2.12,0.0343,violations_indiv,3534401,0.2181
event_time::4,0.008645,0.022873,0.38,0.7055,violations_indiv,3534401,0.2181
event_time::5,0.014098,0.022325,0.63,0.5277,violations_indiv,3534401,0.2181
event_time::-3,0.024841,0.002347,10.59,0,violations_rate,4338531,0.1256
event_time::-2,0.063274,0.002686,23.56,0,violations_rate,4338531,0.1256
event_time::0,0.132489,0.003109,42.62,0,violations_rate,4338531,0.1256
event_time::1,0.067233,0.002695,24.95,0,violations_rate,4338531,0.1256
event_time::2,0.019818,0.002477,8,0,violations_rate,4338531,0.1256
event_time::3,0.000514,0.002393,0.21,0.8301,violations_rate,4338531,0.1256
event_time::4,-0.001655,0.002317,-0.71,0.475,violations_rate,4338531,0.1256
event_time::5,-0.004869,0.002332,-2.09,0.0368,violations_rate,4338531,0.1256
