term,estimate,std_error,t_value,p_value,spec,n,r2
q_relative::-12,-0.002447,0.002646,-0.92,0.3551,full_highfiler_portfolio,96454,0.1168
q_relative::-11,0.000682,0.002565,0.27,0.7903,full_highfiler_portfolio,96454,0.1168
q_relative::-10,-0.004201,0.002568,-1.64,0.1019,full_highfiler_portfolio,96454,0.1168
q_relative::-9,-0.00382,0.00251,-1.52,0.1281,full_highfiler_portfolio,96454,0.1168
q_relative::-8,-0.001813,0.002603,-0.7,0.4862,full_highfiler_portfolio,96454,0.1168
q_relative::-7,-0.000557,0.002535,-0.22,0.826,full_highfiler_portfolio,96454,0.1168
q_relative::-6,-0.00593,0.002241,-2.65,0.0082,full_highfiler_portfolio,96454,0.1168
q_relative::-5,-0.000641,0.002262,-0.28,0.777,full_highfiler_portfolio,96454,0.1168
q_relative::-3,-0.004585,0.002371,-1.93,0.0532,full_highfiler_portfolio,96454,0.1168
q_relative::-2,-0.004157,0.002266,-1.83,0.0667,full_highfiler_portfolio,96454,0.1168
q_relative::-1,-0.005271,0.002442,-2.16,0.031,full_highfiler_portfolio,96454,0.1168
q_relative::0,-0.003671,0.002814,-1.3,0.1922,full_highfiler_portfolio,96454,0.1168
q_relative::1,-0.001284,0.002937,-0.44,0.662,full_highfiler_portfolio,96454,0.1168
q_relative::2,-0.001125,0.002563,-0.44,0.6606,full_highfiler_portfolio,96454,0.1168
q_relative::3,-0.003889,0.002523,-1.54,0.1234,full_highfiler_portfolio,96454,0.1168
q_relative::4,0.000935,0.002874,0.33,0.745,full_highfiler_portfolio,96454,0.1168
q_relative::5,0.004258,0.002955,1.44,0.1496,full_highfiler_portfolio,96454,0.1168
q_relative::6,0.003273,0.003038,1.08,0.2814,full_highfiler_portfolio,96454,0.1168
q_relative::7,0.001079,0.003022,0.36,0.721,full_highfiler_portfolio,96454,0.1168
q_relative::8,-0.000303,0.003059,-0.1,0.9211,full_highfiler_portfolio,96454,0.1168
q_relative::9,0.00423,0.003346,1.26,0.2063,full_highfiler_portfolio,96454,0.1168
q_relative::10,0.002647,0.003445,0.77,0.4423,full_highfiler_portfolio,96454,0.1168
q_relative::11,0.001565,0.003495,0.45,0.6544,full_highfiler_portfolio,96454,0.1168
q_relative::12,0.003051,0.003703,0.82,0.4099,full_highfiler_portfolio,96454,0.1168
q_relative::13,0.00064,0.003529,0.18,0.8562,full_highfiler_portfolio,96454,0.1168
q_relative::14,0.00049,0.003998,0.12,0.9025,full_highfiler_portfolio,96454,0.1168
q_relative::15,0.000869,0.004232,0.21,0.8373,full_highfiler_portfolio,96454,0.1168
q_relative::16,0.002358,0.003963,0.59,0.5519,full_highfiler_portfolio,96454,0.1168
q_relative::17,0.001393,0.004016,0.35,0.7287,full_highfiler_portfolio,96454,0.1168
q_relative::18,-0.000404,0.004223,-0.1,0.9237,full_highfiler_portfolio,96454,0.1168
q_relative::19,-0.004352,0.004017,-1.08,0.2788,full_highfiler_portfolio,96454,0.1168
q_relative::20,-0.000888,0.004353,-0.2,0.8384,full_highfiler_portfolio,96454,0.1168
q_relative::-12,0.001935,0.002247,0.86,0.3891,full_lowfiler_portfolio,92635,0.0437
q_relative::-11,0.00504,0.002167,2.33,0.0201,full_lowfiler_portfolio,92635,0.0437
q_relative::-10,0.001143,0.001999,0.57,0.5676,full_lowfiler_portfolio,92635,0.0437
q_relative::-9,0.001066,0.001897,0.56,0.5743,full_lowfiler_portfolio,92635,0.0437
q_relative::-8,0.0024,0.001808,1.33,0.1844,full_lowfiler_portfolio,92635,0.0437
q_relative::-7,0.000754,0.00183,0.41,0.6802,full_lowfiler_portfolio,92635,0.0437
q_relative::-6,-0.000415,0.001733,-0.24,0.8108,full_lowfiler_portfolio,92635,0.0437
q_relative::-5,-0.00166,0.001575,-1.05,0.2921,full_lowfiler_portfolio,92635,0.0437
q_relative::-3,-0.001652,0.001736,-0.95,0.3414,full_lowfiler_portfolio,92635,0.0437
q_relative::-2,-0.00101,0.001752,-0.58,0.5645,full_lowfiler_portfolio,92635,0.0437
q_relative::-1,-0.001896,0.001895,-1,0.3172,full_lowfiler_portfolio,92635,0.0437
q_relative::0,-0.00212,0.002018,-1.05,0.2934,full_lowfiler_portfolio,92635,0.0437
q_relative::1,-0.000821,0.002108,-0.39,0.6971,full_lowfiler_portfolio,92635,0.0437
q_relative::2,0.000297,0.002259,0.13,0.8955,full_lowfiler_portfolio,92635,0.0437
q_relative::3,0.001918,0.002218,0.86,0.3874,full_lowfiler_portfolio,92635,0.0437
q_relative::4,0.001157,0.002493,0.46,0.6425,full_lowfiler_portfolio,92635,0.0437
q_relative::5,0.004823,0.002734,1.76,0.0779,full_lowfiler_portfolio,92635,0.0437
