term,estimate,std_error,t_value,p_value,spec,n,r2
q_relative::-12,-0.002122,0.000365,-5.82,0,full,5743030,0.0832
q_relative::-11,-0.002233,0.000365,-6.11,0,full,5743030,0.0832
q_relative::-10,-0.002111,0.000369,-5.72,0,full,5743030,0.0832
q_relative::-9,-0.001831,0.000366,-5,0,full,5743030,0.0832
q_relative::-8,-0.002421,0.000363,-6.67,0,full,5743030,0.0832
q_relative::-7,-0.002186,0.000359,-6.08,0,full,5743030,0.0832
q_relative::-6,-0.001733,0.000363,-4.77,0,full,5743030,0.0832
q_relative::-5,-0.001194,0.000363,-3.29,0.001,full,5743030,0.0832
q_relative::-3,0.000465,0.000375,1.24,0.2156,full,5743030,0.0832
q_relative::-2,0.00182,0.000385,4.73,0,full,5743030,0.0832
q_relative::-1,-0.002125,0.000355,-5.99,0,full,5743030,0.0832
q_relative::0,-0.005105,0.000336,-15.19,0,full,5743030,0.0832
q_relative::1,-0.003325,0.000364,-9.14,0,full,5743030,0.0832
q_relative::2,-0.001573,0.000369,-4.26,0,full,5743030,0.0832
q_relative::3,0.000753,0.000384,1.96,0.0497,full,5743030,0.0832
q_relative::4,0.001953,0.00039,5,0,full,5743030,0.0832
q_relative::5,0.00214,0.000397,5.39,0,full,5743030,0.0832
q_relative::6,0.002568,0.000396,6.48,0,full,5743030,0.0832
q_relative::7,0.002749,0.000407,6.76,0,full,5743030,0.0832
q_relative::8,0.003048,0.000411,7.42,0,full,5743030,0.0832
q_relative::9,0.002667,0.000406,6.56,0,full,5743030,0.0832
q_relative::10,0.002853,0.000399,7.15,0,full,5743030,0.0832
q_relative::11,0.003308,0.000406,8.15,0,full,5743030,0.0832
q_relative::12,0.002133,0.000402,5.3,0,full,5743030,0.0832
q_relative::13,0.002269,0.000404,5.62,0,full,5743030,0.0832
q_relative::14,0.002019,0.000415,4.86,0,full,5743030,0.0832
q_relative::15,0.001776,4e-04,4.44,0,full,5743030,0.0832
q_relative::16,0.002001,0.000404,4.95,0,full,5743030,0.0832
q_relative::17,0.002039,0.000401,5.09,0,full,5743030,0.0832
q_relative::18,0.001147,0.000399,2.88,0.004,full,5743030,0.0832
q_relative::19,0.001694,0.000412,4.12,0,full,5743030,0.0832
q_relative::20,0.001936,0.000411,4.71,0,full,5743030,0.0832
q_relative::-12,-5.5e-05,0.000596,-0.09,0.9268,2plus,1083736,0.0785
q_relative::-11,0.000353,0.000589,0.6,0.5491,2plus,1083736,0.0785
q_relative::-10,-0.000852,0.000576,-1.48,0.139,2plus,1083736,0.0785
q_relative::-9,-0.0012,0.000566,-2.12,0.034,2plus,1083736,0.0785
q_relative::-8,-0.000582,0.000576,-1.01,0.3124,2plus,1083736,0.0785
q_relative::-7,-0.000814,0.00058,-1.4,0.1606,2plus,1083736,0.0785
q_relative::-6,-0.00094,0.000568,-1.65,0.0981,2plus,1083736,0.0785
q_relative::-5,-0.000747,0.000564,-1.32,0.1853,2plus,1083736,0.0785
q_relative::-3,-2.4e-05,0.000578,-0.04,0.9672,2plus,1083736,0.0785
q_relative::-2,0.000641,0.000589,1.09,0.2767,2plus,1083736,0.0785
q_relative::-1,-0.001125,0.000571,-1.97,0.0487,2plus,1083736,0.0785
q_relative::0,-0.001765,0.000587,-3.01,0.0026,2plus,1083736,0.0785
q_relative::1,-1.7e-05,0.000615,-0.03,0.9783,2plus,1083736,0.0785
q_relative::2,-0.000129,0.000586,-0.22,0.8256,2plus,1083736,0.0785
q_relative::3,0.000957,0.000594,1.61,0.1068,2plus,1083736,0.0785
q_relative::4,0.001651,0.000607,2.72,0.0066,2plus,1083736,0.0785
q_relative::5,0.001716,0.000611,2.81,0.005,2plus,1083736,0.0785
q_relative::6,0.002056,0.000605,3.4,7e-04,2plus,1083736,0.0785
q_relative::7,0.00185,0.000602,3.07,0.0021,2plus,1083736,0.0785
q_relative::8,0.001254,0.000602,2.08,0.0371,2plus,1083736,0.0785
q_relative::9,0.001506,0.000619,2.43,0.015,2plus,1083736,0.0785
q_relative::10,0.002503,0.000614,4.08,0,2plus,1083736,0.0785
q_relative::11,0.001854,0.000617,3.01,0.0026,2plus,1083736,0.0785
q_relative::12,0.001339,0.000623,2.15,0.0316,2plus,1083736,0.0785
q_relative::13,0.001529,0.000617,2.48,0.0132,2plus,1083736,0.0785
q_relative::14,0.001354,0.000616,2.2,0.0279,2plus,1083736,0.0785
q_relative::15,0.001782,0.00062,2.88,0.004,2plus,1083736,0.0785
q_relative::16,0.001736,0.000622,2.79,0.0052,2plus,1083736,0.0785
q_relative::17,0.002589,0.000643,4.03,1e-04,2plus,1083736,0.0785
q_relative::18,0.001619,0.000617,2.62,0.0087,2plus,1083736,0.0785
q_relative::19,0.001346,0.000618,2.18,0.0295,2plus,1083736,0.0785
q_relative::20,0.00134,0.000617,2.17,0.0299,2plus,1083736,0.0785
q_relative::-12,-0.000609,0.00136,-0.45,0.6546,5plus,86072,0.3007
q_relative::-11,0.001424,0.001337,1.07,0.2869,5plus,86072,0.3007
q_relative::-10,-0.001279,0.001218,-1.05,0.294,5plus,86072,0.3007
q_relative::-9,0.000345,0.00132,0.26,0.7939,5plus,86072,0.3007
q_relative::-8,0.000259,0.00135,0.19,0.8479,5plus,86072,0.3007
q_relative::-7,0.00099,0.001206,0.82,0.4119,5plus,86072,0.3007
q_relative::-6,-0.001696,0.001347,-1.26,0.2081,5plus,86072,0.3007
q_relative::-5,-0.00066,0.001281,-0.52,0.6065,5plus,86072,0.3007
q_relative::-3,-0.000451,0.001418,-0.32,0.7503,5plus,86072,0.3007
q_relative::-2,-0.000838,0.001415,-0.59,0.554,5plus,86072,0.3007
q_relative::-1,-0.001053,0.001449,-0.73,0.4677,5plus,86072,0.3007
q_relative::0,-0.002123,0.001373,-1.55,0.1221,5plus,86072,0.3007
q_relative::1,0.002084,0.00165,1.26,0.2068,5plus,86072,0.3007
q_relative::2,0.001486,0.001446,1.03,0.3042,5plus,86072,0.3007
q_relative::3,0.001034,0.001446,0.72,0.4747,5plus,86072,0.3007
q_relative::4,0.002647,0.001439,1.84,0.0659,5plus,86072,0.3007
q_relative::5,0.001923,0.00145,1.33,0.1848,5plus,86072,0.3007
q_relative::6,0.001766,0.001427,1.24,0.2161,5plus,86072,0.3007
q_relative::7,0.002786,0.001528,1.82,0.0683,5plus,86072,0.3007
q_relative::8,0.00229,0.001593,1.44,0.1506,5plus,86072,0.3007
q_relative::9,0.002772,0.001631,1.7,0.0892,5plus,86072,0.3007
q_relative::10,0.001969,0.001629,1.21,0.227,5plus,86072,0.3007
q_relative::11,0.003739,0.001883,1.99,0.0472,5plus,86072,0.3007
q_relative::12,0.00191,0.001785,1.07,0.2847,5plus,86072,0.3007
q_relative::13,0.001834,0.001624,1.13,0.259,5plus,86072,0.3007
q_relative::14,0.003545,0.00177,2,0.0453,5plus,86072,0.3007
q_relative::15,0.002984,0.001657,1.8,0.0719,5plus,86072,0.3007
q_relative::16,0.002322,0.001612,1.44,0.1498,5plus,86072,0.3007
q_relative::17,0.002888,0.001644,1.76,0.0791,5plus,86072,0.3007
q_relative::18,0.003105,0.001692,1.83,0.0666,5plus,86072,0.3007
q_relative::19,0.001631,0.00171,0.95,0.34,5plus,86072,0.3007
q_relative::20,0.001588,0.001659,0.96,0.3384,5plus,86072,0.3007
q_relative::-12,-0.002075,0.001068,-1.94,0.052,2plus_rental_pre,453155,0.0784
q_relative::-11,-0.001345,0.001047,-1.28,0.199,2plus_rental_pre,453155,0.0784
q_relative::-10,-0.003077,0.001027,-3,0.0027,2plus_rental_pre,453155,0.0784
q_relative::-9,-0.003253,0.001009,-3.22,0.0013,2plus_rental_pre,453155,0.0784
q_relative::-8,-0.002291,0.001028,-2.23,0.0259,2plus_rental_pre,453155,0.0784
q_relative::-7,-0.002436,0.001052,-2.32,0.0206,2plus_rental_pre,453155,0.0784
q_relative::-6,-0.002263,0.001032,-2.19,0.0283,2plus_rental_pre,453155,0.0784
q_relative::-5,-0.001713,0.001024,-1.67,0.0944,2plus_rental_pre,453155,0.0784
q_relative::-3,-0.000304,0.001063,-0.29,0.7749,2plus_rental_pre,453155,0.0784
q_relative::-2,0.001582,0.001093,1.45,0.1476,2plus_rental_pre,453155,0.0784
q_relative::-1,-0.001592,0.001063,-1.5,0.1341,2plus_rental_pre,453155,0.0784
q_relative::0,-0.003116,0.001104,-2.82,0.0048,2plus_rental_pre,453155,0.0784
q_relative::1,-0.001356,0.001144,-1.19,0.2358,2plus_rental_pre,453155,0.0784
q_relative::2,-0.002124,0.001082,-1.96,0.0496,2plus_rental_pre,453155,0.0784
q_relative::3,-0.002775,0.001069,-2.6,0.0094,2plus_rental_pre,453155,0.0784
q_relative::4,-0.00142,0.001119,-1.27,0.2047,2plus_rental_pre,453155,0.0784
q_relative::5,-0.002668,0.0011,-2.43,0.0153,2plus_rental_pre,453155,0.0784
