term,estimate,std_error,t_value,p_value,spec,n,r2
q_relative::-12,0.001066,0.001032,1.03,0.3015,corporate,383979,0.109
q_relative::-11,0.002015,0.001035,1.95,0.0517,corporate,383979,0.109
q_relative::-10,-0.00088,0.001004,-0.88,0.3806,corporate,383979,0.109
q_relative::-9,-0.000519,0.000982,-0.53,0.5969,corporate,383979,0.109
q_relative::-8,-0.000182,0.001013,-0.18,0.8573,corporate,383979,0.109
q_relative::-7,3.9e-05,0.001015,0.04,0.969,corporate,383979,0.109
q_relative::-6,-0.002458,0.000916,-2.68,0.0073,corporate,383979,0.109
q_relative::-5,-0.001399,0.000897,-1.56,0.1189,corporate,383979,0.109
q_relative::-3,-0.001433,0.000939,-1.53,0.1271,corporate,383979,0.109
q_relative::-2,-0.001185,0.000951,-1.25,0.2129,corporate,383979,0.109
q_relative::-1,-0.002462,0.000947,-2.6,0.0093,corporate,383979,0.109
q_relative::0,-0.002057,0.001058,-1.95,0.0518,corporate,383979,0.109
q_relative::1,0.001453,0.001119,1.3,0.1942,corporate,383979,0.109
q_relative::2,6.5e-05,0.001006,0.06,0.9483,corporate,383979,0.109
q_relative::3,0.001434,0.001052,1.36,0.173,corporate,383979,0.109
q_relative::4,0.001463,0.001071,1.37,0.1717,corporate,383979,0.109
q_relative::5,0.003315,0.001134,2.92,0.0035,corporate,383979,0.109
q_relative::6,0.003532,0.001136,3.11,0.0019,corporate,383979,0.109
q_relative::7,0.002507,0.001095,2.29,0.0221,corporate,383979,0.109
q_relative::8,0.00323,0.001144,2.82,0.0048,corporate,383979,0.109
q_relative::9,0.003287,0.001176,2.8,0.0052,corporate,383979,0.109
q_relative::10,0.004894,0.001191,4.11,0,corporate,383979,0.109
q_relative::11,0.003814,0.001183,3.22,0.0013,corporate,383979,0.109
q_relative::12,0.002192,0.001205,1.82,0.069,corporate,383979,0.109
q_relative::13,0.003519,0.001207,2.91,0.0036,corporate,383979,0.109
q_relative::14,0.001819,0.001208,1.51,0.1323,corporate,383979,0.109
q_relative::15,0.002654,0.001218,2.18,0.0294,corporate,383979,0.109
q_relative::16,0.002484,0.001221,2.03,0.042,corporate,383979,0.109
q_relative::17,0.00406,0.001315,3.09,0.002,corporate,383979,0.109
q_relative::18,0.003049,0.001249,2.44,0.0146,corporate,383979,0.109
q_relative::19,0.002615,0.001322,1.98,0.0478,corporate,383979,0.109
q_relative::20,0.001879,0.001283,1.46,0.1431,corporate,383979,0.109
q_relative::-12,-0.000726,0.000728,-1,0.3188,individual,699527,0.0564
q_relative::-11,-0.000717,0.000707,-1.01,0.3102,individual,699527,0.0564
q_relative::-10,-0.000706,0.000705,-1,0.3169,individual,699527,0.0564
q_relative::-9,-0.001608,0.000696,-2.31,0.0208,individual,699527,0.0564
q_relative::-8,-0.000809,0.000697,-1.16,0.2458,individual,699527,0.0564
q_relative::-7,-0.001413,0.000694,-2.04,0.0418,individual,699527,0.0564
q_relative::-6,0.000104,0.000735,0.14,0.8872,individual,699527,0.0564
q_relative::-5,-3e-04,0.000725,-0.41,0.6794,individual,699527,0.0564
q_relative::-3,0.000867,0.000731,1.19,0.2352,individual,699527,0.0564
q_relative::-2,0.001755,0.00076,2.31,0.021,individual,699527,0.0564
