q_relative,n_obs,n_pids,pct_units_observed,mean_units,pct_rental_pre,pct_rental_post_only,pct_corporate,pct_large
-12,627233,340353,26.1,1.5,14.9,18.5,24.3,0.5
-11,621837,338226,26.3,1.5,14.8,18.6,24.2,0.5
-10,614986,335582,26.6,1.5,14.7,18.7,24.2,0.5
-9,606472,332533,26.9,1.5,14.5,18.9,24.1,0.5
-8,599150,329936,27.1,1.5,14.4,18.9,24,0.5
-7,591037,327010,27.4,1.5,14.3,19,23.9,0.4
-6,582934,324143,27.8,1.5,14.1,19.1,23.9,0.4
-5,574087,321068,28.3,1.5,13.9,19.3,23.8,0.4
-4,567245,318798,28.8,1.5,13.8,19.3,23.8,0.4
-3,559644,316022,29.4,1.5,13.6,19.4,23.8,0.5
-2,551933,313486,30.1,1.5,13.5,19.5,23.8,0.5
-1,547279,311868,31,1.5,13.4,19.6,23.7,0.5
0,540590,309367,31.7,1.5,13.3,19.6,23.6,0.5
1,533016,306443,32.5,1.5,13.1,19.6,23.5,0.5
2,524525,302988,33.4,1.5,12.9,19.7,23.3,0.5
3,515973,299622,34.4,1.5,12.7,19.9,23.2,0.5
4,508664,296408,35.1,1.5,12.6,19.8,22.9,0.5
5,500827,293052,36,1.5,12.4,19.9,22.8,0.5
6,492035,289144,36.9,1.5,12.2,19.9,22.6,0.5
7,482638,285175,37.7,1.5,11.9,20.1,22.4,0.5
8,475291,282020,38.4,1.5,11.8,20,22.2,0.6
9,467106,278394,39.2,1.5,11.7,20,22,0.6
10,458460,274649,39.9,1.5,11.4,20.1,21.8,0.6
11,449618,271166,40.6,1.5,11,20.3,21.6,0.6
12,442155,267926,41.2,1.5,10.9,20.2,21.2,0.6
13,434616,264690,41.9,1.5,10.7,20.2,21,0.6
14,426737,261400,42.6,1.5,10.5,20.3,20.8,0.6
15,418163,257756,43.3,1.5,10.1,20.4,20.5,0.6
16,411398,254719,43.9,1.5,10,20.3,20.3,0.6
17,404766,251587,44.5,1.5,9.8,20.3,20,0.6
18,398267,248653,45.2,1.5,9.5,20.4,19.9,0.6
19,391670,245710,45.9,1.5,9.2,20.5,19.8,0.6
20,386771,243393,46.5,1.5,9.1,20.4,19.7,0.6
