term,estimate,std_error,t_value,p_value,spec,n,r2
q_relative::-12,-0.001294,0.00349,-0.37,0.711,corp_highfiler_portfolio,58927,0.1435
q_relative::-11,0.000753,0.00339,0.22,0.8242,corp_highfiler_portfolio,58927,0.1435
q_relative::-10,-0.004082,0.00347,-1.18,0.2396,corp_highfiler_portfolio,58927,0.1435
q_relative::-9,-0.002281,0.003498,-0.65,0.5145,corp_highfiler_portfolio,58927,0.1435
q_relative::-8,6e-05,0.003665,0.02,0.9868,corp_highfiler_portfolio,58927,0.1435
q_relative::-7,0.001411,0.003524,0.4,0.6889,corp_highfiler_portfolio,58927,0.1435
q_relative::-6,-0.006405,0.002919,-2.19,0.0283,corp_highfiler_portfolio,58927,0.1435
q_relative::-5,-0.001505,0.003006,-0.5,0.6166,corp_highfiler_portfolio,58927,0.1435
q_relative::-3,-0.007241,0.003047,-2.38,0.0176,corp_highfiler_portfolio,58927,0.1435
q_relative::-2,-0.006007,0.00298,-2.02,0.0439,corp_highfiler_portfolio,58927,0.1435
q_relative::-1,-0.007326,0.00331,-2.21,0.027,corp_highfiler_portfolio,58927,0.1435
q_relative::0,-0.00447,0.003909,-1.14,0.2529,corp_highfiler_portfolio,58927,0.1435
q_relative::1,-0.002827,0.004053,-0.7,0.4855,corp_highfiler_portfolio,58927,0.1435
q_relative::2,-0.001874,0.00344,-0.54,0.586,corp_highfiler_portfolio,58927,0.1435
q_relative::3,-0.005695,0.003345,-1.7,0.0888,corp_highfiler_portfolio,58927,0.1435
q_relative::4,-0.001433,0.003773,-0.38,0.7041,corp_highfiler_portfolio,58927,0.1435
q_relative::5,0.003772,0.003987,0.95,0.3442,corp_highfiler_portfolio,58927,0.1435
q_relative::6,0.001527,0.004023,0.38,0.7044,corp_highfiler_portfolio,58927,0.1435
q_relative::7,-0.002889,0.004052,-0.71,0.4759,corp_highfiler_portfolio,58927,0.1435
q_relative::8,-0.002172,0.004132,-0.53,0.5991,corp_highfiler_portfolio,58927,0.1435
q_relative::9,0.001976,0.004661,0.42,0.6717,corp_highfiler_portfolio,58927,0.1435
q_relative::10,0.002344,0.004576,0.51,0.6086,corp_highfiler_portfolio,58927,0.1435
q_relative::11,-0.004024,0.004611,-0.87,0.3829,corp_highfiler_portfolio,58927,0.1435
q_relative::12,-0.001349,0.00496,-0.27,0.7857,corp_highfiler_portfolio,58927,0.1435
q_relative::13,-0.003073,0.004692,-0.65,0.5126,corp_highfiler_portfolio,58927,0.1435
q_relative::14,-0.001386,0.005102,-0.27,0.7858,corp_highfiler_portfolio,58927,0.1435
q_relative::15,-0.003467,0.00565,-0.61,0.5395,corp_highfiler_portfolio,58927,0.1435
q_relative::16,-0.0033,0.005347,-0.62,0.5372,corp_highfiler_portfolio,58927,0.1435
q_relative::17,-0.005668,0.005213,-1.09,0.277,corp_highfiler_portfolio,58927,0.1435
q_relative::18,-0.005056,0.005624,-0.9,0.3687,corp_highfiler_portfolio,58927,0.1435
q_relative::19,-0.009272,0.005277,-1.76,0.0791,corp_highfiler_portfolio,58927,0.1435
q_relative::20,-0.006891,0.005871,-1.17,0.2406,corp_highfiler_portfolio,58927,0.1435
q_relative::-12,-0.004589,0.003847,-1.19,0.233,indiv_highfiler_portfolio,37527,0.0496
q_relative::-11,0.000519,0.003683,0.14,0.8881,indiv_highfiler_portfolio,37527,0.0496
q_relative::-10,-0.00469,0.00365,-1.29,0.199,indiv_highfiler_portfolio,37527,0.0496
q_relative::-9,-0.006848,0.003326,-2.06,0.0397,indiv_highfiler_portfolio,37527,0.0496
q_relative::-8,-0.005097,0.003269,-1.56,0.1192,indiv_highfiler_portfolio,37527,0.0496
q_relative::-7,-0.003858,0.003533,-1.09,0.275,indiv_highfiler_portfolio,37527,0.0496
q_relative::-6,-0.005259,0.003458,-1.52,0.1285,indiv_highfiler_portfolio,37527,0.0496
q_relative::-5,0.000928,0.003403,0.27,0.785,indiv_highfiler_portfolio,37527,0.0496
q_relative::-3,-0.000355,0.003753,-0.09,0.9246,indiv_highfiler_portfolio,37527,0.0496
q_relative::-2,-0.001016,0.003506,-0.29,0.7721,indiv_highfiler_portfolio,37527,0.0496
q_relative::-1,-0.001989,0.003408,-0.58,0.5596,indiv_highfiler_portfolio,37527,0.0496
q_relative::0,-0.002199,0.003819,-0.58,0.5649,indiv_highfiler_portfolio,37527,0.0496
q_relative::1,0.001289,0.004053,0.32,0.7505,indiv_highfiler_portfolio,37527,0.0496
q_relative::2,0.000383,0.00366,0.1,0.9167,indiv_highfiler_portfolio,37527,0.0496
q_relative::3,-0.000569,0.003841,-0.15,0.8822,indiv_highfiler_portfolio,37527,0.0496
q_relative::4,0.004974,0.004244,1.17,0.2414,indiv_highfiler_portfolio,37527,0.0496
q_relative::5,0.005719,0.004242,1.35,0.1777,indiv_highfiler_portfolio,37527,0.0496
q_relative::6,0.006252,0.004322,1.45,0.1482,indiv_highfiler_portfolio,37527,0.0496
q_relative::7,0.007358,0.004444,1.66,0.098,indiv_highfiler_portfolio,37527,0.0496
q_relative::8,0.002904,0.004236,0.69,0.4931,indiv_highfiler_portfolio,37527,0.0496
q_relative::9,0.007837,0.004496,1.74,0.0815,indiv_highfiler_portfolio,37527,0.0496
q_relative::10,0.003413,0.004679,0.73,0.4658,indiv_highfiler_portfolio,37527,0.0496
q_relative::11,0.009912,0.005085,1.95,0.0515,indiv_highfiler_portfolio,37527,0.0496
q_relative::12,0.009909,0.004996,1.98,0.0475,indiv_highfiler_portfolio,37527,0.0496
q_relative::13,0.006234,0.005112,1.22,0.2228,indiv_highfiler_portfolio,37527,0.0496
q_relative::14,0.003422,0.004966,0.69,0.4909,indiv_highfiler_portfolio,37527,0.0496
q_relative::15,0.007294,0.005198,1.4,0.1608,indiv_highfiler_portfolio,37527,0.0496
q_relative::16,0.010636,0.005389,1.97,0.0486,indiv_highfiler_portfolio,37527,0.0496
q_relative::17,0.011289,0.00572,1.97,0.0486,indiv_highfiler_portfolio,37527,0.0496
q_relative::18,0.006139,0.005147,1.19,0.2332,indiv_highfiler_portfolio,37527,0.0496
q_relative::19,0.002192,0.005308,0.41,0.6797,indiv_highfiler_portfolio,37527,0.0496
q_relative::20,0.007125,0.005743,1.24,0.2149,indiv_highfiler_portfolio,37527,0.0496
q_relative::-12,0.00109,0.002513,0.43,0.6644,corp_lowfiler_portfolio,66069,0.0467
q_relative::-11,0.005148,0.002522,2.04,0.0413,corp_lowfiler_portfolio,66069,0.0467
q_relative::-10,0.000888,0.002415,0.37,0.7132,corp_lowfiler_portfolio,66069,0.0467
q_relative::-9,0.000665,0.002254,0.29,0.768,corp_lowfiler_portfolio,66069,0.0467
q_relative::-8,0.000812,0.0022,0.37,0.7121,corp_lowfiler_portfolio,66069,0.0467
q_relative::-7,0.000822,0.002345,0.35,0.7259,corp_lowfiler_portfolio,66069,0.0467
q_relative::-6,-0.002283,0.002139,-1.07,0.2859,corp_lowfiler_portfolio,66069,0.0467
q_relative::-5,-0.003285,0.001944,-1.69,0.0911,corp_lowfiler_portfolio,66069,0.0467
q_relative::-3,-0.003261,0.002208,-1.48,0.1398,corp_lowfiler_portfolio,66069,0.0467
q_relative::-2,-0.00327,0.002179,-1.5,0.1335,corp_lowfiler_portfolio,66069,0.0467
q_relative::-1,-0.005475,0.002119,-2.58,0.0098,corp_lowfiler_portfolio,66069,0.0467
q_relative::0,-0.004817,0.002406,-2,0.0454,corp_lowfiler_portfolio,66069,0.0467
q_relative::1,-0.000777,0.002672,-0.29,0.7713,corp_lowfiler_portfolio,66069,0.0467
q_relative::2,-0.001904,0.002754,-0.69,0.4894,corp_lowfiler_portfolio,66069,0.0467
q_relative::3,0.000121,0.002588,0.05,0.9627,corp_lowfiler_portfolio,66069,0.0467
q_relative::4,-0.001253,0.002933,-0.43,0.6693,corp_lowfiler_portfolio,66069,0.0467
q_relative::5,0.002978,0.00323,0.92,0.3566,corp_lowfiler_portfolio,66069,0.0467
q_relative::6,0.002442,0.003081,0.79,0.428,corp_lowfiler_portfolio,66069,0.0467
q_relative::7,0.002964,0.003521,0.84,0.3999,corp_lowfiler_portfolio,66069,0.0467
q_relative::8,0.003899,0.0037,1.05,0.2921,corp_lowfiler_portfolio,66069,0.0467
q_relative::9,0.001654,0.003692,0.45,0.6542,corp_lowfiler_portfolio,66069,0.0467
q_relative::10,0.003383,0.003748,0.9,0.3668,corp_lowfiler_portfolio,66069,0.0467
q_relative::11,-0.001691,0.003524,-0.48,0.6313,corp_lowfiler_portfolio,66069,0.0467
q_relative::12,-0.002259,0.003863,-0.58,0.5588,corp_lowfiler_portfolio,66069,0.0467
q_relative::13,8.3e-05,0.004238,0.02,0.9843,corp_lowfiler_portfolio,66069,0.0467
q_relative::14,0.000363,0.004304,0.08,0.9327,corp_lowfiler_portfolio,66069,0.0467
q_relative::15,-0.000914,0.004425,-0.21,0.8364,corp_lowfiler_portfolio,66069,0.0467
q_relative::16,-0.002231,0.004567,-0.49,0.6253,corp_lowfiler_portfolio,66069,0.0467
q_relative::17,-1.4e-05,0.004739,0,0.9976,corp_lowfiler_portfolio,66069,0.0467
q_relative::18,-0.003213,0.004723,-0.68,0.4963,corp_lowfiler_portfolio,66069,0.0467
q_relative::19,-0.005054,0.004822,-1.05,0.2947,corp_lowfiler_portfolio,66069,0.0467
q_relative::20,-0.007463,0.005049,-1.48,0.1395,corp_lowfiler_portfolio,66069,0.0467
q_relative::-12,0.012253,0.004363,2.81,0.0051,indiv_lowfiler_portfolio,26563,0.0334
q_relative::-11,0.012242,0.004411,2.78,0.0056,indiv_lowfiler_portfolio,26563,0.0334
q_relative::-10,0.008335,0.00362,2.3,0.0215,indiv_lowfiler_portfolio,26563,0.0334
q_relative::-9,0.007726,0.003301,2.34,0.0194,indiv_lowfiler_portfolio,26563,0.0334
q_relative::-8,0.010826,0.003139,3.45,6e-04,indiv_lowfiler_portfolio,26563,0.0334
q_relative::-7,0.003735,0.002707,1.38,0.1678,indiv_lowfiler_portfolio,26563,0.0334
q_relative::-6,0.006384,0.003172,2.01,0.0444,indiv_lowfiler_portfolio,26563,0.0334
q_relative::-5,0.003293,0.002525,1.3,0.1924,indiv_lowfiler_portfolio,26563,0.0334
q_relative::-3,0.001366,0.002649,0.52,0.6062,indiv_lowfiler_portfolio,26563,0.0334
q_relative::-2,0.002269,0.002995,0.76,0.4488,indiv_lowfiler_portfolio,26563,0.0334
q_relative::-1,0.003427,0.003816,0.9,0.3693,indiv_lowfiler_portfolio,26563,0.0334
q_relative::0,0.000227,0.003828,0.06,0.9527,indiv_lowfiler_portfolio,26563,0.0334
q_relative::1,-0.006588,0.003396,-1.94,0.0526,indiv_lowfiler_portfolio,26563,0.0334
q_relative::2,-0.001515,0.00408,-0.37,0.7105,indiv_lowfiler_portfolio,26563,0.0334
q_relative::3,-0.001344,0.004248,-0.32,0.7518,indiv_lowfiler_portfolio,26563,0.0334
q_relative::4,-0.001639,0.005178,-0.32,0.7517,indiv_lowfiler_portfolio,26563,0.0334
q_relative::5,-0.000742,0.005122,-0.14,0.8848,indiv_lowfiler_portfolio,26563,0.0334
q_relative::6,-0.004576,0.005581,-0.82,0.4124,indiv_lowfiler_portfolio,26563,0.0334
q_relative::7,-0.003412,0.006379,-0.53,0.5928,indiv_lowfiler_portfolio,26563,0.0334
q_relative::8,0.000793,0.007035,0.11,0.9103,indiv_lowfiler_portfolio,26563,0.0334
q_relative::9,-0.008931,0.007115,-1.26,0.2097,indiv_lowfiler_portfolio,26563,0.0334
q_relative::10,-0.002492,0.007459,-0.33,0.7383,indiv_lowfiler_portfolio,26563,0.0334
q_relative::11,-0.008032,0.007966,-1.01,0.3135,indiv_lowfiler_portfolio,26563,0.0334
q_relative::12,-0.008128,0.008552,-0.95,0.3421,indiv_lowfiler_portfolio,26563,0.0334
q_relative::13,-0.004265,0.009337,-0.46,0.6479,indiv_lowfiler_portfolio,26563,0.0334
q_relative::14,-0.017213,0.009046,-1.9,0.0573,indiv_lowfiler_portfolio,26563,0.0334
q_relative::15,-0.010146,0.009818,-1.03,0.3016,indiv_lowfiler_portfolio,26563,0.0334
q_relative::16,-0.015209,0.009795,-1.55,0.1208,indiv_lowfiler_portfolio,26563,0.0334
q_relative::17,-0.011814,0.011162,-1.06,0.2901,indiv_lowfiler_portfolio,26563,0.0334
q_relative::18,-0.014349,0.011351,-1.26,0.2065,indiv_lowfiler_portfolio,26563,0.0334
q_relative::19,-0.018533,0.011774,-1.57,0.1157,indiv_lowfiler_portfolio,26563,0.0334
q_relative::20,-0.018781,0.012391,-1.52,0.1299,indiv_lowfiler_portfolio,26563,0.0334
q_relative::-12,0.00343,0.001744,1.97,0.0493,corp_nonfiler_has_portfolio,88519,0.061
q_relative::-11,0.002376,0.001524,1.56,0.1191,corp_nonfiler_has_portfolio,88519,0.061
q_relative::-10,0.001122,0.001499,0.75,0.4543,corp_nonfiler_has_portfolio,88519,0.061
q_relative::-9,0.001603,0.001554,1.03,0.3026,corp_nonfiler_has_portfolio,88519,0.061
q_relative::-8,0.000721,0.001339,0.54,0.5904,corp_nonfiler_has_portfolio,88519,0.061
q_relative::-7,0.001563,0.001599,0.98,0.3284,corp_nonfiler_has_portfolio,88519,0.061
q_relative::-6,0.001007,0.001418,0.71,0.4779,corp_nonfiler_has_portfolio,88519,0.061
q_relative::-5,-0.000955,0.001427,-0.67,0.5033,corp_nonfiler_has_portfolio,88519,0.061
q_relative::-3,-0.000178,0.0014,-0.13,0.8989,corp_nonfiler_has_portfolio,88519,0.061
q_relative::-2,-0.000262,0.001617,-0.16,0.8711,corp_nonfiler_has_portfolio,88519,0.061
q_relative::-1,-0.002161,0.001449,-1.49,0.136,corp_nonfiler_has_portfolio,88519,0.061
q_relative::0,-0.000282,0.001868,-0.15,0.8802,corp_nonfiler_has_portfolio,88519,0.061
q_relative::1,0.004176,0.002134,1.96,0.0504,corp_nonfiler_has_portfolio,88519,0.061
q_relative::2,-0.001017,0.0018,-0.57,0.5721,corp_nonfiler_has_portfolio,88519,0.061
q_relative::3,0.001722,0.002076,0.83,0.407,corp_nonfiler_has_portfolio,88519,0.061
q_relative::4,0.002716,0.001895,1.43,0.1517,corp_nonfiler_has_portfolio,88519,0.061
q_relative::5,0.002574,0.002221,1.16,0.2464,corp_nonfiler_has_portfolio,88519,0.061
q_relative::6,0.004414,0.002391,1.85,0.065,corp_nonfiler_has_portfolio,88519,0.061
q_relative::7,0.002441,0.002397,1.02,0.3087,corp_nonfiler_has_portfolio,88519,0.061
q_relative::8,0.00013,0.002062,0.06,0.9498,corp_nonfiler_has_portfolio,88519,0.061
q_relative::9,0.000862,0.002369,0.36,0.716,corp_nonfiler_has_portfolio,88519,0.061
q_relative::10,0.00374,0.002526,1.48,0.1388,corp_nonfiler_has_portfolio,88519,0.061
q_relative::11,0.004751,0.002531,1.88,0.0606,corp_nonfiler_has_portfolio,88519,0.061
q_relative::12,0.002875,0.002871,1,0.3167,corp_nonfiler_has_portfolio,88519,0.061
q_relative::13,0.003946,0.00299,1.32,0.1869,corp_nonfiler_has_portfolio,88519,0.061
q_relative::14,-0.001289,0.002603,-0.5,0.6206,corp_nonfiler_has_portfolio,88519,0.061
q_relative::15,-0.001098,0.002949,-0.37,0.7096,corp_nonfiler_has_portfolio,88519,0.061
q_relative::16,-0.001735,0.002947,-0.59,0.5562,corp_nonfiler_has_portfolio,88519,0.061
q_relative::17,0.002114,0.003235,0.65,0.5135,corp_nonfiler_has_portfolio,88519,0.061
q_relative::18,-0.000375,0.003049,-0.12,0.902,corp_nonfiler_has_portfolio,88519,0.061
q_relative::19,0.002015,0.003367,0.6,0.5496,corp_nonfiler_has_portfolio,88519,0.061
q_relative::20,-0.002782,0.003273,-0.85,0.3954,corp_nonfiler_has_portfolio,88519,0.061
q_relative::-12,-0.001829,0.001571,-1.16,0.2442,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::-11,-1e-06,0.001703,0,0.9996,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::-10,0.000608,0.001678,0.36,0.717,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::-9,-0.000599,0.001599,-0.37,0.7079,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::-8,-0.002739,0.001405,-1.95,0.0513,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::-7,-0.001857,0.001524,-1.22,0.2231,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::-6,0.000753,0.001552,0.49,0.6277,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::-5,0.001056,0.001568,0.67,0.5007,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::-3,0.001214,0.001528,0.79,0.427,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::-2,0.001729,0.001623,1.07,0.2866,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::-1,-0.000378,0.001671,-0.23,0.821,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::0,-0.000563,0.001678,-0.34,0.7373,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::1,0.001092,0.001701,0.64,0.5211,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::2,0.000565,0.001737,0.33,0.7448,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::3,0.002031,0.001756,1.16,0.2477,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::4,0.003252,0.001858,1.75,0.0801,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::5,0.003039,0.001908,1.59,0.1114,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::6,0.003353,0.00201,1.67,0.0954,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::7,0.006145,0.002107,2.92,0.0036,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::8,0.00277,0.002021,1.37,0.1706,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::9,0.001132,0.002146,0.53,0.5977,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::10,0.001089,0.00217,0.5,0.6158,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::11,0.001199,0.002074,0.58,0.5631,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::12,0.001219,0.002287,0.53,0.5939,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::13,0.000909,0.002261,0.4,0.6878,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::14,0.000462,0.002316,0.2,0.8418,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::15,-0.000166,0.00238,-0.07,0.9445,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::16,0.003645,0.002562,1.42,0.1549,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::17,0.000485,0.002528,0.19,0.8479,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::18,0.001842,0.002709,0.68,0.4966,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::19,0.002035,0.002749,0.74,0.4592,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::20,0.000319,0.002696,0.12,0.9057,indiv_nonfiler_has_portfolio,111120,0.0517
q_relative::-12,0.001943,0.001662,1.17,0.2425,corp_singlepurchase,170412,0.1437
q_relative::-11,0.001681,0.001587,1.06,0.2894,corp_singlepurchase,170412,0.1437
q_relative::-10,-0.000884,0.001372,-0.64,0.5195,corp_singlepurchase,170412,0.1437
q_relative::-9,-0.001038,0.001342,-0.77,0.439,corp_singlepurchase,170412,0.1437
q_relative::-8,-0.000947,0.001416,-0.67,0.5037,corp_singlepurchase,170412,0.1437
q_relative::-7,-0.001594,0.001369,-1.16,0.2443,corp_singlepurchase,170412,0.1437
q_relative::-6,-0.002396,0.001367,-1.75,0.0798,corp_singlepurchase,170412,0.1437
q_relative::-5,-0.00019,0.001329,-0.14,0.8863,corp_singlepurchase,170412,0.1437
q_relative::-3,0.001507,0.00143,1.05,0.292,corp_singlepurchase,170412,0.1437
q_relative::-2,0.001124,0.001457,0.77,0.4404,corp_singlepurchase,170412,0.1437
q_relative::-1,0.000276,0.0014,0.2,0.8436,corp_singlepurchase,170412,0.1437
q_relative::0,-0.001531,0.001393,-1.1,0.2719,corp_singlepurchase,170412,0.1437
q_relative::1,0.001712,0.001431,1.2,0.2316,corp_singlepurchase,170412,0.1437
q_relative::2,0.001374,0.001378,1,0.3186,corp_singlepurchase,170412,0.1437
q_relative::3,0.003344,0.001504,2.22,0.0263,corp_singlepurchase,170412,0.1437
q_relative::4,0.0018,0.001473,1.22,0.2215,corp_singlepurchase,170412,0.1437
q_relative::5,0.00271,0.00149,1.82,0.0691,corp_singlepurchase,170412,0.1437
q_relative::6,0.002786,0.001468,1.9,0.0577,corp_singlepurchase,170412,0.1437
q_relative::7,0.00256,0.001441,1.78,0.0757,corp_singlepurchase,170412,0.1437
q_relative::8,0.004514,0.001651,2.73,0.0063,corp_singlepurchase,170412,0.1437
q_relative::9,0.003562,0.00155,2.3,0.0215,corp_singlepurchase,170412,0.1437
q_relative::10,0.005,0.001634,3.06,0.0022,corp_singlepurchase,170412,0.1437
q_relative::11,0.005462,0.001725,3.17,0.0015,corp_singlepurchase,170412,0.1437
q_relative::12,0.002373,0.001641,1.45,0.1482,corp_singlepurchase,170412,0.1437
q_relative::13,0.004167,0.001679,2.48,0.0131,corp_singlepurchase,170412,0.1437
q_relative::14,0.002588,0.001684,1.54,0.1244,corp_singlepurchase,170412,0.1437
q_relative::15,0.004628,0.001714,2.7,0.0069,corp_singlepurchase,170412,0.1437
q_relative::16,0.004644,0.001743,2.66,0.0077,corp_singlepurchase,170412,0.1437
q_relative::17,0.005856,0.001836,3.19,0.0014,corp_singlepurchase,170412,0.1437
q_relative::18,0.005398,0.001744,3.1,0.002,corp_singlepurchase,170412,0.1437
q_relative::19,0.004778,0.001864,2.56,0.0104,corp_singlepurchase,170412,0.1437
q_relative::20,0.004898,0.001808,2.71,0.0067,corp_singlepurchase,170412,0.1437
q_relative::-12,-0.000655,0.000891,-0.74,0.462,indiv_singlepurchase,524246,0.0607
q_relative::-11,-0.001719,0.000833,-2.06,0.0391,indiv_singlepurchase,524246,0.0607
q_relative::-10,-0.000996,0.000834,-1.19,0.2323,indiv_singlepurchase,524246,0.0607
q_relative::-9,-0.001767,0.000841,-2.1,0.0356,indiv_singlepurchase,524246,0.0607
q_relative::-8,-0.000491,0.000863,-0.57,0.5697,indiv_singlepurchase,524246,0.0607
q_relative::-7,-0.0012,0.000832,-1.44,0.149,indiv_singlepurchase,524246,0.0607
q_relative::-6,0.000173,0.000882,0.2,0.8443,indiv_singlepurchase,524246,0.0607
q_relative::-5,-0.001073,0.000882,-1.22,0.2239,indiv_singlepurchase,524246,0.0607
q_relative::-3,0.000711,0.000883,0.8,0.421,indiv_singlepurchase,524246,0.0607
q_relative::-2,0.001736,0.000924,1.88,0.0604,indiv_singlepurchase,524246,0.0607
q_relative::-1,-0.000979,0.000849,-1.15,0.2486,indiv_singlepurchase,524246,0.0607
q_relative::0,-0.002575,0.000833,-3.09,0.002,indiv_singlepurchase,524246,0.0607
q_relative::1,-0.002102,0.00084,-2.5,0.0124,indiv_singlepurchase,524246,0.0607
q_relative::2,-0.001461,0.000855,-1.71,0.0875,indiv_singlepurchase,524246,0.0607
q_relative::3,-0.000546,0.000849,-0.64,0.5203,indiv_singlepurchase,524246,0.0607
q_relative::4,9.1e-05,0.000855,0.11,0.9152,indiv_singlepurchase,524246,0.0607
q_relative::5,-0.001278,0.000839,-1.52,0.128,indiv_singlepurchase,524246,0.0607
q_relative::6,-0.000749,0.000857,-0.87,0.3821,indiv_singlepurchase,524246,0.0607
