term,estimate,std_error,t_value,p_value,subgroup,n
window2_transition,0.000116047229158412,0.000262675278050584,0.441789688088062,0.658644618447025,full,808465
window3_early_post,0.00119701076174171,0.000316453328558467,3.78258230745882,0.000155514029484495,full,808465
window4_late_post,0.00229008081757643,0.000301157662474237,7.60425884157054,2.94996255601059e-14,full,808465
window2_transition,-0.0013592358602522,0.000502632091729601,-2.70423612542317,0.00685456105481679,corporate,303130
window3_early_post,0.00103893257733048,0.000681863723599728,1.5236660074035,0.12761509432356,corporate,303130
window4_late_post,0.00315754343362259,0.000772049122601587,4.08982193125557,4.34155576688355e-05,corporate,303130
window2_transition,0.000912943689044561,0.000309910241914137,2.94583258496342,0.00322423321133971,individual,505094
window3_early_post,0.000982486626268403,0.000356083100311454,2.75914983162373,0.00579997477960346,individual,505094
window4_late_post,0.00128680258046957,0.000317129072568792,4.05766197985659,4.97371152744833e-05,individual,505094
window2_transition,-0.00147408428873469,0.00139641592308933,-1.05561979375997,0.291210211443914,highfiler_portfolio,80178
window3_early_post,0.000473987402920466,0.00185806356433826,0.255097517661767,0.798661822875213,highfiler_portfolio,80178
window4_late_post,0.0040013964892203,0.00246160405655793,1.62552400681995,0.104135297620958,highfiler_portfolio,80178
window2_transition,-0.00160030614165142,0.00115479742834587,-1.38578949205291,0.165888814923267,lowfiler_portfolio,78934
window3_early_post,0.0010305950214847,0.00173212776241647,0.594987877826593,0.551885390379541,lowfiler_portfolio,78934
window4_late_post,0.0053678096436204,0.00239345367585661,2.24270463128946,0.0249706828239391,lowfiler_portfolio,78934
window2_transition,0.000251139386621709,0.000533336158220677,0.470883855802246,0.637737482536172,nonfiler_has_portfolio,160183
window3_early_post,0.00236135688883091,0.000766955064320096,3.07887254245364,0.00208542451337897,nonfiler_has_portfolio,160183
window4_late_post,0.00352048015244577,0.000952832402814885,3.69475276244329,0.00022168021705674,nonfiler_has_portfolio,160183
window2_transition,0.000653632189645689,0.000315155666457482,2.07399789758777,0.0380906350078146,singlepurchase,488908
window3_early_post,0.000583075285778716,0.000367012064184096,1.58870877194446,0.112139938737572,singlepurchase,488908
window4_late_post,0.000545550304193847,0.000340138921155887,1.60390437630576,0.108748898513086,singlepurchase,488908
