term,estimate,std_error,t_value,p_value,spec,n,r2
q_relative::-12,0.000456,0.000865,0.53,0.5982,portfolio_Single-purchase,515221,0.0762
q_relative::-11,-0.000896,0.000807,-1.11,0.2668,portfolio_Single-purchase,515221,0.0762
q_relative::-10,-0.000882,0.000768,-1.15,0.2506,portfolio_Single-purchase,515221,0.0762
q_relative::-9,-0.001691,0.000759,-2.23,0.0258,portfolio_Single-purchase,515221,0.0762
q_relative::-8,-0.000528,0.000798,-0.66,0.5084,portfolio_Single-purchase,515221,0.0762
q_relative::-7,-0.001636,0.000761,-2.15,0.0315,portfolio_Single-purchase,515221,0.0762
q_relative::-6,-0.000265,0.000817,-0.32,0.7455,portfolio_Single-purchase,515221,0.0762
q_relative::-5,-0.001008,0.000796,-1.27,0.2055,portfolio_Single-purchase,515221,0.0762
q_relative::-3,0.001001,0.000815,1.23,0.2196,portfolio_Single-purchase,515221,0.0762
q_relative::-2,0.001227,0.000839,1.46,0.1434,portfolio_Single-purchase,515221,0.0762
q_relative::-1,-0.000514,0.000785,-0.65,0.5132,portfolio_Single-purchase,515221,0.0762
q_relative::0,-0.002941,0.000756,-3.89,1e-04,portfolio_Single-purchase,515221,0.0762
q_relative::1,-0.001449,0.000772,-1.88,0.0605,portfolio_Single-purchase,515221,0.0762
q_relative::2,-0.000795,0.000798,-1,0.3195,portfolio_Single-purchase,515221,0.0762
q_relative::3,-0.000364,0.000803,-0.45,0.6503,portfolio_Single-purchase,515221,0.0762
q_relative::4,0.000288,0.00079,0.36,0.7158,portfolio_Single-purchase,515221,0.0762
q_relative::5,-0.000449,0.000806,-0.56,0.5773,portfolio_Single-purchase,515221,0.0762
q_relative::6,-0.000472,0.000798,-0.59,0.5541,portfolio_Single-purchase,515221,0.0762
q_relative::7,-0.000663,0.000782,-0.85,0.3967,portfolio_Single-purchase,515221,0.0762
q_relative::8,-0.001275,8e-04,-1.59,0.1111,portfolio_Single-purchase,515221,0.0762
q_relative::9,-0.000906,0.000809,-1.12,0.2631,portfolio_Single-purchase,515221,0.0762
q_relative::10,-0.000468,0.000805,-0.58,0.5609,portfolio_Single-purchase,515221,0.0762
q_relative::11,-1.9e-05,0.000832,-0.02,0.9819,portfolio_Single-purchase,515221,0.0762
q_relative::12,-0.000887,0.000823,-1.08,0.2809,portfolio_Single-purchase,515221,0.0762
q_relative::13,-0.000772,0.000825,-0.94,0.3497,portfolio_Single-purchase,515221,0.0762
q_relative::14,-0.000151,0.000845,-0.18,0.858,portfolio_Single-purchase,515221,0.0762
q_relative::15,-0.000149,0.000829,-0.18,0.8571,portfolio_Single-purchase,515221,0.0762
q_relative::16,-0.000832,0.000828,-1.01,0.3149,portfolio_Single-purchase,515221,0.0762
q_relative::17,0.000626,0.000878,0.71,0.4756,portfolio_Single-purchase,515221,0.0762
q_relative::18,6e-06,0.00086,0.01,0.9943,portfolio_Single-purchase,515221,0.0762
q_relative::19,-0.000549,0.000872,-0.63,0.5291,portfolio_Single-purchase,515221,0.0762
q_relative::20,-0.000657,0.000844,-0.78,0.4367,portfolio_Single-purchase,515221,0.0762
q_relative::-12,-0.002145,0.001128,-1.9,0.0573,portfolio_2-4,297360,0.0976
q_relative::-11,0.000737,0.001157,0.64,0.5241,portfolio_2-4,297360,0.0976
q_relative::-10,-0.002083,0.001097,-1.9,0.0576,portfolio_2-4,297360,0.0976
q_relative::-9,-0.002039,0.00112,-1.82,0.0687,portfolio_2-4,297360,0.0976
q_relative::-8,-0.00103,0.001112,-0.93,0.3539,portfolio_2-4,297360,0.0976
q_relative::-7,-0.000528,0.001194,-0.44,0.6583,portfolio_2-4,297360,0.0976
q_relative::-6,-0.000738,0.001101,-0.67,0.5026,portfolio_2-4,297360,0.0976
q_relative::-5,-0.000953,0.001086,-0.88,0.3802,portfolio_2-4,297360,0.0976
q_relative::-3,-0.000148,0.001116,-0.13,0.8946,portfolio_2-4,297360,0.0976
q_relative::-2,0.001815,0.001212,1.5,0.1343,portfolio_2-4,297360,0.0976
q_relative::-1,-0.000118,0.001169,-0.1,0.9197,portfolio_2-4,297360,0.0976
q_relative::0,0.000306,0.001283,0.24,0.8114,portfolio_2-4,297360,0.0976
q_relative::1,0.002708,0.001303,2.08,0.0378,portfolio_2-4,297360,0.0976
q_relative::2,0.000689,0.001175,0.59,0.5577,portfolio_2-4,297360,0.0976
q_relative::3,0.002172,0.001232,1.76,0.0781,portfolio_2-4,297360,0.0976
q_relative::4,0.002067,0.001186,1.74,0.0813,portfolio_2-4,297360,0.0976
q_relative::5,0.001762,0.001208,1.46,0.1448,portfolio_2-4,297360,0.0976
q_relative::6,0.002639,0.00123,2.15,0.0319,portfolio_2-4,297360,0.0976
q_relative::7,0.004323,0.001282,3.37,7e-04,portfolio_2-4,297360,0.0976
q_relative::8,0.001339,0.001223,1.09,0.2736,portfolio_2-4,297360,0.0976
