q_relative,mean_filing_rate,mean_filings,n,mean_violations
-12,0.0100144794704783,0.0177552430871982,163501,0.342205858068146
-11,0.00997098965474851,0.0183736338964818,163604,0.35237524754896
-10,0.0101091626356071,0.0171842320910948,163522,0.364660412666186
-9,0.01052354583141,0.0179179996684126,162853,0.38599227524209
-8,0.0100236027624335,0.0173057492791838,162316,0.397816604647724
-7,0.0103225845318856,0.018079808203265,161838,0.413246579913247
-6,0.0107204146104826,0.017467033136716,161905,0.432482011055866
-5,0.0112679294131621,0.0191546347320137,162415,0.444761875442539
-4,0.0125767171584713,0.0204570224959894,163318,0.460824893765537
-3,0.0131271833718633,0.0205973724367275,164487,0.471648215360484
-2,0.014423141872348,0.0222375981468668,166205,0.481303209891399
-1,0.0105299735769002,0.0176058411352529,169830,0.483353942177472
0,0.00769359288144179,0.0148394241417497,171570,0.48202482951565
1,0.00965047878940295,0.0184480098913226,173081,0.471750220994794
2,0.0114165280435731,0.0188652295879016,175031,0.444321291656907
3,0.013864296400917,0.0219024203189498,177332,0.412339566462906
4,0.0152408312191459,0.0236404635209463,178719,0.38384279231643
5,0.0155578599380655,0.023620911551946,180264,0.356821106821107
6,0.0159875272110334,0.0246683501869149,181366,0.343735871111454
7,0.0162351617799839,0.0249751347668163,181981,0.331611541864261
8,0.0166929035790598,0.0256798162673551,182439,0.32608707568009
9,0.016376514308,0.0252228115260539,182890,0.32143911640877
10,0.016604636283843,0.0255481233742103,182988,0.316605460467353
11,0.0171610380122042,0.0263126217416997,182764,0.311401588934363
12,0.0161378982173463,0.0251575777191414,182291,0.305577346111437
13,0.0163683382157798,0.0259169187358297,182159,0.305107076784567
14,0.0160714487920257,0.0257521588471481,181810,0.301386062372807
15,0.0159188868212242,0.0254294812010574,181207,0.301710198833378
16,0.0162658625395871,0.0256012670495135,180577,0.303288901687369
17,0.0163677033346981,0.0258154737461293,180202,0.30080132295979
18,0.0153570475159839,0.024526991359431,179965,0.300947406440141
19,0.0159848078293493,0.0247736355601999,179909,0.300957706396011
20,0.016330623020859,0.0252066735974827,179873,0.298366069393405
