q_relative,mean_rate,se,n
-12,0.0100144794704783,0.000244086500015676,163501
-11,0.00997098965474851,0.000241861720095049,163604
-10,0.0101091626356071,0.000250735821330489,163522
-9,0.01052354583141,0.000249832200313013,162853
-8,0.0100236027624335,0.000244755532014776,162316
-7,0.0103225845318856,0.000247556290833308,161838
-6,0.0107204146104826,0.000251332633012298,161905
-5,0.0112679294131621,0.000258240248948687,162415
-4,0.0125767171584713,0.000273688797127035,163318
-3,0.0131271833718633,0.00027681551259713,164487
-2,0.014423141872348,0.000289744150607363,166205
-1,0.0105299735769002,0.000247452021659927,169830
0,0.00769359288144179,0.000211981330588127,171570
1,0.00965047878940295,0.000245833727483256,173081
2,0.0114165280435731,0.000255796224680995,175031
3,0.013864296400917,0.000274561669018011,177332
4,0.0152408312191459,0.000284968368356546,178719
5,0.0155578599380655,0.000308243939601876,180264
6,0.0159875272110334,0.000300135169145836,181366
7,0.0162351617799839,0.000317881201964245,181981
8,0.0166929035790598,0.000320409232145837,182439
9,0.016376514308,0.000311907241612924,182890
10,0.016604636283843,0.000310166094329853,182988
11,0.0171610380122042,0.000322246498666739,182764
12,0.0161378982173463,0.000300705156190435,182291
13,0.0163683382157798,0.000303739202978333,182159
14,0.0160714487920257,0.000320471888388592,181810
15,0.0159188868212242,0.000302590368635321,181207
16,0.0162658625395871,0.000320561196181105,180577
17,0.0163677033346981,0.000318935384420343,180202
18,0.0153570475159839,0.000304749936803029,179965
19,0.0159848078293493,0.000316130846714389,179909
20,0.016330623020859,0.000322097124799669,179873
